ts,trade_id,symbol,side,exit_reason,lc_state,aligned_score,velocity,cur_ret,peak_pnl,drawdown,entry_price,exit_price,hold_seconds,pnl_usdt,fee_usdt,net_pnl,ret_pct,ret_lev_pct
1775185184.318,DUSDT_SHORT_1775185034385_f49b2e,DUSDT,SHORT,vol_stop,EXPANSION,1.5573,0.01282,-0.00202,0.0,0.00493,0.007929,0.007945,149.6,-0.0309,0.0123,-0.0432,-0.2018,-2.0179
1775185206.135,TAGUSDT_LONG_1775185084617_e2e013,TAGUSDT,LONG,trailing_expansion,EXPANSION,2.2441,0.07087,0.02262,0.0,0.00115,0.000849,0.000868,121.3,0.4091,0.0146,0.3945,2.2623,22.6228
1775185229.295,ONUSDT_LONG_1775185201605_ee391c,ONUSDT,LONG,vol_stop,BUILD,2.0774,0.0,-0.00201,0.0,0.00307,0.08462,0.08445,27.4,-0.0421,0.0168,-0.0589,-0.2009,-2.009
1775185230.595,ONUSDT_LONG_1775185229720_fceb8b,ONUSDT,LONG,vol_stop,BUILD,2.0774,0.0,-0.00202,0.0,0.00202,0.08427,0.0841,0.6,-0.0423,0.0168,-0.0591,-0.2017,-2.0173
1775185238.471,ONUSDT_LONG_1775185236105_5d6190,ONUSDT,LONG,vol_stop,BUILD,2.0774,0.0,-0.00214,0.0,0.00214,0.08404,0.08386,2.1,-0.0449,0.0168,-0.0617,-0.2142,-2.1418
1775185261.233,CHRUSDT_LONG_1775185260558_af2ab7,CHRUSDT,LONG,vol_stop,BUILD,2.815,0.0,-0.00493,0.0,0.00493,0.0203,0.0202,0.4,-0.1108,0.018,-0.1288,-0.4926,-4.9261
1775185299.032,XPLUSDT_LONG_1775185265904_ab334a,XPLUSDT,LONG,vol_stop,BUILD,1.7919,0.0,-0.00258,0.0,0.00258,0.1164,0.1161,32.9,-0.0496,0.0154,-0.065,-0.2577,-2.5773
1775185302.985,CHRUSDT_LONG_1775185301662_c21174,CHRUSDT,LONG,vol_stop,BUILD,2.815,0.0,-0.00493,0.0,0.00493,0.0203,0.0202,1.0,-0.1108,0.018,-0.1288,-0.4926,-4.9261
1775185306.215,MYXUSDT_SHORT_1775185023508_806498,MYXUSDT,SHORT,vol_stop,DECAY,0.6214,0.0802,-0.00244,0.0,0.0049,0.2047,0.2052,282.5,-0.0391,0.0128,-0.0519,-0.2443,-2.4426
1775185308.794,DUSDT_SHORT_1775185188059_6d75b5,DUSDT,SHORT,trailing_expansion,EXPANSION,2.381,-0.25773,0.00604,0.0,0.00101,0.007949,0.007901,120.5,0.1056,0.014,0.0917,0.6038,6.0385
1775185315.248,XPLUSDT_LONG_1775185304856_43f33c,XPLUSDT,LONG,vol_stop,BUILD,1.7919,0.0,-0.00258,0.0,0.00258,0.1162,0.1159,10.1,-0.0497,0.0154,-0.0651,-0.2582,-2.5818
1775185317.254,STOUSDT_SHORT_1775185306485_c4b1b1,STOUSDT,SHORT,vol_stop,BUILD,0.998,0.0,-0.00204,0.0,0.00936,0.18615,0.18653,10.5,-0.0302,0.0118,-0.042,-0.2041,-2.0414
1775185318.439,STOUSDT_SHORT_1775185317575_30250c,STOUSDT,SHORT,vol_stop,BUILD,0.998,0.0,-0.00204,0.0,0.0022,0.18653,0.18691,0.6,-0.0301,0.0118,-0.0419,-0.2037,-2.0372
1775185318.834,NAORISUSDT_SHORT_1775185031269_9b2504,NAORISUSDT,SHORT,lifecycle_reversal,REVERSAL,0.2131,0.12872,0.0013,0.0,0.00162,0.06172,0.06164,287.3,0.0178,0.011,0.0068,0.1296,1.2962
1775185324.139,ONTUSDT_SHORT_1775185202918_d25a7a,ONTUSDT,SHORT,trailing_expansion,EXPANSION,2.4102,-0.21635,0.00481,0.0,0.00194,0.104,0.1035,121.0,0.0876,0.0145,0.0731,0.4808,4.8077
1775185326.669,TAGUSDT_LONG_1775185206381_0bbb52,TAGUSDT,LONG,trailing_expansion,EXPANSION,2.496,0.07436,0.00438,0.0,0.0083,0.000868,0.000872,120.0,0.0979,0.0179,0.08,0.4378,4.3784
1775185333.327,XPLUSDT_LONG_1775185315592_fd58a2,XPLUSDT,LONG,vol_stop,EXPANSION,2.0069,0.05376,-0.00259,0.0,0.00345,0.1159,0.1156,17.5,-0.0498,0.0154,-0.0652,-0.2588,-2.5884
1775185343.397,TAGUSDT_LONG_1775185334017_6d71b9,TAGUSDT,LONG,vol_stop,BUILD,2.496,0.0,-0.00218,0.0,0.00309,0.000872,0.00087,9.1,-0.049,0.018,-0.067,-0.2178,-2.1781
1775185379.151,BLURUSDT_LONG_1775185200339_f8cefb,BLURUSDT,LONG,lifecycle_reversal,REVERSAL,-0.4176,-0.35723,-0.00051,0.0,0.00407,0.01959,0.01958,178.5,-0.0088,0.0137,-0.0225,-0.051,-0.5105
1775185384.208,PIPPINUSDT_LONG_1775185383530_313424,PIPPINUSDT,LONG,vol_stop,BUILD,1.8594,0.0,-0.00204,0.0,0.00204,0.06359,0.06346,0.4,-0.0386,0.0151,-0.0537,-0.2044,-2.0443
1775185386.827,INITUSDT_LONG_1775185262753_3431a7,INITUSDT,LONG,vol_stop,EXPANSION,1.7509,0.0186,-0.00207,0.0,0.00413,0.08214,0.08197,123.8,-0.0404,0.0156,-0.056,-0.207,-2.0696
1775185402.354,RIVERUSDT_SHORT_1775185381887_274812,RIVERUSDT,SHORT,vol_stop,BUILD,-1.2052,0.0,-0.00204,0.0,0.0046,11.757,11.781,20.2,-0.031,0.0122,-0.0431,-0.2041,-2.0413
1775185404.202,TRIAUSDT_SHORT_1775185382780_89e1f4,TRIAUSDT,SHORT,vol_stop,BUILD,-1.8018,0.0,-0.00204,0.0,0.00451,0.02447,0.02452,21.2,-0.0369,0.0144,-0.0513,-0.2043,-2.0433
1775185423.027,CYSUSDT_SHORT_1775185316385_10c46f,CYSUSDT,SHORT,vol_stop,EXPANSION,1.3544,-0.15345,-0.00203,0.0,0.00406,0.2466,0.2471,106.4,-0.0293,0.0116,-0.0409,-0.2028,-2.0276
1775185423.954,CYSUSDT_SHORT_1775185423269_368219,CYSUSDT,SHORT,vol_stop,BUILD,1.3544,0.0,-0.00202,0.0,0.00202,0.2471,0.2476,0.4,-0.0324,0.0128,-0.0452,-0.2023,-2.0235
1775185424.407,PROMPTUSDT_LONG_1775185350121_a3d5f3,PROMPTUSDT,LONG,vol_stop,BUILD,1.4143,-0.05361,-0.00212,0.0,0.00423,0.03302,0.03295,74.1,-0.0378,0.0143,-0.0521,-0.212,-2.1199
1775185424.834,ONTUSDT_SHORT_1775185324778_8e841d,ONTUSDT,SHORT,vol_stop,BUILD,1.5068,0.22584,-0.0029,0.0,0.0107,0.1036,0.1039,99.8,-0.0652,0.018,-0.0832,-0.2896,-2.8958
1775185440.08,ONUSDT_LONG_1775185248983_af71eb,ONUSDT,LONG,trailing_expansion,EXPANSION,1.8313,0.25152,0.01309,0.0,0.00188,0.08404,0.08514,190.8,0.2745,0.0169,0.2576,1.3089,13.089
1775185441.187,TRIAUSDT_SHORT_1775185404426_264fbe,TRIAUSDT,SHORT,vol_stop,BUILD,-0.1286,-0.41831,-0.00204,0.0,0.0045,0.02452,0.02457,36.5,-0.0368,0.0144,-0.0512,-0.2039,-2.0392
1775185441.745,PIPPINUSDT_LONG_1775185389717_f28075,PIPPINUSDT,LONG,vol_stop,BUILD,1.745,-0.0286,-0.00206,0.0,0.0079,0.06296,0.06283,51.8,-0.039,0.0151,-0.0541,-0.2065,-2.0648
1775185445.893,BRUSDT_LONG_1775185326950_67dec6,BRUSDT,LONG,vol_stop,EXPANSION,-0.0201,-0.63192,-0.00201,0.0,0.02234,0.14907,0.14877,118.7,-0.0453,0.018,-0.0633,-0.2012,-2.0125
1775185446.312,INITUSDT_LONG_1775185428729_961434,INITUSDT,LONG,vol_stop,BUILD,0.9774,-0.19338,-0.00207,0.0,0.00219,0.082,0.08183,17.3,-0.0374,0.0144,-0.0518,-0.2073,-2.0732
1775185500.294,EULUSDT_SHORT_1775185201829_2afc61,EULUSDT,SHORT,lifecycle_reversal,REVERSAL,-0.1367,0.18331,0.00023,0.0,0.00181,0.8858,0.8856,298.1,0.0034,0.0121,-0.0087,0.0226,0.2258
1775185530.247,RIVERUSDT_SHORT_1775185403399_713b03,RIVERUSDT,SHORT,trailing_expansion,EXPANSION,0.8001,-0.3572,0.00407,0.0,0.00188,11.783,11.735,126.6,0.0618,0.0121,0.0497,0.4074,4.0737
1775185560.917,WUSDT_SHORT_1775185439373_fe5720,WUSDT,SHORT,lifecycle_reversal,REVERSAL,-0.0637,0.22019,0.0,0.0,0.00146,0.01376,0.01376,121.2,0.0,0.0125,-0.0125,0.0,0.0
1775185574.994,PROMPTUSDT_LONG_1775185500696_cff78a,PROMPTUSDT,LONG,vol_stop,BUILD,1.2681,-0.13134,-0.00242,0.0,0.00512,0.03309,0.03301,74.0,-0.044,0.0145,-0.0585,-0.2418,-2.4176
1775185579.198,SIGNUSDT_LONG_1775185386707_4384aa,SIGNUSDT,LONG,vol_stop,BUILD,0.7947,-0.04001,-0.00219,0.0,0.00465,0.03647,0.03639,192.2,-0.0317,0.0115,-0.0432,-0.2194,-2.1936
1775185604.72,MASKUSDT_LONG_1775185441970_cd7a91,MASKUSDT,LONG,strategy_stop,EXPANSION,1.878,-0.0158,0.00259,0.0,0.00193,0.4634,0.4646,162.5,0.0473,0.0146,0.0327,0.259,2.5896
1775185605.282,RESOLVUSDT_LONG_1775185443277_f51568,RESOLVUSDT,LONG,strategy_stop,BUILD,0.6923,-0.1132,0.00519,0.0,0.00023,0.04239,0.04261,161.7,0.0879,0.0136,0.0743,0.519,5.1899
1775185605.916,币安人生USDT_LONG_1775185446809_c4a3bc,币安人生USDT,LONG,strategy_stop,BUILD,0.7661,-0.16174,0.001,0.0,0.0014,0.04981,0.04986,158.7,0.0169,0.0134,0.0034,0.1004,1.0038
1775185606.51,HEMIUSDT_LONG_1775185575968_968f11,HEMIUSDT,LONG,strategy_stop,BUILD,1.1031,0.0,-0.00014,0.0,0.00058,0.006939,0.006938,30.2,-0.0022,0.0123,-0.0145,-0.0144,-0.1441
1775185607.103,BRUSDT_LONG_1775185578321_86196a,BRUSDT,LONG,strategy_stop,BUILD,2.3466,0.0,0.00419,0.0,0.00159,0.15045,0.15108,28.4,0.0942,0.018,0.0762,0.4187,4.1874
1775185607.711,DUSDT_SHORT_1775185504118_b59a03,DUSDT,SHORT,strategy_stop,BUILD,1.7274,0.03448,0.00379,0.0,0.0,0.00792,0.00789,103.2,0.075,0.0158,0.0592,0.3788,3.7879
1775185608.238,ONTUSDT_SHORT_1775185563163_586e3e,ONTUSDT,SHORT,strategy_stop,BUILD,1.7542,0.0,-0.00097,0.0,0.00097,0.1035,0.1036,44.8,-0.018,0.0149,-0.033,-0.0966,-0.9662
1775185608.767,PIXELUSDT_SHORT_1775185563873_154dc5,PIXELUSDT,SHORT,strategy_stop,BUILD,1.7139,0.0,-0.00144,0.0,0.00159,0.006929,0.006939,44.6,-0.0265,0.0147,-0.0412,-0.1443,-1.4432
1775187879.526,AIOTUSDT_LONG_1775187878630_833999,AIOTUSDT,LONG,vol_stop,BUILD,1.8293,0.0,-0.00607,0.0,0.00682,0.05271,0.05239,0.7,-0.1194,0.0157,-0.135,-0.6071,-6.071
1775187907.438,CTSIUSDT_LONG_1775187888448_9919c2,CTSIUSDT,LONG,vol_stop,BUILD,2.2392,0.0,-0.00777,0.0,0.00777,0.0386,0.0383,18.7,-0.1713,0.0176,-0.1889,-0.7772,-7.772
