ts,trade_id,symbol,side,old_state,new_state,aligned_score,velocity,cur_ret,price
1775185075.824,MYXUSDT_SHORT_1775185023508_806498,MYXUSDT,SHORT,BUILD,EXPANSION,1.3904,-0.0374,0.00098,0.2045
1775185075.825,NAORISUSDT_SHORT_1775185031269_9b2504,NAORISUSDT,SHORT,BUILD,EXPANSION,1.4352,-0.1476,0.00113,0.06165
1775185075.825,DUSDT_SHORT_1775185034385_f49b2e,DUSDT,SHORT,BUILD,EXPANSION,2.3622,-0.25124,0.00265,0.007908
1775185137.183,TAGUSDT_LONG_1775185084617_e2e013,TAGUSDT,LONG,BUILD,EXPANSION,2.3193,0.11954,0.00365,0.000852
1775185196.848,MYXUSDT_SHORT_1775185023508_806498,MYXUSDT,SHORT,EXPANSION,DECAY,0.3732,0.18968,-0.00098,0.2049
1775185196.849,NAORISUSDT_SHORT_1775185031269_9b2504,NAORISUSDT,SHORT,EXPANSION,DECAY,0.426,0.12861,0.0013,0.06164
1775185257.642,DUSDT_SHORT_1775185188059_6d75b5,DUSDT,SHORT,BUILD,EXPANSION,2.381,-0.25773,0.00264,0.007928
1775185257.645,EULUSDT_SHORT_1775185201829_2afc61,EULUSDT,SHORT,BUILD,EXPANSION,1.1997,-0.04207,-0.00102,0.8867
1775185257.646,ONTUSDT_SHORT_1775185202918_d25a7a,ONTUSDT,SHORT,BUILD,EXPANSION,1.5883,-0.0145,0.0,0.104
1775185318.367,TAGUSDT_LONG_1775185206381_0bbb52,TAGUSDT,LONG,BUILD,EXPANSION,2.496,0.07436,0.00115,0.000869
1775185318.376,XPLUSDT_LONG_1775185315592_fd58a2,XPLUSDT,LONG,BUILD,EXPANSION,2.0069,0.05376,0.0,0.1159
1775185318.381,NAORISUSDT_SHORT_1775185031269_9b2504,NAORISUSDT,SHORT,DECAY,REVERSAL,0.2131,0.12872,0.0013,0.06164
1775185378.647,BLURUSDT_LONG_1775185200339_f8cefb,BLURUSDT,LONG,BUILD,REVERSAL,-0.4176,-0.35723,-0.00051,0.01958
1775185379.155,INITUSDT_LONG_1775185262753_3431a7,INITUSDT,LONG,BUILD,EXPANSION,1.7509,0.0186,-0.00085,0.08207
1775185379.155,BRUSDT_LONG_1775185326950_67dec6,BRUSDT,LONG,BUILD,EXPANSION,2.7509,0.08111,0.01275,0.15097
1775185379.156,EULUSDT_SHORT_1775185201829_2afc61,EULUSDT,SHORT,EXPANSION,DECAY,0.6978,0.0379,0.00045,0.8854
1775185379.156,CYSUSDT_SHORT_1775185316385_10c46f,CYSUSDT,SHORT,BUILD,EXPANSION,1.3544,-0.15345,0.00122,0.2463
1775185438.873,ONUSDT_LONG_1775185248983_af71eb,ONUSDT,LONG,BUILD,EXPANSION,1.8313,0.25152,0.01309,0.08514
1775185438.88,RIVERUSDT_SHORT_1775185403399_713b03,RIVERUSDT,SHORT,BUILD,EXPANSION,1.1007,-0.57647,0.0017,11.763
1775185499.718,MASKUSDT_LONG_1775185441970_cd7a91,MASKUSDT,LONG,BUILD,EXPANSION,2.1135,0.05742,-0.00022,0.4633
1775185499.725,EULUSDT_SHORT_1775185201829_2afc61,EULUSDT,SHORT,DECAY,REVERSAL,-0.1367,0.18331,0.00023,0.8856
1775185500.319,WUSDT_SHORT_1775185439373_fe5720,WUSDT,SHORT,BUILD,REVERSAL,-0.7765,0.53119,0.00145,0.01374
1775187878.067,SIRENUSDT_SHORT_1775187825562_857963,SIRENUSDT,SHORT,BUILD,REVERSAL,-0.5121,0.59287,-0.00125,0.17602
1775187878.069,DUSDT_SHORT_1775187829700_260589,DUSDT,SHORT,BUILD,EXPANSION,2.18,-0.07243,0.00271,0.007737
1775187938.636,AIOTUSDT_LONG_1775187913728_2d37cc,AIOTUSDT,LONG,BUILD,EXPANSION,2.3431,0.12845,0.01517,0.05288
1775187938.638,CTSIUSDT_LONG_1775187930432_39419c,CTSIUSDT,LONG,BUILD,REVERSAL,-0.7185,-0.73943,0.00263,0.0381
1775187938.639,SIRENUSDT_SHORT_1775187825562_857963,SIRENUSDT,SHORT,REVERSAL,BUILD,2.3119,-0.26135,0.00148,0.17554
1775187999.312,CTSIUSDT_LONG_1775187930432_39419c,CTSIUSDT,LONG,REVERSAL,BUILD,0.6947,-0.20127,0.00263,0.0381
1775187999.314,STOUSDT_SHORT_1775187928934_cc4efe,STOUSDT,SHORT,BUILD,EXPANSION,2.3258,-0.35517,0.00801,0.1908
1775187999.317,DUSDT_SHORT_1775187985467_a34aab,DUSDT,SHORT,BUILD,EXPANSION,2.2734,-0.08717,-0.00052,0.007704
1775188059.95,BANKUSDT_SHORT_1775188049908_604905,BANKUSDT,SHORT,BUILD,EXPANSION,1.7403,-0.00568,-0.00038,0.02613
1775188120.632,VICUSDT_LONG_1775188070222_c3c4e2,VICUSDT,LONG,BUILD,REVERSAL,-0.3513,-0.31906,-0.0006,0.05011
1775188120.634,SAHARAUSDT_SHORT_1775187821572_5f1f96,SAHARAUSDT,SHORT,BUILD,REVERSAL,-0.5516,0.29035,-0.0039,0.02061
1775188121.217,APRUSDT_SHORT_1775187998717_510cbf,APRUSDT,SHORT,BUILD,REVERSAL,-1.0657,0.48362,-0.00312,0.1737
1775188181.308,HAEDALUSDT_LONG_1775188141924_64ff3f,HAEDALUSDT,LONG,BUILD,EXPANSION,1.9255,0.17533,0.00244,0.02873
1775188181.317,ASTERUSDT_SHORT_1775187836745_bd8fdc,ASTERUSDT,SHORT,BUILD,REVERSAL,-0.6458,0.24521,0.00015,0.6659
1775188181.785,NIGHTUSDT_SHORT_1775188118902_9781be,NIGHTUSDT,SHORT,BUILD,REVERSAL,-0.6941,0.32823,0.0,0.04605
1775188181.787,APRUSDT_SHORT_1775188125268_1130c3,APRUSDT,SHORT,BUILD,REVERSAL,-1.2612,0.04888,-0.00069,0.17376
1775188241.419,RAYSOLUSDT_LONG_1775188001131_09565c,RAYSOLUSDT,LONG,BUILD,REVERSAL,-0.6189,-0.46723,-0.0003,0.6761
1775188242.11,VICUSDT_LONG_1775188070222_c3c4e2,VICUSDT,LONG,REVERSAL,BUILD,2.7105,0.56489,0.01057,0.05067
1775188242.113,NIGHTUSDT_SHORT_1775188118902_9781be,NIGHTUSDT,SHORT,REVERSAL,BUILD,1.1215,-0.20774,-0.00065,0.04608
1775188242.115,ONTUSDT_SHORT_1775188203772_58b314,ONTUSDT,SHORT,BUILD,REVERSAL,-0.806,-0.15768,-0.00282,0.1066
