# symbol=0GUSDT,side=SHORT,entry_price=0.5128,exit_price=0.5129,exit_reason=strategy_stop,sl_price=0.5158768,tp_price=0.505108,leverage=10
ts,seconds,price,ret_margin_pct
1775188144.454,0.0,0.5128,0.0
1775188147.456,3.0,0.5128,0.0
1775188155.915,11.5,0.5128,0.0
1775188175.031,30.6,0.5127,0.195
1775188185.346,40.9,0.5127,0.195
1775188192.575,48.1,0.5128,0.0
1775188196.393,51.9,0.5127,0.195
1775188200.907,56.5,0.5127,0.195
1775188207.302,62.8,0.5126,0.39
1775188208.83,64.4,0.5126,0.39
1775188220.393,75.9,0.5127,0.195
1775188226.722,82.3,0.5128,0.0
1775188241.864,97.4,0.5129,-0.195
1775188246.102,101.6,0.5129,-0.195
1775188256.827,112.4,0.5129,-0.195
1775188262.829,118.4,0.5128,0.0
1775188267.027,122.6,0.5129,-0.195
1775188268.389,123.9,0.5129,-0.195
