# symbol=0GUSDT,side=SHORT,entry_price=0.5169,exit_price=0.5169,exit_reason=lifecycle_reversal,sl_price=0.5231028,tp_price=0.5091465000000001,leverage=10
ts,seconds,price,ret_margin_pct
1775193913.266,0.0,0.5169,0.0
1775193917.57,4.3,0.517,-0.1935
1775193933.928,20.7,0.5169,0.0
1775193956.72,43.5,0.5168,0.1935
1775193961.74,48.5,0.5169,0.0
1775193968.878,55.6,0.5169,0.0
1775193979.155,65.9,0.5168,0.1935
1775193981.499,68.2,0.5166,0.5804
1775193983.856,70.6,0.5166,0.5804
1775194002.193,88.9,0.5167,0.3869
1775194012.788,99.5,0.5167,0.3869
1775194017.613,104.3,0.5166,0.5804
1775194038.576,125.3,0.5166,0.5804
1775194047.319,134.1,0.5167,0.3869
1775194051.67,138.4,0.5167,0.3869
1775194058.404,145.1,0.5169,0.0
1775194077.273,164.0,0.517,-0.1935
1775194094.112,180.8,0.5171,-0.3869
1775194101.747,188.5,0.517,-0.1935
1775194110.997,197.7,0.517,-0.1935
1775194129.901,216.6,0.517,-0.1935
1775194133.238,220.0,0.517,-0.1935
1775194138.402,225.1,0.5171,-0.3869
1775194160.562,247.3,0.5173,-0.7738
1775194169.104,255.8,0.5174,-0.9673
1775194173.44,260.2,0.5176,-1.3542
1775194174.491,261.2,0.5176,-1.3542
1775194184.797,271.5,0.5177,-1.5477
1775194191.657,278.4,0.5176,-1.3542
1775194199.715,286.4,0.5177,-1.5477
1775194201.647,288.4,0.5178,-1.7411
1775194202.744,289.5,0.5179,-1.9346
1775194204.46,291.2,0.5178,-1.7411
1775194208.633,295.4,0.5179,-1.9346
1775194213.325,300.1,0.5179,-1.9346
1775194221.858,308.6,0.5178,-1.7411
1775194225.055,311.8,0.5178,-1.7411
1775194231.665,318.4,0.5177,-1.5477
1775194233.001,319.7,0.5175,-1.1608
1775194234.593,321.3,0.5175,-1.1608
1775194237.374,324.1,0.5175,-1.1608
1775194240.924,327.7,0.5176,-1.3542
1775194242.055,328.8,0.5176,-1.3542
1775194249.431,336.2,0.5175,-1.1608
1775194251.658,338.4,0.5176,-1.3542
1775194256.079,342.8,0.5176,-1.3542
1775194257.464,344.2,0.5178,-1.7411
1775194258.894,345.6,0.5179,-1.9346
1775194261.961,348.7,0.5179,-1.9346
1775194265.329,352.1,0.518,-2.1281
1775194266.66,353.4,0.5179,-1.9346
1775194268.095,354.8,0.5178,-1.7411
1775194269.48,356.2,0.5177,-1.5477
1775194271.073,357.8,0.5176,-1.3542
1775194276.538,363.3,0.5177,-1.5477
1775194278.314,365.0,0.5178,-1.7411
1775194287.983,374.7,0.5178,-1.7411
1775194296.108,382.8,0.5177,-1.5477
1775194297.214,383.9,0.5176,-1.3542
1775194299.208,385.9,0.5173,-0.7738
1775194301.211,387.9,0.5173,-0.7738
1775194315.031,401.8,0.5173,-0.7738
1775194317.637,404.4,0.5172,-0.5804
1775194321.292,408.0,0.5171,-0.3869
1775194324.585,411.3,0.517,-0.1935
1775194328.358,415.1,0.5169,0.0
1775194329.784,416.5,0.517,-0.1935
1775194330.802,417.5,0.5171,-0.3869
1775194332.864,419.6,0.517,-0.1935
1775194334.79,421.5,0.5172,-0.5804
1775194335.803,422.5,0.5175,-1.1608
1775194336.84,423.6,0.5175,-1.1608
1775194337.888,424.6,0.5175,-1.1608
1775194338.99,425.7,0.5174,-0.9673
1775194340.059,426.8,0.5172,-0.5804
1775194341.121,427.9,0.5174,-0.9673
1775194343.478,430.2,0.5175,-1.1608
1775194344.674,431.4,0.5174,-0.9673
1775194346.478,433.2,0.5173,-0.7738
1775194347.651,434.4,0.5171,-0.3869
1775194349.293,436.0,0.517,-0.1935
1775194352.189,438.9,0.5169,0.0
1775194354.782,441.5,0.5168,0.1935
1775194356.199,442.9,0.5169,0.0
1775194358.697,445.4,0.5169,0.0
1775194364.723,451.5,0.517,-0.1935
1775194365.798,452.5,0.5169,0.0
1775194369.134,455.9,0.5169,0.0
1775194372.273,459.0,0.5168,0.1935
1775194380.409,467.1,0.5169,0.0
1775194381.436,468.2,0.5168,0.1935
1775194382.998,469.7,0.5168,0.1935
1775194385.156,471.9,0.5168,0.1935
1775194387.856,474.6,0.5168,0.1935
1775194400.29,487.0,0.5167,0.3869
1775194414.666,501.4,0.5167,0.3869
1775194415.842,502.6,0.5168,0.1935
1775194418.16,504.9,0.5168,0.1935
1775194419.464,506.2,0.5168,0.1935
1775194435.241,522.0,0.5168,0.1935
1775194448.41,535.1,0.5168,0.1935
1775194456.505,543.2,0.5168,0.1935
1775194466.418,553.2,0.5168,0.1935
1775194471.273,558.0,0.5167,0.3869
1775194474.191,560.9,0.5167,0.3869
1775194475.942,562.7,0.5167,0.3869
1775194489.814,576.5,0.5167,0.3869
1775194493.429,580.2,0.5167,0.3869
1775194496.64,583.4,0.5168,0.1935
