# symbol=1000BONKUSDT,side=LONG,entry_price=0.005804,exit_price=0.005819,exit_reason=lifecycle_reversal,sl_price=0.005734352,tp_price=0.005891059999999999,leverage=10
ts,seconds,price,ret_margin_pct
1775204950.231,0.0,0.005804,0.0
1775204952.283,2.1,0.005804,0.0
1775204958.114,7.9,0.005804,0.0
1775204960.655,10.4,0.005804,0.0
1775204963.829,13.6,0.005803,-0.1723
1775204965.769,15.5,0.005804,0.0
1775204968.202,18.0,0.005804,0.0
1775204969.254,19.0,0.005804,0.0
1775204972.323,22.1,0.005804,0.0
1775204974.611,24.4,0.005804,0.0
1775204977.199,27.0,0.005804,0.0
1775204979.179,28.9,0.005804,0.0
1775204980.357,30.1,0.005804,0.0
1775204981.506,31.3,0.005804,0.0
1775204983.721,33.5,0.005805,0.1723
1775204986.282,36.1,0.005804,0.0
1775204987.308,37.1,0.005804,0.0
1775204990.889,40.7,0.005804,0.0
1775204995.338,45.1,0.005804,0.0
1775204998.91,48.7,0.005804,0.0
1775205000.118,49.9,0.005804,0.0
1775205001.313,51.1,0.005804,0.0
1775205002.356,52.1,0.005804,0.0
1775205004.257,54.0,0.005806,0.3446
1775205005.488,55.3,0.005805,0.1723
1775205007.14,56.9,0.005804,0.0
1775205011.481,61.2,0.005807,0.5169
1775205013.607,63.4,0.005807,0.5169
1775205016.455,66.2,0.005807,0.5169
1775205017.607,67.4,0.005807,0.5169
1775205019.355,69.1,0.005806,0.3446
1775205020.566,70.3,0.005807,0.5169
1775205022.999,72.8,0.005807,0.5169
1775205025.562,75.3,0.005807,0.5169
1775205027.782,77.6,0.005806,0.3446
1775205028.867,78.6,0.005805,0.1723
1775205030.083,79.9,0.005805,0.1723
1775205032.438,82.2,0.005805,0.1723
1775205033.598,83.4,0.005805,0.1723
1775205036.261,86.0,0.005804,0.0
1775205038.131,87.9,0.005804,0.0
1775205040.163,89.9,0.005804,0.0
1775205041.403,91.2,0.005805,0.1723
1775205045.834,95.6,0.005805,0.1723
1775205048.032,97.8,0.005806,0.3446
1775205051.867,101.6,0.005805,0.1723
1775205053.177,102.9,0.005805,0.1723
1775205054.751,104.5,0.005805,0.1723
1775205057.496,107.3,0.005805,0.1723
1775205060.125,109.9,0.005805,0.1723
1775205061.135,110.9,0.005808,0.6892
1775205062.263,112.0,0.005808,0.6892
1775205063.351,113.1,0.005808,0.6892
1775205064.641,114.4,0.005809,0.8615
1775205065.834,115.6,0.005809,0.8615
1775205069.392,119.2,0.005809,0.8615
1775205070.721,120.5,0.005809,0.8615
1775205072.239,122.0,0.005808,0.6892
1775205073.583,123.4,0.005808,0.6892
1775205076.401,126.2,0.005808,0.6892
1775205078.62,128.4,0.005808,0.6892
1775205082.837,132.6,0.005808,0.6892
1775205085.874,135.6,0.005808,0.6892
1775205088.727,138.5,0.005808,0.6892
1775205090.139,139.9,0.005809,0.8615
1775205092.342,142.1,0.005809,0.8615
1775205094.169,143.9,0.005809,0.8615
1775205095.522,145.3,0.005809,0.8615
1775205097.958,147.7,0.00581,1.0338
1775205101.824,151.6,0.005811,1.2061
1775205103.937,153.7,0.005811,1.2061
1775205105.925,155.7,0.005812,1.3784
1775205107.233,157.0,0.005812,1.3784
1775205108.327,158.1,0.005813,1.5507
1775205109.636,159.4,0.005813,1.5507
1775205111.013,160.8,0.005812,1.3784
1775205112.475,162.2,0.005814,1.7229
1775205114.199,164.0,0.005815,1.8952
1775205115.2,165.0,0.005816,2.0675
1775205116.229,166.0,0.005816,2.0675
1775205117.822,167.6,0.005816,2.0675
1775205119.142,168.9,0.005817,2.2398
1775205120.407,170.2,0.005815,1.8952
1775205122.238,172.0,0.005818,2.4121
1775205123.361,173.1,0.005822,3.1013
1775205124.391,174.2,0.00582,2.7567
1775205125.791,175.6,0.005823,3.2736
1775205127.358,177.1,0.005825,3.6182
1775205128.752,178.5,0.005824,3.4459
1775205131.049,180.8,0.005823,3.2736
1775205132.096,181.9,0.005823,3.2736
1775205138.156,187.9,0.005825,3.6182
1775205139.248,189.0,0.005825,3.6182
1775205140.432,190.2,0.005824,3.4459
1775205142.805,192.6,0.005823,3.2736
1775205144.449,194.2,0.005822,3.1013
1775205146.644,196.4,0.005821,2.929
1775205148.497,198.3,0.005821,2.929
1775205149.536,199.3,0.005821,2.929
1775205150.825,200.6,0.00582,2.7567
1775205153.012,202.8,0.005818,2.4121
1775205154.551,204.3,0.005819,2.5844
1775205156.344,206.1,0.005819,2.5844
1775205157.644,207.4,0.005821,2.929
1775205160.519,210.3,0.005819,2.5844
1775205161.821,211.6,0.00582,2.7567
1775205163.258,213.0,0.00582,2.7567
1775205165.897,215.7,0.00582,2.7567
1775205167.18,216.9,0.00582,2.7567
1775205168.582,218.4,0.00582,2.7567
1775205171.007,220.8,0.00582,2.7567
1775205172.975,222.7,0.00582,2.7567
1775205174.691,224.5,0.005821,2.929
1775205176.734,226.5,0.005821,2.929
1775205178.613,228.4,0.005821,2.929
1775205179.638,229.4,0.00582,2.7567
1775205181.424,231.2,0.00582,2.7567
1775205182.428,232.2,0.00582,2.7567
1775205183.666,233.4,0.005821,2.929
1775205184.733,234.5,0.005821,2.929
1775205186.356,236.1,0.005819,2.5844
1775205190.312,240.1,0.005819,2.5844
1775205191.367,241.1,0.005819,2.5844
1775205193.573,243.3,0.005819,2.5844
1775205199.366,249.1,0.005819,2.5844
1775205200.859,250.6,0.005819,2.5844
1775205206.513,256.3,0.005819,2.5844
1775205209.267,259.0,0.005819,2.5844
1775205210.585,260.4,0.005819,2.5844
1775205215.027,264.8,0.005819,2.5844
1775205217.209,267.0,0.005819,2.5844
1775205218.58,268.3,0.005815,1.8952
1775205220.895,270.7,0.005816,2.0675
1775205222.161,271.9,0.005815,1.8952
1775205223.771,273.5,0.005814,1.7229
1775205225.364,275.1,0.005815,1.8952
1775205230.655,280.4,0.005815,1.8952
1775205232.614,282.4,0.005812,1.3784
1775205236.319,286.1,0.005812,1.3784
1775205237.982,287.8,0.005812,1.3784
1775205239.51,289.3,0.005812,1.3784
1775205240.722,290.5,0.005812,1.3784
1775205241.761,291.5,0.005814,1.7229
1775205243.248,293.0,0.005818,2.4121
1775205244.861,294.6,0.005819,2.5844
1775205244.989,294.8,0.005819,2.5844
