# symbol=1000BONKUSDT,side=LONG,entry_price=0.005819,exit_price=0.00582,exit_reason=strategy_stop,sl_price=0.005749172,tp_price=0.005906285,leverage=10
ts,seconds,price,ret_margin_pct
1775205246.516,0.0,0.005819,0.0
1775205248.177,1.7,0.00582,0.1719
1775205249.299,2.8,0.005819,0.0
1775205250.571,4.1,0.005818,-0.1719
1775205254.167,7.7,0.005818,-0.1719
1775205255.866,9.4,0.005818,-0.1719
1775205257.444,10.9,0.005818,-0.1719
1775205259.5,13.0,0.005818,-0.1719
1775205260.696,14.2,0.005819,0.0
1775205265.417,18.9,0.005818,-0.1719
1775205268.179,21.7,0.005819,0.0
1775205272.153,25.6,0.005819,0.0
1775205274.458,27.9,0.00582,0.1719
1775205278.327,31.8,0.005821,0.3437
1775205280.027,33.5,0.005821,0.3437
1775205281.764,35.2,0.005821,0.3437
1775205283.271,36.8,0.005821,0.3437
1775205286.519,40.0,0.005821,0.3437
1775205291.435,44.9,0.005819,0.0
1775205294.306,47.8,0.005819,0.0
1775205295.425,48.9,0.005819,0.0
1775205297.598,51.1,0.005819,0.0
1775205298.741,52.2,0.005819,0.0
1775205300.975,54.5,0.005819,0.0
1775205302.031,55.5,0.005821,0.3437
1775205304.135,57.6,0.005822,0.5156
1775205305.301,58.8,0.005822,0.5156
1775205308.342,61.8,0.005822,0.5156
1775205310.543,64.0,0.005821,0.3437
1775205312.882,66.4,0.005819,0.0
1775205315.85,69.3,0.005819,0.0
1775205317.324,70.8,0.00582,0.1719
1775205319.828,73.3,0.00582,0.1719
1775205321.186,74.7,0.00582,0.1719
1775205325.35,78.8,0.00582,0.1719
1775205335.453,88.9,0.005819,0.0
1775205338.519,92.0,0.00582,0.1719
1775205340.066,93.6,0.005821,0.3437
1775205341.885,95.4,0.005821,0.3437
1775205346.569,100.1,0.005821,0.3437
1775205348.457,101.9,0.005821,0.3437
1775205350.921,104.4,0.005821,0.3437
1775205354.279,107.8,0.005821,0.3437
1775205355.388,108.9,0.005821,0.3437
1775205356.51,110.0,0.00582,0.1719
1775205358.974,112.5,0.00582,0.1719
1775205361.053,114.5,0.00582,0.1719
1775205363.022,116.5,0.00582,0.1719
1775205364.033,117.5,0.005821,0.3437
1775205365.219,118.7,0.005821,0.3437
1775205369.363,122.8,0.005821,0.3437
1775205370.87,124.4,0.00582,0.1719
1775205372.77,126.3,0.00582,0.1719
1775205376.019,129.5,0.005818,-0.1719
1775205377.094,130.6,0.005817,-0.3437
1775205378.316,131.8,0.005818,-0.1719
1775205379.608,133.1,0.005818,-0.1719
1775205380.986,134.5,0.005816,-0.5156
1775205382.339,135.8,0.005817,-0.3437
1775205388.9,142.4,0.005818,-0.1719
1775205390.031,143.5,0.005818,-0.1719
1775205392.544,146.0,0.005818,-0.1719
1775205394.947,148.4,0.005818,-0.1719
1775205397.028,150.5,0.005818,-0.1719
1775205398.07,151.6,0.005816,-0.5156
1775205400.695,154.2,0.005818,-0.1719
1775205402.232,155.7,0.005817,-0.3437
1775205403.846,157.3,0.005818,-0.1719
1775205405.602,159.1,0.005821,0.3437
1775205409.052,162.5,0.005821,0.3437
1775205410.47,164.0,0.005821,0.3437
1775205412.274,165.8,0.005821,0.3437
1775205414.132,167.6,0.005821,0.3437
1775205415.834,169.3,0.005821,0.3437
1775205417.096,170.6,0.005821,0.3437
1775205420.242,173.7,0.005821,0.3437
1775205421.946,175.4,0.005822,0.5156
1775205422.994,176.5,0.00582,0.1719
1775205424.727,178.2,0.005821,0.3437
1775205426.004,179.5,0.005821,0.3437
1775205427.632,181.1,0.005821,0.3437
1775205429.311,182.8,0.00582,0.1719
1775205432.315,185.8,0.00582,0.1719
1775205434.318,187.8,0.00582,0.1719
1775205438.057,191.5,0.00582,0.1719
1775205439.715,193.2,0.00582,0.1719
1775205443.102,196.6,0.00582,0.1719
1775205444.333,197.8,0.005819,0.0
1775205446.568,200.1,0.00582,0.1719
1775205449.235,202.7,0.00582,0.1719
1775205451.661,205.1,0.00582,0.1719
1775205454.218,207.7,0.00582,0.1719
1775205458.2,211.7,0.00582,0.1719
1775205459.377,212.9,0.005821,0.3437
1775205461.217,214.7,0.005821,0.3437
1775205462.645,216.1,0.005821,0.3437
1775205463.849,217.3,0.005822,0.5156
1775205466.005,219.5,0.005822,0.5156
1775205467.551,221.0,0.005822,0.5156
1775205470.262,223.7,0.005822,0.5156
1775205471.446,224.9,0.005822,0.5156
1775205472.893,226.4,0.00582,0.1719
1775205474.025,227.5,0.005819,0.0
1775205475.38,228.9,0.00582,0.1719
1775205476.992,230.5,0.005819,0.0
1775205478.865,232.3,0.005819,0.0
1775205480.526,234.0,0.00582,0.1719
1775205482.048,235.5,0.005822,0.5156
1775205484.627,238.1,0.005822,0.5156
1775205491.751,245.2,0.005821,0.3437
1775205494.275,247.8,0.005821,0.3437
1775205498.627,252.1,0.005821,0.3437
1775205504.644,258.1,0.005821,0.3437
1775205506.49,260.0,0.005821,0.3437
1775205509.8,263.3,0.005821,0.3437
1775205512.895,266.4,0.005821,0.3437
1775205514.581,268.1,0.005821,0.3437
1775205516.809,270.3,0.005821,0.3437
1775205518.91,272.4,0.005821,0.3437
1775205520.113,273.6,0.005821,0.3437
1775205521.19,274.7,0.005821,0.3437
1775205528.329,281.8,0.005821,0.3437
1775205530.521,284.0,0.00582,0.1719
1775205533.14,286.6,0.00582,0.1719
