# symbol=AIOTUSDT,side=LONG,entry_price=0.05241,exit_price=0.05209,exit_reason=vol_stop,sl_price=0.052095539999999996,tp_price=0.05319614999999999,leverage=10
ts,seconds,price,ret_margin_pct
1775187885.234,0.0,0.05241,0.0
1775187886.286,1.1,0.05236,-0.954
1775187887.423,2.2,0.05238,-0.5724
1775187888.503,3.3,0.05248,1.3356
1775187889.532,4.3,0.05245,0.7632
1775187890.705,5.5,0.05247,1.1448
1775187891.797,6.6,0.05244,0.5724
1775187892.997,7.8,0.0525,1.7172
1775187894.368,9.1,0.05247,1.1448
1775187895.417,10.2,0.0525,1.7172
1775187897.168,11.9,0.05241,0.0
1775187898.267,13.0,0.05241,0.0
1775187899.278,14.0,0.05248,1.3356
1775187900.317,15.1,0.05254,2.4804
1775187901.355,16.1,0.05254,2.4804
1775187902.365,17.1,0.05242,0.1908
1775187903.399,18.2,0.05252,2.0988
1775187904.473,19.2,0.05255,2.6712
1775187905.54,20.3,0.0524,-0.1908
1775187906.654,21.4,0.05244,0.5724
1775187907.658,22.4,0.05247,1.1448
1775187908.711,23.5,0.05252,2.0988
1775187909.782,24.5,0.05246,0.954
1775187910.79,25.6,0.05241,0.0
1775187911.881,26.6,0.05227,-2.6712
1775187912.883,27.6,0.0522,-4.0069
1775187913.477,28.2,0.05209,-6.1057
