# symbol=AIOTUSDT,side=LONG,entry_price=0.0527,exit_price=0.05314,exit_reason=strategy_stop,sl_price=0.052383799999999994,tp_price=0.05349049999999999,leverage=10
ts,seconds,price,ret_margin_pct
1775188200.401,0.0,0.0527,0.0
1775188201.426,1.0,0.05269,-0.1898
1775188202.47,2.1,0.05282,2.277
1775188203.579,3.2,0.0529,3.7951
1775188204.781,4.4,0.0529,3.7951
1775188205.827,5.4,0.05285,2.8463
1775188206.899,6.5,0.05287,3.2258
1775188207.925,7.5,0.05283,2.4668
1775188208.993,8.6,0.05279,1.7078
1775188210.025,9.6,0.05284,2.6565
1775188211.1,10.7,0.05286,3.0361
1775188212.229,11.8,0.05282,2.277
1775188213.3,12.9,0.05277,1.3283
1775188214.412,14.0,0.05276,1.1385
1775188215.609,15.2,0.05277,1.3283
1775188216.728,16.3,0.05275,0.9488
1775188217.819,17.4,0.0528,1.8975
1775188218.951,18.5,0.05281,2.0873
1775188220.171,19.8,0.0528,1.8975
1775188221.361,21.0,0.05274,0.759
1775188222.593,22.2,0.05276,1.1385
1775188223.613,23.2,0.05267,-0.5693
1775188224.687,24.3,0.05281,2.0873
1775188225.697,25.3,0.05274,0.759
1775188226.767,26.4,0.05274,0.759
1775188227.803,27.4,0.05271,0.1898
1775188228.891,28.5,0.05269,-0.1898
1775188229.989,29.6,0.05284,2.6565
1775188230.991,30.6,0.05281,2.0873
1775188232.048,31.6,0.05287,3.2258
1775188233.086,32.7,0.05297,5.1233
1775188234.153,33.8,0.053,5.6926
1775188235.16,34.8,0.05295,4.7438
1775188236.243,35.8,0.05323,10.0569
1775188237.254,36.9,0.05327,10.8159
1775188238.395,38.0,0.05326,10.6262
1775188239.447,39.0,0.05323,10.0569
1775188240.53,40.1,0.05322,9.8672
1775188241.665,41.3,0.05329,11.1954
1775188242.776,42.4,0.05331,11.575
1775188243.82,43.4,0.05329,11.1954
1775188244.835,44.4,0.05326,10.6262
1775188246.973,46.6,0.0533,11.3852
1775188248.007,47.6,0.0534,13.2827
1775188249.058,48.7,0.05337,12.7135
1775188250.106,49.7,0.05337,12.7135
1775188251.19,50.8,0.05326,10.6262
1775188252.218,51.8,0.05319,9.2979
1775188253.514,53.1,0.05321,9.6774
1775188254.528,54.1,0.05322,9.8672
1775188255.621,55.2,0.05321,9.6774
1775188256.7,56.3,0.05308,7.2106
1775188257.73,57.3,0.05318,9.1082
1775188258.735,58.3,0.0531,7.5901
1775188259.847,59.4,0.05311,7.7799
1775188260.914,60.5,0.05317,8.9184
1775188261.94,61.5,0.05322,9.8672
1775188262.963,62.6,0.05326,10.6262
1775188265.182,64.8,0.05315,8.5389
1775188265.258,64.9,0.05314,8.3491
