# symbol=AIOTUSDT,side=LONG,entry_price=0.03714,exit_price=0.03676,exit_reason=dynamic_vol_stop,sl_price=0.036694319999999996,tp_price=0.0376971,leverage=10
ts,seconds,price,ret_margin_pct
1775195085.562,0.0,0.03714,0.0
1775195086.655,1.1,0.03711,-0.8078
1775195087.738,2.2,0.0371,-1.077
1775195088.801,3.2,0.03711,-0.8078
1775195089.804,4.2,0.03708,-1.6155
1775195091.003,5.4,0.03706,-2.154
1775195092.006,6.4,0.03689,-6.7313
1775195093.09,7.5,0.03693,-5.6543
1775195094.193,8.6,0.0369,-6.462
1775195095.204,9.6,0.03703,-2.9618
1775195096.341,10.8,0.03702,-3.231
1775195097.418,11.9,0.03701,-3.5003
1775195098.556,13.0,0.03699,-4.0388
1775195099.719,14.2,0.03694,-5.385
1775195100.931,15.4,0.03694,-5.385
1775195101.732,16.2,0.03676,-10.2316
