# symbol=ALGOUSDT,side=LONG,entry_price=0.1173,exit_price=0.1168,exit_reason=lifecycle_reversal,sl_price=0.1158924,tp_price=0.11905949999999998,leverage=10
ts,seconds,price,ret_margin_pct
1775193798.679,0.0,0.1173,0.0
1775193800.301,1.6,0.1173,0.0
1775193801.65,3.0,0.1172,-0.8525
1775193805.919,7.2,0.1172,-0.8525
1775193808.397,9.7,0.1172,-0.8525
1775193810.491,11.8,0.1172,-0.8525
1775193814.434,15.8,0.1173,0.0
1775193815.697,17.0,0.1172,-0.8525
1775193819.133,20.5,0.1172,-0.8525
1775193820.177,21.5,0.1172,-0.8525
1775193821.791,23.1,0.1173,0.0
1775193824.283,25.6,0.1172,-0.8525
1775193827.21,28.5,0.1172,-0.8525
1775193828.349,29.7,0.1173,0.0
1775193830.354,31.7,0.1173,0.0
1775193832.036,33.4,0.1174,0.8525
1775193833.124,34.4,0.1174,0.8525
1775193837.102,38.4,0.1173,0.0
1775193838.45,39.8,0.1173,0.0
1775193840.358,41.7,0.1173,0.0
1775193841.458,42.8,0.1173,0.0
1775193843.581,44.9,0.1172,-0.8525
1775193849.683,51.0,0.1171,-1.705
1775193852.119,53.4,0.1171,-1.705
1775193853.142,54.5,0.117,-2.5575
1775193854.77,56.1,0.117,-2.5575
1775193856.825,58.1,0.1172,-0.8525
1775193859.519,60.8,0.1172,-0.8525
1775193860.568,61.9,0.1172,-0.8525
1775193864.723,66.0,0.1172,-0.8525
1775193868.153,69.5,0.1173,0.0
1775193874.795,76.1,0.1172,-0.8525
1775193882.093,83.4,0.1173,0.0
1775193883.095,84.4,0.1172,-0.8525
1775193886.328,87.6,0.1172,-0.8525
1775193892.355,93.7,0.1171,-1.705
1775193894.445,95.8,0.1172,-0.8525
1775193908.553,109.9,0.1171,-1.705
1775193910.504,111.8,0.1171,-1.705
1775193912.547,113.9,0.117,-2.5575
1775193914.583,115.9,0.1171,-1.705
1775193916.964,118.3,0.1171,-1.705
1775193918.148,119.5,0.117,-2.5575
1775193920.765,122.1,0.1169,-3.4101
1775193922.488,123.8,0.1167,-5.1151
1775193923.986,125.3,0.1167,-5.1151
1775193925.889,127.2,0.1166,-5.9676
1775193927.246,128.6,0.1167,-5.1151
1775193930.418,131.7,0.1167,-5.1151
1775193932.316,133.6,0.1167,-5.1151
1775193934.15,135.5,0.1167,-5.1151
1775193935.242,136.6,0.1166,-5.9676
1775193938.053,139.4,0.1169,-3.4101
1775193939.327,140.6,0.117,-2.5575
1775193940.729,142.0,0.117,-2.5575
1775193941.939,143.3,0.1171,-1.705
1775193943.067,144.4,0.1171,-1.705
1775193944.237,145.6,0.1171,-1.705
1775193945.264,146.6,0.1171,-1.705
1775193946.306,147.6,0.1171,-1.705
1775193947.314,148.6,0.117,-2.5575
1775193948.489,149.8,0.1171,-1.705
1775193950.598,151.9,0.1171,-1.705
1775193953.866,155.2,0.1171,-1.705
1775193954.983,156.3,0.117,-2.5575
1775193956.627,157.9,0.1171,-1.705
1775193958.278,159.6,0.1172,-0.8525
1775193960.129,161.5,0.1171,-1.705
1775193961.168,162.5,0.1171,-1.705
1775193962.28,163.6,0.1171,-1.705
1775193963.764,165.1,0.1172,-0.8525
1775193965.925,167.2,0.1171,-1.705
1775193967.89,169.2,0.1171,-1.705
1775193969.668,171.0,0.1172,-0.8525
1775193971.82,173.1,0.1172,-0.8525
1775193975.376,176.7,0.1171,-1.705
1775193978.078,179.4,0.1172,-0.8525
1775193980.304,181.6,0.1171,-1.705
1775193982.531,183.9,0.1171,-1.705
1775193985.174,186.5,0.117,-2.5575
1775193987.447,188.8,0.1171,-1.705
1775193992.348,193.7,0.1171,-1.705
1775193993.566,194.9,0.1171,-1.705
1775193995.566,196.9,0.1171,-1.705
1775193998.108,199.4,0.1172,-0.8525
1775193999.477,200.8,0.1172,-0.8525
1775194000.602,201.9,0.1172,-0.8525
1775194002.095,203.4,0.1172,-0.8525
1775194003.62,204.9,0.1173,0.0
1775194004.722,206.0,0.1172,-0.8525
1775194006.699,208.0,0.1172,-0.8525
1775194010.972,212.3,0.1173,0.0
1775194013.842,215.2,0.1173,0.0
1775194015.113,216.4,0.1173,0.0
1775194022.161,223.5,0.1172,-0.8525
1775194023.912,225.2,0.1173,0.0
1775194025.53,226.9,0.1172,-0.8525
1775194028.022,229.3,0.1173,0.0
1775194029.978,231.3,0.1172,-0.8525
1775194032.993,234.3,0.1173,0.0
1775194035.17,236.5,0.1172,-0.8525
1775194039.899,241.2,0.1172,-0.8525
1775194042.218,243.5,0.1172,-0.8525
1775194044.334,245.7,0.1173,0.0
1775194050.073,251.4,0.1172,-0.8525
1775194051.558,252.9,0.1174,0.8525
1775194053.721,255.0,0.1174,0.8525
1775194054.899,256.2,0.1174,0.8525
1775194056.659,258.0,0.1173,0.0
1775194057.803,259.1,0.1174,0.8525
1775194058.892,260.2,0.1173,0.0
1775194060.14,261.5,0.1173,0.0
1775194061.297,262.6,0.1171,-1.705
1775194062.573,263.9,0.1171,-1.705
1775194064.301,265.6,0.1171,-1.705
1775194066.377,267.7,0.1171,-1.705
1775194067.738,269.1,0.117,-2.5575
1775194068.906,270.2,0.117,-2.5575
1775194071.221,272.5,0.117,-2.5575
1775194072.682,274.0,0.1169,-3.4101
1775194074.245,275.6,0.117,-2.5575
1775194075.524,276.8,0.117,-2.5575
1775194076.595,277.9,0.117,-2.5575
1775194077.627,278.9,0.117,-2.5575
1775194080.481,281.8,0.117,-2.5575
1775194081.729,283.1,0.117,-2.5575
1775194082.854,284.2,0.1168,-4.2626
1775194085.509,286.8,0.1168,-4.2626
1775194087.195,288.5,0.1168,-4.2626
1775194089.722,291.0,0.1168,-4.2626
1775194090.456,291.8,0.1168,-4.2626
