# symbol=ALGOUSDT,side=LONG,entry_price=0.1207,exit_price=0.1199,exit_reason=dynamic_vol_stop,sl_price=0.1192516,tp_price=0.1225105,leverage=10
ts,seconds,price,ret_margin_pct
1775205246.45,0.0,0.1207,0.0
1775205247.464,1.0,0.1207,0.0
1775205249.383,2.9,0.1207,0.0
1775205251.223,4.8,0.1207,0.0
1775205252.689,6.2,0.1208,0.8285
1775205254.349,7.9,0.1208,0.8285
1775205259.524,13.1,0.1207,0.0
1775205262.376,15.9,0.1207,0.0
1775205264.43,18.0,0.1207,0.0
1775205266.416,20.0,0.1209,1.657
1775205267.977,21.5,0.1209,1.657
1775205269.157,22.7,0.121,2.4855
1775205270.535,24.1,0.1211,3.314
1775205272.403,26.0,0.1211,3.314
1775205273.681,27.2,0.121,2.4855
1775205274.771,28.3,0.1211,3.314
1775205275.948,29.5,0.1209,1.657
1775205276.979,30.5,0.1209,1.657
1775205277.992,31.5,0.1209,1.657
1775205279.085,32.6,0.1208,0.8285
1775205280.217,33.8,0.1209,1.657
1775205281.231,34.8,0.1208,0.8285
1775205282.245,35.8,0.1208,0.8285
1775205283.337,36.9,0.1207,0.0
1775205284.609,38.2,0.1208,0.8285
1775205286.005,39.6,0.1207,0.0
1775205287.065,40.6,0.1207,0.0
1775205288.676,42.2,0.1207,0.0
1775205291.64,45.2,0.1207,0.0
1775205292.808,46.4,0.1206,-0.8285
1775205293.888,47.4,0.1206,-0.8285
1775205295.248,48.8,0.1206,-0.8285
1775205296.396,49.9,0.1206,-0.8285
1775205297.44,51.0,0.1205,-1.657
1775205299.214,52.8,0.1205,-1.657
1775205300.948,54.5,0.1206,-0.8285
1775205302.067,55.6,0.1206,-0.8285
1775205303.426,57.0,0.1205,-1.657
1775205304.807,58.4,0.1205,-1.657
1775205306.051,59.6,0.1202,-4.1425
1775205307.393,60.9,0.1202,-4.1425
1775205309.171,62.7,0.1201,-4.971
1775205310.244,63.8,0.1202,-4.1425
1775205311.314,64.9,0.1202,-4.1425
1775205312.585,66.1,0.1202,-4.1425
1775205314.545,68.1,0.1203,-3.314
1775205315.57,69.1,0.1202,-4.1425
1775205316.64,70.2,0.1202,-4.1425
1775205317.715,71.3,0.1202,-4.1425
1775205318.771,72.3,0.1203,-3.314
1775205322.173,75.7,0.1203,-3.314
1775205323.257,76.8,0.1203,-3.314
1775205324.271,77.8,0.1203,-3.314
1775205325.464,79.0,0.1203,-3.314
1775205326.61,80.2,0.1203,-3.314
1775205327.635,81.2,0.1203,-3.314
1775205328.832,82.4,0.1203,-3.314
1775205332.931,86.5,0.1204,-2.4855
1775205334.873,88.4,0.1204,-2.4855
1775205337.167,90.7,0.1204,-2.4855
1775205338.398,91.9,0.1204,-2.4855
1775205340.214,93.8,0.1203,-3.314
1775205341.461,95.0,0.1203,-3.314
1775205342.7,96.3,0.1203,-3.314
1775205344.765,98.3,0.1203,-3.314
1775205346.17,99.7,0.1204,-2.4855
1775205349.336,102.9,0.1203,-3.314
1775205350.701,104.3,0.1203,-3.314
1775205352.545,106.1,0.1203,-3.314
1775205353.887,107.4,0.1203,-3.314
1775205355.917,109.5,0.1204,-2.4855
1775205356.931,110.5,0.1204,-2.4855
1775205358.301,111.9,0.1204,-2.4855
1775205360.165,113.7,0.1204,-2.4855
1775205361.291,114.8,0.1203,-3.314
1775205362.709,116.3,0.1203,-3.314
1775205365.149,118.7,0.1203,-3.314
1775205366.273,119.8,0.1202,-4.1425
1775205369.665,123.2,0.1202,-4.1425
1775205371.041,124.6,0.1202,-4.1425
1775205372.137,125.7,0.12,-5.7995
1775205373.409,127.0,0.12,-5.7995
1775205374.714,128.3,0.1201,-4.971
1775205376.924,130.5,0.1201,-4.971
1775205378.621,132.2,0.12,-5.7995
1775205380.308,133.9,0.1201,-4.971
1775205381.547,135.1,0.1201,-4.971
1775205382.755,136.3,0.1201,-4.971
1775205384.119,137.7,0.12,-5.7995
1775205385.374,138.9,0.1199,-6.628
