# symbol=ALGOUSDT,side=LONG,entry_price=0.1199,exit_price=0.1199,exit_reason=strategy_stop,sl_price=0.1184612,tp_price=0.1216985,leverage=10
ts,seconds,price,ret_margin_pct
1775205385.838,0.0,0.1199,0.0
1775205386.952,1.1,0.1198,-0.834
1775205388.084,2.2,0.1199,0.0
1775205389.536,3.7,0.1198,-0.834
1775205390.588,4.8,0.12,0.834
1775205391.789,6.0,0.1199,0.0
1775205393.009,7.2,0.1199,0.0
1775205395.233,9.4,0.1198,-0.834
1775205397.291,11.5,0.1198,-0.834
1775205399.109,13.3,0.1199,0.0
1775205400.381,14.5,0.12,0.834
1775205401.598,15.8,0.12,0.834
1775205402.599,16.8,0.1199,0.0
1775205403.782,17.9,0.1199,0.0
1775205405.112,19.3,0.1199,0.0
1775205406.22,20.4,0.1199,0.0
1775205407.875,22.0,0.1199,0.0
1775205410.436,24.6,0.1198,-0.834
1775205411.501,25.7,0.1199,0.0
1775205414.781,28.9,0.1199,0.0
1775205418.458,32.6,0.1198,-0.834
1775205419.876,34.0,0.1199,0.0
1775205421.318,35.5,0.1199,0.0
1775205422.447,36.6,0.1199,0.0
1775205423.861,38.0,0.1198,-0.834
1775205425.722,39.9,0.1198,-0.834
1775205428.199,42.4,0.1198,-0.834
1775205429.26,43.4,0.1198,-0.834
1775205430.704,44.9,0.1198,-0.834
1775205431.786,45.9,0.1199,0.0
1775205434.69,48.9,0.1198,-0.834
1775205435.797,50.0,0.1198,-0.834
1775205438.021,52.2,0.1199,0.0
1775205439.12,53.3,0.1199,0.0
1775205440.128,54.3,0.1199,0.0
1775205442.456,56.6,0.12,0.834
1775205443.725,57.9,0.1201,1.6681
1775205446.265,60.4,0.1201,1.6681
1775205447.483,61.6,0.1201,1.6681
1775205448.917,63.1,0.12,0.834
1775205449.988,64.2,0.1201,1.6681
1775205451.061,65.2,0.1201,1.6681
1775205452.919,67.1,0.12,0.834
1775205454.186,68.3,0.12,0.834
1775205456.233,70.4,0.12,0.834
1775205457.237,71.4,0.1199,0.0
1775205459.217,73.4,0.12,0.834
1775205461.069,75.2,0.12,0.834
1775205462.107,76.3,0.12,0.834
1775205463.543,77.7,0.12,0.834
1775205464.622,78.8,0.12,0.834
1775205467.176,81.3,0.1199,0.0
1775205468.982,83.1,0.1198,-0.834
1775205472.078,86.2,0.1197,-1.6681
1775205473.118,87.3,0.1197,-1.6681
1775205474.268,88.4,0.1197,-1.6681
1775205476.869,91.0,0.1197,-1.6681
1775205477.951,92.1,0.1197,-1.6681
1775205479.345,93.5,0.1196,-2.5021
1775205480.672,94.8,0.1197,-1.6681
1775205482.138,96.3,0.1198,-0.834
1775205483.851,98.0,0.1198,-0.834
1775205484.861,99.0,0.1198,-0.834
1775205486.353,100.5,0.1198,-0.834
1775205487.611,101.8,0.12,0.834
1775205488.864,103.0,0.12,0.834
1775205490.698,104.9,0.1199,0.0
1775205494.408,108.6,0.1199,0.0
1775205500.618,114.8,0.1199,0.0
1775205502.061,116.2,0.12,0.834
1775205503.092,117.3,0.1201,1.6681
1775205504.866,119.0,0.1201,1.6681
1775205506.433,120.6,0.1201,1.6681
1775205507.941,122.1,0.1201,1.6681
1775205513.198,127.4,0.1201,1.6681
1775205516.056,130.2,0.1201,1.6681
1775205517.913,132.1,0.12,0.834
1775205520.598,134.8,0.1199,0.0
1775205522.482,136.6,0.12,0.834
1775205527.927,142.1,0.1199,0.0
1775205534.098,148.3,0.1199,0.0
