# symbol=APRUSDT,side=LONG,entry_price=0.18832,exit_price=0.19001,exit_reason=trailing_expansion,sl_price=0.18606015999999997,tp_price=0.19114479999999998,leverage=10
ts,seconds,price,ret_margin_pct
1775198996.214,0.0,0.18832,0.0
1775198997.332,1.1,0.18827,-0.2655
1775198998.455,2.2,0.18806,-1.3806
1775198999.6,3.4,0.18816,-0.8496
1775199000.63,4.4,0.18806,-1.3806
1775199001.662,5.4,0.1867,-8.6024
1775199002.804,6.6,0.18739,-4.9384
1775199003.897,7.7,0.18754,-4.1419
1775199005.022,8.8,0.1878,-2.7613
1775199006.167,10.0,0.1879,-2.2302
1775199007.226,11.0,0.18761,-3.7702
1775199008.273,12.1,0.18803,-1.5399
1775199009.354,13.1,0.18808,-1.2744
1775199010.464,14.3,0.1881,-1.1682
1775199011.525,15.3,0.18813,-1.0089
1775199012.534,16.3,0.18802,-1.593
1775199013.573,17.4,0.18797,-1.8585
1775199014.575,18.4,0.1881,-1.1682
1775199015.745,19.5,0.18809,-1.2213
1775199016.788,20.6,0.18839,0.3717
1775199017.789,21.6,0.18823,-0.4779
1775199018.801,22.6,0.18802,-1.593
1775199019.817,23.6,0.18824,-0.4248
1775199020.888,24.7,0.18822,-0.531
1775199021.984,25.8,0.1885,0.9558
1775199023.184,27.0,0.18845,0.6903
1775199024.27,28.1,0.18865,1.7523
1775199025.402,29.2,0.18886,2.8675
1775199026.409,30.2,0.18889,3.0268
1775199027.439,31.2,0.18886,2.8675
1775199028.491,32.3,0.18894,3.2923
1775199029.618,33.4,0.18877,2.3895
1775199030.697,34.5,0.18878,2.4427
1775199031.804,35.6,0.18853,1.1151
1775199032.868,36.7,0.18909,4.0888
1775199034.001,37.8,0.18923,4.8322
1775199035.146,38.9,0.18908,4.0357
1775199036.306,40.1,0.18939,5.6818
1775199037.349,41.1,0.18895,3.3454
1775199038.454,42.2,0.18926,4.9915
1775199039.592,43.4,0.18943,5.8942
1775199040.938,44.7,0.18948,6.1597
1775199042.016,45.8,0.18938,5.6287
1775199043.073,46.9,0.18968,7.2218
1775199044.188,48.0,0.18966,7.1155
1775199045.327,49.1,0.18968,7.2218
1775199046.369,50.2,0.18995,8.6555
1775199047.378,51.2,0.18957,6.6376
1775199048.429,52.2,0.18965,7.0624
1775199049.467,53.3,0.18962,6.9031
1775199050.602,54.4,0.18987,8.2307
1775199051.755,55.5,0.18995,8.6555
1775199052.777,56.6,0.18986,8.1776
1775199053.894,57.7,0.18965,7.0624
1775199055.019,58.8,0.18985,8.1245
1775199056.104,59.9,0.18977,7.6997
1775199057.127,60.9,0.18983,8.0183
1775199058.143,61.9,0.18987,8.2307
1775199059.154,62.9,0.18997,8.7617
1775199060.251,64.0,0.18997,8.7617
1775199061.269,65.1,0.18965,7.0624
1775199062.288,66.1,0.1893,5.2039
1775199063.413,67.2,0.18945,6.0004
1775199064.439,68.2,0.18956,6.5845
1775199065.498,69.3,0.18962,6.9031
1775199066.599,70.4,0.18961,6.85
1775199067.648,71.4,0.18961,6.85
1775199068.795,72.6,0.18939,5.6818
1775199069.915,73.7,0.1892,4.6729
1775199070.92,74.7,0.18929,5.1508
1775199071.932,75.7,0.18907,3.9826
1775199073.014,76.8,0.18925,4.9384
1775199074.095,77.9,0.1893,5.2039
1775199075.129,78.9,0.18931,5.257
1775199076.174,80.0,0.18922,4.7791
1775199077.429,81.2,0.18938,5.6287
1775199078.551,82.3,0.18949,6.2128
1775199079.553,83.3,0.18964,7.0093
1775199080.713,84.5,0.1899,8.39
1775199081.793,85.6,0.18998,8.8148
1775199082.886,86.7,0.18999,8.8679
1775199084.635,88.4,0.18998,8.8148
1775199085.694,89.5,0.18993,8.5493
1775199086.751,90.5,0.19,8.921
1775199087.888,91.7,0.18997,8.7617
1775199088.939,92.7,0.18997,8.7617
1775199090.062,93.8,0.18988,8.2838
1775199091.215,95.0,0.18993,8.5493
1775199092.284,96.1,0.18999,8.8679
1775199093.665,97.5,0.19,8.921
1775199094.72,98.5,0.18992,8.4962
1775199095.85,99.6,0.18996,8.7086
1775199096.88,100.7,0.18987,8.2307
1775199097.899,101.7,0.18983,8.0183
1775199098.945,102.7,0.18982,7.9652
1775199100.06,103.8,0.18987,8.2307
1775199101.265,105.1,0.18992,8.4962
1775199102.483,106.3,0.18988,8.2838
1775199103.794,107.6,0.18993,8.5493
1775199105.111,108.9,0.18997,8.7617
1775199106.253,110.0,0.18996,8.7086
1775199107.405,111.2,0.19,8.921
1775199108.501,112.3,0.18988,8.2838
1775199109.531,113.3,0.18987,8.2307
1775199110.719,114.5,0.18988,8.2838
1775199111.72,115.5,0.1899,8.39
1775199112.782,116.6,0.1899,8.39
1775199113.803,117.6,0.18973,7.4873
1775199114.923,118.7,0.18978,7.7528
1775199115.941,119.7,0.18917,4.5136
1775199116.993,120.8,0.18898,3.5047
1775199118.024,121.8,0.18889,3.0268
1775199119.083,122.9,0.18905,3.8764
1775199120.117,123.9,0.18907,3.9826
1775199121.189,125.0,0.1892,4.6729
1775199122.247,126.0,0.18912,4.2481
1775199123.341,127.1,0.18922,4.7791
1775199124.366,128.2,0.18925,4.9384
1775199125.375,129.2,0.18943,5.8942
1775199126.433,130.2,0.18981,7.9121
1775199127.669,131.5,0.18984,8.0714
1775199128.753,132.5,0.18986,8.1776
1775199129.778,133.6,0.18995,8.6555
1775199130.832,134.6,0.18991,8.4431
1775199132.187,136.0,0.19,8.921
1775199133.732,137.5,0.19,8.921
1775199135.275,139.1,0.18995,8.6555
1775199136.374,140.2,0.19,8.921
1775199137.388,141.2,0.18995,8.6555
1775199139.582,143.4,0.19009,9.3989
1775199140.621,144.4,0.1899,8.39
1775199141.759,145.5,0.18995,8.6555
1775199142.778,146.6,0.19009,9.3989
1775199144.847,148.6,0.19007,9.2927
1775199145.949,149.7,0.18982,7.9652
1775199147.052,150.8,0.18975,7.5935
1775199148.059,151.8,0.18988,8.2838
1775199149.34,153.1,0.19,8.921
1775199150.68,154.5,0.18995,8.6555
1775199152.163,155.9,0.19016,9.7706
1775199153.217,157.0,0.19,8.921
1775199157.634,161.4,0.1901,9.452
1775199159.099,162.9,0.19018,9.8768
1775199161.055,164.8,0.19025,10.2485
1775199162.613,166.4,0.19055,11.8415
1775199163.773,167.6,0.1907,12.6381
1775199165.747,169.5,0.19067,12.4788
1775199166.788,170.6,0.19032,10.6202
1775199168.048,171.8,0.18993,8.5493
1775199169.056,172.8,0.18939,5.6818
1775199170.135,173.9,0.18933,5.3632
1775199171.154,174.9,0.18981,7.9121
1775199172.181,176.0,0.19039,10.9919
1775199173.355,177.1,0.19057,11.9477
1775199174.527,178.3,0.19017,9.8237
1775199175.546,179.3,0.18999,8.8679
1775199178.598,182.4,0.19001,8.9741
1775199179.068,182.9,0.19001,8.9741
