# symbol=APRUSDT,side=SHORT,entry_price=0.17316,exit_price=0.1737,exit_reason=lifecycle_reversal,sl_price=0.17419896,tp_price=0.1705626,leverage=10
ts,seconds,price,ret_margin_pct
1775187998.965,0.0,0.17316,0.0
1775188000.917,2.0,0.17316,0.0
1775188010.553,11.6,0.17315,0.0578
1775188016.326,17.4,0.17312,0.231
1775188023.163,24.2,0.17313,0.1733
1775188035.064,36.1,0.1731,0.3465
1775188044.413,45.4,0.1731,0.3465
1775188050.767,51.8,0.17307,0.5198
1775188053.737,54.8,0.17311,0.2888
1775188061.447,62.5,0.17312,0.231
1775188071.572,72.6,0.17313,0.1733
1775188077.146,78.2,0.17313,0.1733
1775188088.494,89.5,0.17309,0.4043
1775188089.924,91.0,0.17308,0.462
1775188091.317,92.4,0.17305,0.6353
1775188092.359,93.4,0.17319,-0.1733
1775188094.07,95.1,0.1732,-0.231
1775188095.667,96.7,0.17317,-0.0578
1775188096.778,97.8,0.17318,-0.1155
1775188099.144,100.2,0.17319,-0.1733
1775188101.544,102.6,0.17322,-0.3465
1775188104.132,105.2,0.17317,-0.0578
1775188119.135,120.2,0.17317,-0.0578
1775188120.52,121.6,0.17361,-2.5988
1775188121.719,122.8,0.1737,-3.1185
