# symbol=APRUSDT,side=SHORT,entry_price=0.1812,exit_price=0.18247,exit_reason=dynamic_vol_stop,sl_price=0.1833744,tp_price=0.178482,leverage=10
ts,seconds,price,ret_margin_pct
1775194880.909,0.0,0.1812,0.0
1775194882.051,1.1,0.1811,0.5519
1775194883.643,2.7,0.1811,0.5519
1775194884.656,3.7,0.18105,0.8278
1775194886.11,5.2,0.18129,-0.4967
1775194887.445,6.5,0.18134,-0.7726
1775194890.071,9.2,0.18136,-0.883
1775194891.507,10.6,0.18141,-1.1589
1775194893.123,12.2,0.18145,-1.3797
1775194894.25,13.3,0.18177,-3.1457
1775194895.251,14.3,0.18183,-3.4768
1775194896.54,15.6,0.18198,-4.3046
1775194898.041,17.1,0.18188,-3.7528
1775194899.161,18.3,0.1818,-3.3113
1775194900.605,19.7,0.18247,-7.0088
