# symbol=ARCUSDT,side=SHORT,entry_price=0.05324,exit_price=0.05322,exit_reason=lifecycle_reversal,sl_price=0.053878880000000004,tp_price=0.0524414,leverage=10
ts,seconds,price,ret_margin_pct
1775193991.91,0.0,0.05324,0.0
1775193993.343,1.4,0.05324,0.0
1775193997.58,5.7,0.05323,0.1878
1775194001.223,9.3,0.05324,0.0
1775194003.988,12.1,0.05323,0.1878
1775194011.463,19.6,0.05322,0.3757
1775194013.739,21.8,0.05322,0.3757
1775194021.86,29.9,0.05321,0.5635
1775194024.579,32.7,0.05321,0.5635
1775194028.134,36.2,0.05319,0.9391
1775194029.335,37.4,0.05322,0.3757
1775194036.5,44.6,0.05319,0.9391
1775194042.363,50.5,0.05321,0.5635
1775194043.547,51.6,0.05321,0.5635
1775194047.811,55.9,0.05322,0.3757
1775194050.475,58.6,0.05321,0.5635
1775194054.672,62.8,0.05323,0.1878
1775194061.647,69.7,0.05324,0.0
1775194063.145,71.2,0.05323,0.1878
1775194068.59,76.7,0.05322,0.3757
1775194077.251,85.3,0.05324,0.0
1775194078.352,86.4,0.05328,-0.7513
1775194084.591,92.7,0.05328,-0.7513
1775194087.847,95.9,0.05327,-0.5635
1775194095.545,103.6,0.05327,-0.5635
1775194104.928,113.0,0.05326,-0.3757
1775194110.785,118.9,0.05327,-0.5635
1775194117.445,125.5,0.05329,-0.9391
1775194120.598,128.7,0.0533,-1.127
1775194123.255,131.3,0.05328,-0.7513
1775194126.731,134.8,0.05328,-0.7513
1775194132.491,140.6,0.05324,0.0
1775194134.119,142.2,0.05325,-0.1878
1775194141.315,149.4,0.05322,0.3757
1775194144.244,152.3,0.05323,0.1878
1775194150.642,158.7,0.05322,0.3757
