# symbol=ARIAUSDT,side=LONG,entry_price=0.45041,exit_price=0.45493,exit_reason=trailing_expansion,sl_price=0.44140179999999996,tp_price=0.45716614999999994,leverage=10
ts,seconds,price,ret_margin_pct
1775188734.494,0.0,0.45041,0.0
1775188735.509,1.0,0.44997,-0.9769
1775188736.609,2.1,0.44992,-1.0879
1775188737.749,3.3,0.44929,-2.4866
1775188738.75,4.3,0.44954,-1.9316
1775188740.031,5.5,0.44976,-1.4431
1775188741.161,6.7,0.4496,-1.7984
1775188742.288,7.8,0.45053,0.2664
1775188743.723,9.2,0.45056,0.333
1775188744.736,10.2,0.45078,0.8215
1775188745.786,11.3,0.45111,1.5541
1775188747.775,13.3,0.45203,3.5967
1775188749.412,14.9,0.45107,1.4653
1775188751.085,16.6,0.45096,1.2211
1775188752.162,17.7,0.45125,1.865
1775188754.199,19.7,0.45104,1.3987
1775188757.388,22.9,0.45129,1.9538
1775188758.431,23.9,0.45118,1.7096
1775188759.817,25.3,0.45118,1.7096
1775188761.215,26.7,0.45112,1.5763
1775188762.308,27.8,0.45083,0.9325
1775188763.404,28.9,0.4502,-0.4662
1775188764.414,29.9,0.45004,-0.8215
1775188765.855,31.4,0.45031,-0.222
1775188767.707,33.2,0.45072,0.6883
1775188770.582,36.1,0.45051,0.222
1775188772.634,38.1,0.45066,0.555
1775188774.699,40.2,0.45065,0.5328
1775188776.119,41.6,0.45051,0.222
1775188777.304,42.8,0.4511,1.5319
1775188778.826,44.3,0.4511,1.5319
1775188779.994,45.5,0.45085,0.9769
1775188781.076,46.6,0.45083,0.9325
1775188782.128,47.6,0.45125,1.865
1775188783.452,49.0,0.45105,1.4209
1775188785.023,50.5,0.45105,1.4209
1775188786.614,52.1,0.45111,1.5541
1775188789.153,54.7,0.45113,1.5985
1775188790.488,56.0,0.45142,2.2424
1775188791.535,57.0,0.45144,2.2868
1775188794.134,59.6,0.45135,2.087
1775188795.36,60.9,0.45124,1.8428
1775188797.151,62.7,0.4513,1.976
1775188798.5,64.0,0.4519,3.3081
1775188799.663,65.2,0.45165,2.753
1775188800.772,66.3,0.45113,1.5985
1775188801.9,67.4,0.45155,2.531
1775188803.066,68.6,0.45175,2.9751
1775188804.076,69.6,0.45188,3.2637
1775188805.131,70.6,0.45269,5.0621
1775188806.226,71.7,0.45321,6.2166
1775188807.478,73.0,0.45308,5.9279
1775188808.538,74.0,0.454,7.9705
1775188809.708,75.2,0.45404,8.0593
1775188810.791,76.3,0.45436,8.7698
1775188811.814,77.3,0.45429,8.6144
1775188812.841,78.3,0.45444,8.9474
1775188814.033,79.5,0.45444,8.9474
1775188815.094,80.6,0.45446,8.9918
1775188816.28,81.8,0.45421,8.4368
1775188817.298,82.8,0.45448,9.0362
1775188818.423,83.9,0.45421,8.4368
1775188819.443,84.9,0.45416,8.3257
1775188820.495,86.0,0.4542,8.4146
1775188821.599,87.1,0.45389,7.7263
1775188822.687,88.2,0.45291,5.5505
1775188823.804,89.3,0.45365,7.1934
1775188824.873,90.4,0.45381,7.5487
1775188825.873,91.4,0.45532,10.9012
1775188826.885,92.4,0.4561,12.6329
1775188828.488,94.0,0.45578,11.9225
1775188829.787,95.3,0.45625,12.966
1775188830.972,96.5,0.45533,10.9234
1775188832.246,97.8,0.45573,11.8115
1775188833.695,99.2,0.45556,11.434
1775188834.812,100.3,0.45532,10.9012
1775188836.068,101.6,0.45556,11.434
1775188837.173,102.7,0.45585,12.0779
1775188838.178,103.7,0.45509,10.3905
1775188839.474,105.0,0.45517,10.5681
1775188840.67,106.2,0.45528,10.8124
1775188842.086,107.6,0.45521,10.657
1775188843.217,108.7,0.45511,10.4349
1775188844.832,110.3,0.45486,9.8799
1775188845.89,111.4,0.45488,9.9243
1775188847.036,112.5,0.45527,10.7902
1775188848.039,113.5,0.45461,9.3248
1775188849.138,114.6,0.45472,9.5691
1775188850.188,115.7,0.45454,9.1694
1775188851.726,117.2,0.45506,10.3239
1775188852.75,118.3,0.45511,10.4349
1775188853.866,119.4,0.45508,10.3683
1775188855.929,121.4,0.45493,10.0353
1775188856.425,121.9,0.45493,10.0353
