# symbol=ATHUSDT,side=SHORT,entry_price=0.006625,exit_price=0.006629,exit_reason=lifecycle_reversal,sl_price=0.0067044999999999995,tp_price=0.006525624999999999,leverage=10
ts,seconds,price,ret_margin_pct
1775194835.865,0.0,0.006625,0.0
1775194849.384,13.5,0.006621,0.6038
1775194855.947,20.1,0.006621,0.6038
1775194860.784,24.9,0.006619,0.9057
1775194862.284,26.4,0.006619,0.9057
1775194864.612,28.7,0.006621,0.6038
1775194868.14,32.3,0.006621,0.6038
1775194869.175,33.3,0.006623,0.3019
1775194873.302,37.4,0.006626,-0.1509
1775194874.415,38.5,0.006628,-0.4528
1775194877.96,42.1,0.006629,-0.6038
1775194890.462,54.6,0.006628,-0.4528
1775194902.364,66.5,0.006617,1.2075
1775194909.414,73.5,0.006615,1.5094
1775194916.56,80.7,0.006617,1.2075
1775194919.118,83.3,0.006618,1.0566
1775194920.324,84.5,0.006621,0.6038
1775194921.857,86.0,0.006617,1.2075
1775194926.073,90.2,0.006617,1.2075
1775194929.911,94.0,0.006616,1.3585
1775194942.476,106.6,0.006617,1.2075
1775194946.953,111.1,0.006617,1.2075
1775194974.429,138.6,0.006618,1.0566
1775194980.653,144.8,0.006619,0.9057
1775194983.525,147.7,0.006622,0.4528
1775194986.825,151.0,0.006623,0.3019
1775194989.572,153.7,0.006624,0.1509
1775194991.7,155.8,0.006623,0.3019
1775195006.388,170.5,0.006622,0.4528
1775195010.259,174.4,0.006622,0.4528
1775195013.713,177.8,0.006614,1.6604
1775195027.754,191.9,0.006612,1.9623
1775195036.287,200.4,0.006612,1.9623
1775195042.23,206.4,0.006611,2.1132
1775195043.782,207.9,0.006612,1.9623
1775195047.201,211.3,0.006627,-0.3019
1775195049.689,213.8,0.00663,-0.7547
1775195054.685,218.8,0.006628,-0.4528
1775195055.912,220.0,0.006629,-0.6038
1775195058.891,223.0,0.006629,-0.6038
