# symbol=ATHUSDT,side=SHORT,entry_price=0.00663,exit_price=0.006603,exit_reason=trailing_decay,sl_price=0.00670956,tp_price=0.0065305499999999995,leverage=10
ts,seconds,price,ret_margin_pct
1775195060.49,0.0,0.00663,0.0
1775195081.149,20.7,0.006631,-0.1508
1775195085.134,24.6,0.006631,-0.1508
1775195088.513,28.0,0.00663,0.0
1775195093.81,33.3,0.00663,0.0
1775195097.858,37.4,0.006628,0.3017
1775195099.44,38.9,0.006628,0.3017
1775195100.802,40.3,0.006628,0.3017
1775195101.87,41.4,0.006627,0.4525
1775195103.557,43.1,0.006628,0.3017
1775195112.856,52.4,0.006631,-0.1508
1775195120.955,60.5,0.006631,-0.1508
1775195126.938,66.4,0.006632,-0.3017
1775195133.918,73.4,0.006632,-0.3017
1775195138.782,78.3,0.00663,0.0
1775195142.008,81.5,0.006629,0.1508
1775195144.556,84.1,0.006629,0.1508
1775195146.89,86.4,0.00663,0.0
1775195158.22,97.7,0.006631,-0.1508
1775195160.558,100.1,0.006631,-0.1508
1775195163.034,102.5,0.006629,0.1508
1775195172.161,111.7,0.00663,0.0
1775195177.616,117.1,0.006628,0.3017
1775195179.317,118.8,0.006629,0.1508
1775195184.031,123.5,0.006629,0.1508
1775195195.553,135.1,0.006627,0.4525
1775195197.313,136.8,0.006628,0.3017
1775195212.073,151.6,0.006628,0.3017
1775195216.607,156.1,0.006627,0.4525
1775195220.655,160.2,0.006626,0.6033
1775195223.411,162.9,0.006626,0.6033
1775195225.444,165.0,0.006623,1.0558
1775195226.782,166.3,0.006627,0.4525
1775195230.196,169.7,0.006625,0.7541
1775195238.387,177.9,0.006626,0.6033
1775195240.785,180.3,0.006625,0.7541
1775195247.051,186.6,0.006625,0.7541
1775195248.457,188.0,0.006624,0.905
1775195254.295,193.8,0.006627,0.4525
1775195265.745,205.3,0.006624,0.905
1775195270.861,210.4,0.006626,0.6033
1775195282.307,221.8,0.006625,0.7541
1775195302.803,242.3,0.006625,0.7541
1775195315.732,255.2,0.006625,0.7541
1775195340.622,280.1,0.006627,0.4525
1775195341.813,281.3,0.006626,0.6033
1775195347.467,287.0,0.006628,0.3017
1775195351.216,290.7,0.006629,0.1508
1775195355.314,294.8,0.006628,0.3017
1775195359.286,298.8,0.00663,0.0
1775195372.387,311.9,0.006631,-0.1508
1775195373.823,313.3,0.006638,-1.2066
1775195375.213,314.7,0.006636,-0.905
1775195387.743,327.3,0.006624,0.905
1775195400.642,340.2,0.006624,0.905
1775195402.229,341.7,0.006623,1.0558
1775195404.632,344.1,0.006622,1.2066
1775195406.127,345.6,0.006619,1.6591
1775195407.49,347.0,0.006603,4.0724
1775195407.949,347.5,0.006603,4.0724
