# symbol=BANKUSDT,side=SHORT,entry_price=0.02612,exit_price=0.02612,exit_reason=strategy_stop,sl_price=0.02627672,tp_price=0.0257282,leverage=10
ts,seconds,price,ret_margin_pct
1775188050.156,0.0,0.02612,0.0
1775188051.807,1.7,0.02613,-0.3828
1775188053.004,2.8,0.02613,-0.3828
1775188054.258,4.1,0.02613,-0.3828
1775188055.34,5.2,0.02613,-0.3828
1775188056.34,6.2,0.02618,-2.2971
1775188057.814,7.7,0.02615,-1.1485
1775188059.688,9.5,0.02613,-0.3828
1775188060.952,10.8,0.02613,-0.3828
1775188061.973,11.8,0.02611,0.3828
1775188063.164,13.0,0.02612,0.0
1775188064.363,14.2,0.02614,-0.7657
1775188065.416,15.3,0.02614,-0.7657
1775188066.701,16.5,0.02613,-0.3828
1775188067.773,17.6,0.02613,-0.3828
1775188068.922,18.8,0.02613,-0.3828
1775188070.218,20.1,0.02612,0.0
1775188072.404,22.2,0.02613,-0.3828
1775188073.433,23.3,0.02613,-0.3828
1775188074.671,24.5,0.02615,-1.1485
1775188075.883,25.7,0.02615,-1.1485
1775188077.106,27.0,0.02613,-0.3828
1775188078.151,28.0,0.02612,0.0
1775188079.2,29.0,0.02612,0.0
1775188080.237,30.1,0.02613,-0.3828
1775188081.323,31.2,0.02613,-0.3828
1775188082.353,32.2,0.02612,0.0
1775188083.79,33.6,0.02611,0.3828
1775188085.104,34.9,0.02611,0.3828
1775188086.29,36.1,0.02611,0.3828
1775188087.437,37.3,0.0261,0.7657
1775188089.395,39.2,0.02611,0.3828
1775188090.618,40.5,0.0261,0.7657
1775188091.835,41.7,0.0261,0.7657
1775188092.871,42.7,0.02608,1.5314
1775188094.044,43.9,0.02609,1.1485
1775188095.097,44.9,0.0261,0.7657
1775188096.189,46.0,0.0261,0.7657
1775188097.358,47.2,0.02611,0.3828
1775188098.534,48.4,0.02611,0.3828
1775188099.698,49.5,0.0261,0.7657
1775188100.704,50.5,0.0261,0.7657
1775188102.192,52.0,0.0261,0.7657
1775188103.323,53.2,0.0261,0.7657
1775188104.567,54.4,0.0261,0.7657
1775188105.817,55.7,0.02612,0.0
1775188107.157,57.0,0.02612,0.0
1775188108.454,58.3,0.02612,0.0
1775188110.07,59.9,0.02609,1.1485
1775188111.21,61.1,0.0261,0.7657
1775188112.318,62.2,0.0261,0.7657
1775188113.466,63.3,0.0261,0.7657
1775188114.619,64.5,0.0261,0.7657
1775188115.806,65.7,0.0261,0.7657
1775188116.848,66.7,0.02611,0.3828
1775188118.004,67.8,0.02608,1.5314
1775188120.207,70.1,0.02608,1.5314
1775188121.373,71.2,0.02608,1.5314
1775188122.486,72.3,0.02608,1.5314
1775188123.786,73.6,0.02608,1.5314
1775188125.289,75.1,0.02608,1.5314
1775188126.559,76.4,0.02608,1.5314
1775188127.718,77.6,0.02608,1.5314
1775188129.023,78.9,0.02608,1.5314
1775188130.153,80.0,0.0261,0.7657
1775188131.273,81.1,0.02609,1.1485
1775188132.44,82.3,0.0261,0.7657
1775188133.578,83.4,0.02609,1.1485
1775188134.663,84.5,0.02609,1.1485
1775188135.757,85.6,0.02609,1.1485
1775188136.847,86.7,0.02609,1.1485
1775188137.932,87.8,0.02609,1.1485
1775188139.327,89.2,0.02612,0.0
1775188140.412,90.3,0.02612,0.0
1775188141.47,91.3,0.02608,1.5314
1775188142.705,92.5,0.02611,0.3828
1775188144.299,94.1,0.0261,0.7657
1775188146.448,96.3,0.02607,1.9142
1775188147.606,97.4,0.02607,1.9142
1775188148.62,98.5,0.02608,1.5314
1775188149.842,99.7,0.02608,1.5314
1775188150.853,100.7,0.02609,1.1485
1775188151.981,101.8,0.02609,1.1485
1775188153.518,103.4,0.02609,1.1485
1775188154.601,104.4,0.02609,1.1485
1775188155.606,105.4,0.0261,0.7657
1775188156.739,106.6,0.02613,-0.3828
1775188157.757,107.6,0.02613,-0.3828
1775188159.351,109.2,0.02612,0.0
1775188160.411,110.3,0.02611,0.3828
1775188161.487,111.3,0.02612,0.0
1775188162.791,112.6,0.02613,-0.3828
1775188163.855,113.7,0.02612,0.0
1775188165.181,115.0,0.02611,0.3828
1775188166.268,116.1,0.02611,0.3828
1775188167.518,117.4,0.02611,0.3828
1775188168.627,118.5,0.02611,0.3828
1775188169.932,119.8,0.02611,0.3828
1775188171.033,120.9,0.02611,0.3828
1775188172.081,121.9,0.02608,1.5314
1775188173.083,122.9,0.02609,1.1485
1775188174.421,124.3,0.02608,1.5314
1775188176.385,126.2,0.02608,1.5314
1775188177.494,127.3,0.02607,1.9142
1775188178.692,128.5,0.02607,1.9142
1775188179.811,129.7,0.0261,0.7657
1775188181.125,131.0,0.02607,1.9142
1775188182.389,132.2,0.02606,2.2971
1775188183.488,133.3,0.02608,1.5314
1775188184.665,134.5,0.02609,1.1485
1775188185.812,135.7,0.02609,1.1485
1775188186.822,136.7,0.02608,1.5314
1775188188.012,137.9,0.02608,1.5314
1775188189.134,139.0,0.02611,0.3828
1775188190.189,140.0,0.02608,1.5314
1775188191.386,141.2,0.02608,1.5314
1775188192.4,142.2,0.02608,1.5314
1775188193.554,143.4,0.02611,0.3828
1775188194.619,144.5,0.0261,0.7657
1775188195.972,145.8,0.02611,0.3828
1775188197.074,146.9,0.02611,0.3828
1775188198.15,148.0,0.02611,0.3828
1775188200.1,149.9,0.0261,0.7657
1775188201.215,151.1,0.02609,1.1485
1775188202.349,152.2,0.02612,0.0
1775188204.007,153.9,0.0261,0.7657
1775188205.994,155.8,0.0261,0.7657
1775188207.265,157.1,0.02611,0.3828
1775188208.422,158.3,0.02611,0.3828
1775188209.497,159.3,0.02611,0.3828
1775188210.805,160.6,0.02611,0.3828
1775188211.831,161.7,0.02609,1.1485
1775188213.002,162.8,0.0261,0.7657
1775188214.097,163.9,0.0261,0.7657
1775188215.367,165.2,0.0261,0.7657
1775188216.486,166.3,0.0261,0.7657
1775188217.577,167.4,0.02609,1.1485
1775188218.636,168.5,0.02608,1.5314
1775188219.98,169.8,0.02611,0.3828
1775188221.058,170.9,0.02608,1.5314
1775188222.176,172.0,0.0261,0.7657
1775188223.7,173.5,0.02609,1.1485
1775188225.027,174.9,0.02609,1.1485
1775188226.242,176.1,0.02609,1.1485
1775188227.245,177.1,0.02609,1.1485
