# symbol=BANKUSDT,side=SHORT,entry_price=0.02687,exit_price=0.02676,exit_reason=trailing_decay,sl_price=0.027192440000000002,tp_price=0.02646695,leverage=10
ts,seconds,price,ret_margin_pct
1775194076.464,0.0,0.02687,0.0
1775194077.581,1.1,0.02684,1.1165
1775194078.788,2.3,0.02684,1.1165
1775194079.933,3.5,0.02686,0.3722
1775194081.173,4.7,0.02687,0.0
1775194082.211,5.7,0.0269,-1.1165
1775194083.433,7.0,0.0269,-1.1165
1775194084.521,8.1,0.02689,-0.7443
1775194085.65,9.2,0.02689,-0.7443
1775194086.762,10.3,0.02689,-0.7443
1775194087.925,11.5,0.02688,-0.3722
1775194088.967,12.5,0.02688,-0.3722
1775194090.013,13.5,0.02688,-0.3722
1775194091.173,14.7,0.02689,-0.7443
1775194093.154,16.7,0.02691,-1.4886
1775194094.868,18.4,0.02689,-0.7443
1775194096.105,19.6,0.02687,0.0
1775194097.274,20.8,0.02687,0.0
1775194098.546,22.1,0.02687,0.0
1775194099.568,23.1,0.02687,0.0
1775194100.667,24.2,0.02684,1.1165
1775194101.904,25.4,0.02684,1.1165
1775194102.949,26.5,0.02684,1.1165
1775194104.019,27.6,0.02685,0.7443
1775194105.382,28.9,0.02684,1.1165
1775194107.446,31.0,0.02685,0.7443
1775194108.582,32.1,0.02685,0.7443
1775194109.628,33.2,0.02687,0.0
1775194110.772,34.3,0.02684,1.1165
1775194112.867,36.4,0.02687,0.0
1775194113.933,37.5,0.02688,-0.3722
1775194114.967,38.5,0.02687,0.0
1775194116.087,39.6,0.02687,0.0
1775194117.38,40.9,0.02687,0.0
1775194118.5,42.0,0.02687,0.0
1775194119.923,43.5,0.02688,-0.3722
1775194121.862,45.4,0.02687,0.0
1775194123.159,46.7,0.02687,0.0
1775194124.351,47.9,0.02687,0.0
1775194125.401,48.9,0.02687,0.0
1775194126.426,50.0,0.02687,0.0
1775194127.683,51.2,0.02688,-0.3722
1775194128.85,52.4,0.02688,-0.3722
1775194129.91,53.4,0.0269,-1.1165
1775194131.185,54.7,0.02688,-0.3722
1775194132.641,56.2,0.02687,0.0
1775194133.808,57.3,0.02687,0.0
1775194135.168,58.7,0.02687,0.0
1775194136.232,59.8,0.02688,-0.3722
1775194137.235,60.8,0.02687,0.0
1775194138.439,62.0,0.02688,-0.3722
1775194139.76,63.3,0.02688,-0.3722
1775194141.08,64.6,0.02689,-0.7443
1775194142.275,65.8,0.02691,-1.4886
1775194143.769,67.3,0.02687,0.0
1775194144.854,68.4,0.02687,0.0
1775194146.147,69.7,0.0269,-1.1165
1775194147.31,70.8,0.0269,-1.1165
1775194148.487,72.0,0.0269,-1.1165
1775194149.506,73.0,0.0269,-1.1165
1775194150.637,74.2,0.0269,-1.1165
1775194151.765,75.3,0.02691,-1.4886
1775194152.954,76.5,0.02689,-0.7443
1775194154.119,77.7,0.02666,7.8154
1775194155.148,78.7,0.02662,9.3041
1775194156.397,79.9,0.02668,7.0711
1775194157.4,80.9,0.02661,9.6762
1775194158.442,82.0,0.02665,8.1876
1775194160.67,84.2,0.02664,8.5597
1775194162.654,86.2,0.02664,8.5597
1775194163.758,87.3,0.02664,8.5597
1775194164.818,88.4,0.02665,8.1876
1775194165.899,89.4,0.02666,7.8154
1775194167.111,90.6,0.02668,7.0711
1775194168.282,91.8,0.02668,7.0711
1775194170.372,93.9,0.02668,7.0711
