# symbol=BANKUSDT,side=SHORT,entry_price=0.0265,exit_price=0.02677,exit_reason=dynamic_vol_stop,sl_price=0.026817999999999998,tp_price=0.026102499999999997,leverage=10
ts,seconds,price,ret_margin_pct
1775194694.683,0.0,0.0265,0.0
1775194695.693,1.0,0.02653,-1.1321
1775194696.839,2.2,0.02652,-0.7547
1775194697.913,3.2,0.02651,-0.3774
1775194699.212,4.5,0.02651,-0.3774
1775194700.476,5.8,0.02651,-0.3774
1775194701.61,6.9,0.02651,-0.3774
1775194703.486,8.8,0.02652,-0.7547
1775194704.757,10.1,0.02653,-1.1321
1775194705.806,11.1,0.02653,-1.1321
1775194706.973,12.3,0.02653,-1.1321
1775194708.439,13.8,0.02653,-1.1321
1775194709.698,15.0,0.02652,-0.7547
1775194710.727,16.0,0.02652,-0.7547
1775194711.959,17.3,0.02652,-0.7547
1775194713.166,18.5,0.02652,-0.7547
1775194715.233,20.6,0.02653,-1.1321
1775194716.436,21.8,0.02653,-1.1321
1775194718.466,23.8,0.02653,-1.1321
1775194719.791,25.1,0.02654,-1.5094
1775194720.87,26.2,0.02654,-1.5094
1775194722.144,27.5,0.02654,-1.5094
1775194723.276,28.6,0.02655,-1.8868
1775194724.404,29.7,0.02654,-1.5094
1775194725.42,30.7,0.02654,-1.5094
1775194726.572,31.9,0.02654,-1.5094
1775194729.066,34.4,0.02654,-1.5094
1775194730.19,35.5,0.02654,-1.5094
1775194732.442,37.8,0.02655,-1.8868
1775194733.537,38.9,0.02655,-1.8868
1775194734.617,39.9,0.02654,-1.5094
1775194735.965,41.3,0.02654,-1.5094
1775194737.296,42.6,0.02654,-1.5094
1775194738.416,43.7,0.02654,-1.5094
1775194739.877,45.2,0.02654,-1.5094
1775194741.367,46.7,0.02656,-2.2642
1775194742.403,47.7,0.02656,-2.2642
1775194744.021,49.3,0.02655,-1.8868
1775194745.365,50.7,0.02656,-2.2642
1775194746.532,51.8,0.0266,-3.7736
1775194747.55,52.9,0.02661,-4.1509
1775194749.759,55.1,0.0266,-3.7736
1775194751.67,57.0,0.02658,-3.0189
1775194753.352,58.7,0.0266,-3.7736
1775194754.371,59.7,0.02663,-4.9057
1775194755.769,61.1,0.0266,-3.7736
1775194757.783,63.1,0.0266,-3.7736
1775194758.982,64.3,0.0266,-3.7736
1775194760.629,65.9,0.0266,-3.7736
1775194762.055,67.4,0.02661,-4.1509
1775194764.071,69.4,0.0266,-3.7736
1775194765.137,70.5,0.02659,-3.3962
1775194766.409,71.7,0.02659,-3.3962
1775194767.783,73.1,0.02659,-3.3962
1775194768.836,74.2,0.02658,-3.0189
1775194769.868,75.2,0.02658,-3.0189
1775194771.864,77.2,0.02661,-4.1509
1775194773.015,78.3,0.02659,-3.3962
1775194774.433,79.7,0.0266,-3.7736
1775194775.959,81.3,0.0266,-3.7736
1775194777.01,82.3,0.02661,-4.1509
1775194778.157,83.5,0.02659,-3.3962
1775194779.455,84.8,0.0266,-3.7736
1775194781.464,86.8,0.02661,-4.1509
1775194782.65,88.0,0.02663,-4.9057
1775194783.885,89.2,0.02663,-4.9057
1775194785.43,90.7,0.02663,-4.9057
1775194786.615,91.9,0.02663,-4.9057
1775194787.767,93.1,0.02663,-4.9057
1775194789.161,94.5,0.02663,-4.9057
1775194790.525,95.8,0.02663,-4.9057
1775194791.917,97.2,0.02663,-4.9057
1775194793.53,98.8,0.02665,-5.6604
1775194794.848,100.2,0.02664,-5.283
1775194795.96,101.3,0.02665,-5.6604
1775194797.375,102.7,0.02664,-5.283
1775194798.625,103.9,0.02664,-5.283
1775194799.922,105.2,0.02664,-5.283
1775194801.171,106.5,0.02664,-5.283
1775194802.199,107.5,0.02664,-5.283
1775194803.499,108.8,0.02663,-4.9057
1775194804.589,109.9,0.02662,-4.5283
1775194805.738,111.1,0.02664,-5.283
1775194806.942,112.3,0.02664,-5.283
1775194808.017,113.3,0.02665,-5.6604
1775194809.624,114.9,0.02664,-5.283
1775194810.896,116.2,0.02662,-4.5283
1775194812.577,117.9,0.02663,-4.9057
1775194814.497,119.8,0.02662,-4.5283
1775194815.537,120.9,0.02663,-4.9057
1775194816.901,122.2,0.02663,-4.9057
1775194817.945,123.3,0.02663,-4.9057
1775194819.441,124.8,0.02664,-5.283
1775194820.454,125.8,0.02663,-4.9057
1775194821.702,127.0,0.02664,-5.283
1775194822.739,128.1,0.02663,-4.9057
1775194823.818,129.1,0.02663,-4.9057
1775194824.947,130.3,0.02667,-6.4151
1775194826.14,131.5,0.02666,-6.0377
1775194827.357,132.7,0.02667,-6.4151
1775194828.47,133.8,0.02665,-5.6604
1775194829.865,135.2,0.02665,-5.6604
1775194831.071,136.4,0.02666,-6.0377
1775194832.424,137.7,0.02666,-6.0377
1775194833.468,138.8,0.02667,-6.4151
1775194834.606,139.9,0.02668,-6.7925
1775194836.065,141.4,0.02667,-6.4151
1775194837.364,142.7,0.02667,-6.4151
1775194838.562,143.9,0.02667,-6.4151
1775194839.669,145.0,0.02668,-6.7925
1775194840.854,146.2,0.02667,-6.4151
1775194842.209,147.5,0.02667,-6.4151
1775194843.29,148.6,0.02667,-6.4151
1775194844.309,149.6,0.0267,-7.5472
1775194845.528,150.8,0.02665,-5.6604
1775194846.68,152.0,0.02668,-6.7925
1775194847.745,153.1,0.02666,-6.0377
1775194848.952,154.3,0.02669,-7.1698
1775194849.471,154.8,0.02677,-10.1887
