# symbol=BANKUSDT,side=SHORT,entry_price=0.02981,exit_price=0.02969,exit_reason=trailing_expansion,sl_price=0.03016772,tp_price=0.02936285,leverage=10
ts,seconds,price,ret_margin_pct
1775204821.637,0.0,0.02981,0.0
1775204822.777,1.1,0.02977,1.3418
1775204823.985,2.3,0.02977,1.3418
1775204825.26,3.6,0.02976,1.6773
1775204826.645,5.0,0.02977,1.3418
1775204827.754,6.1,0.02975,2.0127
1775204830.836,9.2,0.02976,1.6773
1775204834.392,12.8,0.02976,1.6773
1775204836.225,14.6,0.02977,1.3418
1775204837.248,15.6,0.0298,0.3355
1775204838.303,16.7,0.02981,0.0
1775204840.945,19.3,0.02981,0.0
1775204842.96,21.3,0.02981,0.0
1775204844.362,22.7,0.02981,0.0
1775204846.298,24.7,0.02984,-1.0064
1775204848.292,26.7,0.02984,-1.0064
1775204852.191,30.6,0.02983,-0.6709
1775204854.328,32.7,0.02983,-0.6709
1775204858.235,36.6,0.0298,0.3355
1775204859.778,38.1,0.02979,0.6709
1775204860.808,39.2,0.02978,1.0064
1775204862.997,41.4,0.02979,0.6709
1775204867.121,45.5,0.02981,0.0
1775204868.968,47.3,0.0298,0.3355
1775204870.192,48.6,0.0298,0.3355
1775204871.894,50.3,0.02981,0.0
1775204875.885,54.2,0.0298,0.3355
1775204877.48,55.8,0.02979,0.6709
1775204879.015,57.4,0.02975,2.0127
1775204880.138,58.5,0.02974,2.3482
1775204881.154,59.5,0.02975,2.0127
1775204882.352,60.7,0.02971,3.3546
1775204884.463,62.8,0.02971,3.3546
1775204885.528,63.9,0.02968,4.361
1775204887.458,65.8,0.02967,4.6964
1775204889.027,67.4,0.02968,4.361
1775204891.513,69.9,0.02967,4.6964
1775204892.974,71.3,0.02968,4.361
1775204894.388,72.8,0.02966,5.0319
1775204896.777,75.1,0.02965,5.3673
1775204897.828,76.2,0.02965,5.3673
1775204898.967,77.3,0.02975,2.0127
1775204900.158,78.5,0.02974,2.3482
1775204903.267,81.6,0.02973,2.6837
1775204908.434,86.8,0.02972,3.0191
1775204909.481,87.8,0.02969,4.0255
1775204912.274,90.6,0.02966,5.0319
1775204915.104,93.5,0.02968,4.361
1775204919.168,97.5,0.02968,4.361
1775204920.516,98.9,0.02967,4.6964
1775204922.049,100.4,0.0297,3.69
1775204924.395,102.8,0.02973,2.6837
1775204928.585,106.9,0.02971,3.3546
1775204929.945,108.3,0.02972,3.0191
1775204931.986,110.3,0.0298,0.3355
1775204934.5,112.9,0.02978,1.0064
1775204935.554,113.9,0.0298,0.3355
1775204936.604,115.0,0.02978,1.0064
1775204938.213,116.6,0.02979,0.6709
1775204939.538,117.9,0.0298,0.3355
1775204940.916,119.3,0.02982,-0.3355
1775204942.162,120.5,0.02973,2.6837
1775204948.424,126.8,0.0297,3.69
1775204949.015,127.4,0.02969,4.0255
