# symbol=BARDUSDT,side=SHORT,entry_price=0.2964,exit_price=0.2975,exit_reason=lifecycle_reversal,sl_price=0.2999568,tp_price=0.291954,leverage=10
ts,seconds,price,ret_margin_pct
1775193489.297,0.0,0.2964,0.0
1775193490.516,1.2,0.2963,0.3374
1775193491.886,2.6,0.2965,-0.3374
1775193492.984,3.7,0.2965,-0.3374
1775193495.267,6.0,0.2966,-0.6748
1775193496.63,7.3,0.2968,-1.3495
1775193498.425,9.1,0.2967,-1.0121
1775193499.931,10.6,0.2967,-1.0121
1775193501.84,12.5,0.2972,-2.6991
1775193503.123,13.8,0.2972,-2.6991
1775193504.844,15.5,0.2971,-2.3617
1775193506.331,17.0,0.2972,-2.6991
1775193507.389,18.1,0.2972,-2.6991
1775193508.759,19.5,0.2972,-2.6991
1775193509.853,20.6,0.2972,-2.6991
1775193511.892,22.6,0.2972,-2.6991
1775193516.405,27.1,0.2972,-2.6991
1775193517.471,28.2,0.2973,-3.0364
1775193518.497,29.2,0.2973,-3.0364
1775193519.79,30.5,0.2974,-3.3738
1775193522.122,32.8,0.2973,-3.0364
1775193523.33,34.0,0.2973,-3.0364
1775193524.758,35.5,0.2973,-3.0364
1775193526.607,37.3,0.2972,-2.6991
1775193528.724,39.4,0.2976,-4.0486
1775193529.838,40.5,0.2975,-3.7112
1775193537.505,48.2,0.2975,-3.7112
1775193538.885,49.6,0.2976,-4.0486
1775193539.891,50.6,0.2976,-4.0486
1775193541.095,51.8,0.2975,-3.7112
1775193542.646,53.3,0.2977,-4.386
1775193549.332,60.0,0.2976,-4.0486
1775193550.976,61.7,0.2976,-4.0486
1775193552.916,63.6,0.2976,-4.0486
1775193554.962,65.7,0.2976,-4.0486
1775193557.007,67.7,0.2975,-3.7112
1775193558.103,68.8,0.2974,-3.3738
1775193559.584,70.3,0.2975,-3.7112
1775193561.37,72.1,0.2975,-3.7112
1775193572.031,82.7,0.2975,-3.7112
1775193574.99,85.7,0.2975,-3.7112
1775193578.755,89.5,0.2974,-3.3738
1775193582.937,93.6,0.2974,-3.3738
1775193584.376,95.1,0.2974,-3.3738
1775193585.943,96.6,0.2974,-3.3738
1775193591.51,102.2,0.2973,-3.0364
1775193598.259,109.0,0.2974,-3.3738
1775193600.047,110.8,0.2975,-3.7112
1775193602.235,112.9,0.2975,-3.7112
1775193603.319,114.0,0.2978,-4.7233
1775193604.88,115.6,0.2978,-4.7233
1775193607.24,117.9,0.2979,-5.0607
1775193608.287,119.0,0.2977,-4.386
1775193610.814,121.5,0.2978,-4.7233
1775193612.237,122.9,0.2978,-4.7233
1775193613.995,124.7,0.2977,-4.386
1775193615.382,126.1,0.2978,-4.7233
1775193617.527,128.2,0.298,-5.3981
1775193618.66,129.4,0.2979,-5.0607
1775193624.624,135.3,0.2976,-4.0486
1775193628.192,138.9,0.2976,-4.0486
1775193631.664,142.4,0.2976,-4.0486
1775193641.012,151.7,0.2975,-3.7112
1775193643.116,153.8,0.2975,-3.7112
1775193648.423,159.1,0.2975,-3.7112
1775193649.667,160.4,0.2974,-3.3738
1775193650.831,161.5,0.2974,-3.3738
1775193654.599,165.3,0.2974,-3.3738
1775193661.854,172.6,0.2973,-3.0364
1775193662.935,173.6,0.2972,-2.6991
1775193664.356,175.1,0.2972,-2.6991
1775193668.749,179.5,0.2972,-2.6991
