# symbol=BEATUSDT,side=LONG,entry_price=0.408,exit_price=0.4249,exit_reason=trailing_expansion,sl_price=0.40310399999999996,tp_price=0.41411999999999993,leverage=10
ts,seconds,price,ret_margin_pct
1775193569.52,0.0,0.408,0.0
1775193570.665,1.1,0.4081,0.2451
1775193572.837,3.3,0.4081,0.2451
1775193573.951,4.4,0.4084,0.9804
1775193575.234,5.7,0.4091,2.6961
1775193577.33,7.8,0.4093,3.1863
1775193578.626,9.1,0.4093,3.1863
1775193579.716,10.2,0.4094,3.4314
1775193581.89,12.4,0.4094,3.4314
1775193582.959,13.4,0.4091,2.6961
1775193583.989,14.5,0.4094,3.4314
1775193585.885,16.4,0.4093,3.1863
1775193587.204,17.7,0.4093,3.1863
1775193588.401,18.9,0.4088,1.9608
1775193590.044,20.5,0.409,2.451
1775193591.75,22.2,0.409,2.451
1775193593.5,24.0,0.4092,2.9412
1775193595.449,25.9,0.4092,2.9412
1775193596.75,27.2,0.4094,3.4314
1775193598.338,28.8,0.4095,3.6765
1775193599.412,29.9,0.4096,3.9216
1775193600.451,30.9,0.4093,3.1863
1775193601.604,32.1,0.4094,3.4314
1775193602.894,33.4,0.4094,3.4314
1775193604.07,34.6,0.4088,1.9608
1775193606.022,36.5,0.409,2.451
1775193607.026,37.5,0.4094,3.4314
1775193608.236,38.7,0.4095,3.6765
1775193611.856,42.3,0.4092,2.9412
1775193613.529,44.0,0.409,2.451
1775193615.227,45.7,0.4087,1.7157
1775193617.023,47.5,0.4087,1.7157
1775193621.397,51.9,0.4085,1.2255
1775193622.401,52.9,0.4083,0.7353
1775193624.276,54.8,0.4085,1.2255
1775193625.363,55.8,0.4088,1.9608
1775193626.694,57.2,0.4088,1.9608
1775193628.023,58.5,0.4095,3.6765
1775193629.407,59.9,0.4096,3.9216
1775193630.441,60.9,0.4095,3.6765
1775193632.312,62.8,0.4095,3.6765
1775193633.389,63.9,0.4101,5.1471
1775193634.425,64.9,0.4099,4.6569
1775193635.514,66.0,0.4101,5.1471
1775193636.549,67.0,0.4102,5.3922
1775193637.591,68.1,0.4101,5.1471
1775193638.696,69.2,0.4102,5.3922
1775193639.775,70.3,0.4101,5.1471
1775193640.887,71.4,0.41,4.902
1775193642.004,72.5,0.41,4.902
1775193643.031,73.5,0.41,4.902
1775193644.169,74.6,0.41,4.902
1775193645.339,75.8,0.4102,5.3922
1775193646.594,77.1,0.4104,5.8824
1775193647.632,78.1,0.4112,7.8431
1775193648.996,79.5,0.411,7.3529
1775193650.007,80.5,0.4198,28.9216
1775193651.009,81.5,0.4211,32.1078
1775193652.009,82.5,0.4198,28.9216
1775193653.053,83.5,0.4192,27.451
1775193654.119,84.6,0.4192,27.451
1775193655.139,85.6,0.4206,30.8824
1775193656.14,86.6,0.4251,41.9118
1775193657.146,87.6,0.4254,42.6471
1775193658.162,88.6,0.4254,42.6471
1775193659.179,89.7,0.4245,40.4412
1775193660.192,90.7,0.4276,48.0392
1775193661.229,91.7,0.4257,43.3824
1775193662.252,92.7,0.4272,47.0588
1775193663.353,93.8,0.4284,50.0
1775193664.417,94.9,0.4271,46.8137
1775193665.57,96.1,0.4258,43.6275
1775193666.604,97.1,0.4272,47.0588
1775193667.617,98.1,0.4279,48.7745
1775193668.684,99.2,0.4281,49.2647
1775193669.734,100.2,0.4286,50.4902
1775193670.737,101.2,0.4282,49.5098
1775193671.817,102.3,0.4281,49.2647
1775193672.83,103.3,0.4276,48.0392
1775193673.848,104.3,0.4261,44.3627
1775193674.859,105.3,0.4255,42.8922
1775193675.87,106.3,0.4255,42.8922
1775193676.904,107.4,0.425,41.6667
1775193677.923,108.4,0.4251,41.9118
1775193678.963,109.4,0.4257,43.3824
1775193679.994,110.5,0.4264,45.098
1775193681.08,111.6,0.4257,43.3824
1775193682.185,112.7,0.4256,43.1373
1775193683.328,113.8,0.4251,41.9118
1775193684.357,114.8,0.4248,41.1765
1775193685.371,115.9,0.4251,41.9118
1775193686.418,116.9,0.4251,41.9118
1775193687.451,117.9,0.4251,41.9118
1775193688.664,119.1,0.4249,41.4216
1775193689.807,120.3,0.4249,41.4216
