# symbol=BEATUSDT,side=LONG,entry_price=0.425,exit_price=0.4207,exit_reason=dynamic_vol_stop,sl_price=0.4199,tp_price=0.43137499999999995,leverage=10
ts,seconds,price,ret_margin_pct
1775193692.116,0.0,0.425,0.0
1775193693.153,1.0,0.4246,-0.9412
1775193694.175,2.1,0.4244,-1.4118
1775193695.184,3.1,0.4241,-2.1176
1775193696.202,4.1,0.4249,-0.2353
1775193697.243,5.1,0.4246,-0.9412
1775193698.291,6.2,0.4247,-0.7059
1775193699.297,7.2,0.4238,-2.8235
1775193700.344,8.2,0.4239,-2.5882
1775193702.034,9.9,0.4244,-1.4118
1775193703.037,10.9,0.424,-2.3529
1775193704.047,11.9,0.4242,-1.8824
1775193705.23,13.1,0.4242,-1.8824
1775193706.803,14.7,0.4238,-2.8235
1775193707.807,15.7,0.4242,-1.8824
1775193709.019,16.9,0.4241,-2.1176
1775193710.123,18.0,0.4236,-3.2941
1775193711.33,19.2,0.4234,-3.7647
1775193712.382,20.3,0.4235,-3.5294
1775193713.489,21.4,0.4234,-3.7647
1775193714.531,22.4,0.423,-4.7059
1775193715.583,23.5,0.4226,-5.6471
1775193716.703,24.6,0.4226,-5.6471
1775193717.847,25.7,0.4232,-4.2353
1775193719.069,27.0,0.4231,-4.4706
1775193720.074,28.0,0.4231,-4.4706
1775193721.112,29.0,0.4233,-4.0
1775193722.147,30.0,0.4231,-4.4706
1775193723.308,31.2,0.4233,-4.0
1775193724.329,32.2,0.4223,-6.3529
1775193725.385,33.3,0.4224,-6.1176
1775193726.508,34.4,0.4229,-4.9412
1775193727.546,35.4,0.423,-4.7059
1775193728.841,36.7,0.4231,-4.4706
1775193729.892,37.8,0.4229,-4.9412
1775193731.009,38.9,0.4224,-6.1176
1775193732.116,40.0,0.4221,-6.8235
1775193733.158,41.0,0.4223,-6.3529
1775193734.227,42.1,0.4216,-8.0
1775193735.092,43.0,0.4207,-10.1176
