# symbol=BLURUSDT,side=SHORT,entry_price=0.01992,exit_price=0.02007,exit_reason=dynamic_vol_stop,sl_price=0.02015904,tp_price=0.0196212,leverage=10
ts,seconds,price,ret_margin_pct
1775193789.773,0.0,0.01992,0.0
1775193794.826,5.1,0.0199,1.004
1775193806.98,17.2,0.01991,0.502
1775193808.746,19.0,0.0199,1.004
1775193818.998,29.2,0.01991,0.502
1775193840.38,50.6,0.01991,0.502
1775193841.421,51.6,0.0199,1.004
1775193844.424,54.7,0.01989,1.506
1775193851.79,62.0,0.01988,2.008
1775193857.469,67.7,0.01989,1.506
1775193876.147,86.4,0.01989,1.506
1775193878.881,89.1,0.01991,0.502
1775193900.481,110.7,0.0199,1.004
1775193910.865,121.1,0.01992,0.0
1775193912.191,122.4,0.01992,0.0
1775193916.053,126.3,0.01993,-0.502
1775193920.324,130.6,0.01993,-0.502
1775193923.601,133.8,0.01993,-0.502
1775193925.753,136.0,0.01992,0.0
1775193932.434,142.7,0.01992,0.0
1775193938.048,148.3,0.01992,0.0
1775193956.062,166.3,0.01991,0.502
1775193960.712,170.9,0.01992,0.0
1775193961.868,172.1,0.01992,0.0
1775193967.056,177.3,0.01992,0.0
1775193968.092,178.3,0.01993,-0.502
1775193975.285,185.5,0.01992,0.0
1775193983.313,193.5,0.01992,0.0
1775193985.247,195.5,0.01991,0.502
1775193990.79,201.0,0.01992,0.0
1775193996.82,207.0,0.01992,0.0
1775194003.125,213.4,0.01992,0.0
1775194005.294,215.5,0.01992,0.0
1775194006.706,216.9,0.01991,0.502
1775194010.947,221.2,0.01991,0.502
1775194014.172,224.4,0.01991,0.502
1775194015.901,226.1,0.01991,0.502
1775194017.392,227.6,0.01991,0.502
1775194020.466,230.7,0.01991,0.502
1775194021.899,232.1,0.01991,0.502
1775194023.412,233.6,0.01991,0.502
1775194026.363,236.6,0.01991,0.502
1775194029.333,239.6,0.01991,0.502
1775194031.816,242.0,0.01991,0.502
1775194034.314,244.5,0.01991,0.502
1775194035.653,245.9,0.01992,0.0
1775194036.826,247.1,0.01991,0.502
1775194039.317,249.5,0.01991,0.502
1775194041.582,251.8,0.01991,0.502
1775194043.06,253.3,0.01991,0.502
1775194044.42,254.6,0.01991,0.502
1775194046.298,256.5,0.01992,0.0
1775194051.483,261.7,0.01993,-0.502
1775194058.182,268.4,0.01993,-0.502
1775194073.542,283.8,0.01993,-0.502
1775194075.535,285.8,0.01993,-0.502
1775194080.064,290.3,0.01993,-0.502
1775194081.227,291.5,0.01993,-0.502
1775194082.383,292.6,0.01993,-0.502
1775194091.703,301.9,0.01994,-1.004
1775194094.063,304.3,0.01997,-2.51
1775194098.639,308.9,0.01996,-2.008
1775194107.018,317.2,0.01996,-2.008
1775194114.378,324.6,0.01996,-2.008
1775194115.43,325.7,0.02006,-7.0281
1775194116.101,326.3,0.02007,-7.5301
