# symbol=BRUSDT,side=LONG,entry_price=0.14907,exit_price=0.14877,exit_reason=vol_stop,sl_price=0.14877186,tp_price=0.15130605,leverage=10
ts,seconds,price,ret_margin_pct
1775185327.197,0.0,0.14907,0.0
1775185328.263,1.1,0.1494,2.2137
1775185329.424,2.2,0.14977,4.6958
1775185330.466,3.3,0.14974,4.4945
1775185331.579,4.4,0.1499,5.5679
1775185332.77,5.6,0.15001,6.3058
1775185334.058,6.9,0.15015,7.2449
1775185335.071,7.9,0.15003,6.4399
1775185336.098,8.9,0.15164,17.2402
1775185337.281,10.1,0.15163,17.1731
1775185338.461,11.3,0.15158,16.8377
1775185339.604,12.4,0.15162,17.1061
1775185340.663,13.5,0.15173,17.844
1775185341.687,14.5,0.1516,16.9719
1775185342.699,15.5,0.15126,14.6911
1775185343.765,16.6,0.15092,12.4103
1775185347.142,19.9,0.15107,13.4165
1775185348.22,21.0,0.15104,13.2153
1775185349.881,22.7,0.15094,12.5444
1775185350.959,23.8,0.15093,12.4774
1775185352.697,25.5,0.15108,13.4836
1775185353.781,26.6,0.15217,20.7956
1775185354.932,27.7,0.15167,17.4415
1775185355.954,28.8,0.1515,16.3011
1775185357.259,30.1,0.1513,14.9594
1775185358.423,31.2,0.15132,15.0936
1775185359.47,32.3,0.15114,13.8861
1775185360.471,33.3,0.15119,14.2215
1775185361.534,34.3,0.15089,12.209
1775185362.569,35.4,0.15107,13.4165
1775185363.681,36.5,0.15132,15.0936
1775185364.718,37.5,0.1509,12.2761
1775185366.11,38.9,0.15092,12.4103
1775185367.187,40.0,0.1509,12.2761
1775185369.16,42.0,0.15097,12.7457
1775185370.377,43.2,0.15083,11.8065
1775185371.494,44.3,0.15067,10.7332
1775185372.738,45.5,0.1505,9.5928
1775185374.298,47.1,0.1508,11.6053
1775185375.487,48.3,0.15083,11.8065
1775185376.577,49.4,0.15067,10.7332
1775185378.249,51.1,0.15067,10.7332
1775185382.121,54.9,0.151,12.9469
1775185383.393,56.2,0.15072,11.0686
1775185384.472,57.3,0.15046,9.3245
1775185385.643,58.4,0.15071,11.0015
1775185386.914,59.7,0.15076,11.337
1775185387.918,60.7,0.15134,15.2277
1775185388.973,61.8,0.15184,18.5819
1775185389.977,62.8,0.1518,18.3135
1775185391.058,63.9,0.15166,17.3744
1775185392.386,65.2,0.15182,18.4477
1775185393.443,66.2,0.15154,16.5694
1775185394.447,67.2,0.15116,14.0203
1775185395.639,68.4,0.15132,15.0936
1775185397.151,70.0,0.15114,13.8861
1775185398.294,71.1,0.15139,15.5632
1775185399.361,72.2,0.1512,14.2886
1775185400.45,73.3,0.15114,13.8861
1775185402.365,75.2,0.15103,13.1482
1775185403.609,76.4,0.15096,12.6786
1775185405.366,78.2,0.1511,13.6178
1775185406.954,79.8,0.15092,12.4103
1775185408.009,80.8,0.1512,14.2886
1775185409.093,81.9,0.15105,13.2824
1775185410.772,83.6,0.15101,13.014
1775185411.789,84.6,0.15077,11.404
1775185412.84,85.6,0.15098,12.8128
1775185415.285,88.1,0.15086,12.0078
1775185416.701,89.5,0.15092,12.4103
1775185418.166,91.0,0.15099,12.8799
1775185419.255,92.1,0.15094,12.5444
1775185420.345,93.1,0.15084,11.8736
1775185422.172,95.0,0.15089,12.209
1775185424.277,97.1,0.15089,12.209
1775185425.589,98.4,0.15093,12.4774
1775185426.613,99.4,0.15094,12.5444
1775185427.685,100.5,0.15095,12.6115
1775185429.019,101.8,0.15044,9.1903
1775185430.234,103.0,0.15034,8.5195
1775185431.369,104.2,0.15033,8.4524
1775185433.072,105.9,0.15011,6.9766
1775185434.176,107.0,0.1506,10.2636
1775185435.303,108.1,0.15106,13.3494
1775185436.306,109.1,0.15054,9.8611
1775185437.446,110.2,0.15045,9.2574
1775185438.475,111.3,0.15038,8.7878
1775185440.094,112.9,0.15045,9.2574
1775185441.279,114.1,0.1506,10.2636
1775185442.321,115.1,0.15037,8.7207
1775185443.469,116.3,0.15023,7.7816
1775185444.482,117.3,0.14972,4.3604
1775185445.522,118.3,0.14914,0.4696
1775185445.892,118.7,0.14877,-2.0125
