# symbol=BRUSDT,side=LONG,entry_price=0.15045,exit_price=0.15108,exit_reason=strategy_stop,sl_price=0.1501491,tp_price=0.15270674999999997,leverage=10
ts,seconds,price,ret_margin_pct
1775185578.642,0.0,0.15045,0.0
1775185579.733,1.1,0.15085,2.6587
1775185580.953,2.3,0.15096,3.3898
1775185581.996,3.4,0.15099,3.5892
1775185583.258,4.6,0.15107,4.121
1775185587.773,9.1,0.15107,4.121
1775185589.873,11.2,0.15108,4.1874
1775185590.934,12.3,0.15093,3.1904
1775185592.025,13.4,0.15105,3.988
1775185594.554,15.9,0.15107,4.121
1775185595.758,17.1,0.15111,4.3868
1775185596.867,18.2,0.15114,4.5862
1775185599.559,20.9,0.15117,4.7856
1775185600.566,21.9,0.15093,3.1904
1775185601.98,23.3,0.15092,3.124
1775185603.254,24.6,0.15081,2.3928
1775185604.545,25.9,0.15088,2.8581
1775185605.722,27.1,0.15082,2.4593
1775185607.101,28.5,0.15108,4.1874
