# symbol=BRUSDT,side=LONG,entry_price=0.14495,exit_price=0.1435,exit_reason=dynamic_vol_stop,sl_price=0.1432106,tp_price=0.14712424999999998,leverage=10
ts,seconds,price,ret_margin_pct
1775193621.027,0.0,0.14495,0.0
1775193622.364,1.3,0.14481,-0.9659
1775193623.406,2.4,0.14477,-1.2418
1775193624.43,3.4,0.14487,-0.5519
1775193625.873,4.8,0.14491,-0.276
1775193626.925,5.9,0.14492,-0.207
1775193630.28,9.3,0.14487,-0.5519
1775193631.458,10.4,0.14479,-1.1038
1775193633.126,12.1,0.14499,0.276
1775193634.798,13.8,0.14489,-0.4139
1775193635.933,14.9,0.1449,-0.3449
1775193637.081,16.1,0.14501,0.4139
1775193638.147,17.1,0.14507,0.8279
1775193639.244,18.2,0.14529,2.3456
1775193640.309,19.3,0.14519,1.6557
1775193641.386,20.4,0.1452,1.7247
1775193643.494,22.5,0.14529,2.3456
1775193645.006,24.0,0.14538,2.9665
1775193646.119,25.1,0.14534,2.6906
1775193647.219,26.2,0.14535,2.7596
1775193648.227,27.2,0.14538,2.9665
1775193649.297,28.3,0.14538,2.9665
1775193650.312,29.3,0.1452,1.7247
1775193651.416,30.4,0.1452,1.7247
1775193652.504,31.5,0.1451,1.0348
1775193654.115,33.1,0.14513,1.2418
1775193655.145,34.1,0.14511,1.1038
1775193656.363,35.3,0.14519,1.6557
1775193657.405,36.4,0.14424,-4.8982
1775193658.477,37.4,0.14416,-5.4502
1775193659.731,38.7,0.14424,-4.8982
1775193660.741,39.7,0.14434,-4.2083
1775193661.923,40.9,0.1435,-10.0034
