# symbol=BRUSDT,side=LONG,entry_price=0.14616,exit_price=0.14675,exit_reason=trailing_expansion,sl_price=0.14440608000000002,tp_price=0.1483524,leverage=10
ts,seconds,price,ret_margin_pct
1775194252.812,0.0,0.14616,0.0
1775194254.336,1.5,0.14616,0.0
1775194255.57,2.8,0.14614,-0.1368
1775194256.637,3.8,0.14629,0.8894
1775194258.509,5.7,0.14615,-0.0684
1775194259.583,6.8,0.1462,0.2737
1775194260.651,7.8,0.14629,0.8894
1775194262.405,9.6,0.1462,0.2737
1775194264.56,11.7,0.14626,0.6842
1775194265.675,12.9,0.14609,-0.4789
1775194266.747,13.9,0.14608,-0.5473
1775194269.099,16.3,0.14607,-0.6158
1775194270.806,18.0,0.14609,-0.4789
1775194271.911,19.1,0.14605,-0.7526
1775194273.393,20.6,0.14603,-0.8894
1775194275.107,22.3,0.14604,-0.821
1775194276.87,24.1,0.14607,-0.6158
1775194277.899,25.1,0.1461,-0.4105
1775194279.773,27.0,0.14613,-0.2053
1775194281.607,28.8,0.14618,0.1368
1775194285.92,33.1,0.14635,1.2999
1775194287.946,35.1,0.14636,1.3684
1775194289.042,36.2,0.14627,0.7526
1775194290.61,37.8,0.14625,0.6158
1775194292.605,39.8,0.14623,0.4789
1775194293.673,40.9,0.14628,0.821
1775194297.863,45.1,0.14619,0.2053
1775194299.886,47.1,0.14637,1.4368
1775194301.374,48.6,0.14659,2.942
1775194303.278,50.5,0.14674,3.9683
1775194304.457,51.6,0.14679,4.3103
1775194305.537,52.7,0.14683,4.584
1775194306.683,53.9,0.14684,4.6524
1775194307.733,54.9,0.14675,4.0367
1775194308.819,56.0,0.14674,3.9683
1775194311.246,58.4,0.1467,3.6946
1775194313.359,60.5,0.14671,3.763
1775194315.002,62.2,0.14675,4.0367
1775194316.109,63.3,0.14653,2.5315
1775194318.086,65.3,0.14652,2.4631
1775194319.603,66.8,0.14653,2.5315
1775194320.62,67.8,0.14653,2.5315
1775194321.665,68.9,0.1465,2.3262
1775194322.984,70.2,0.14656,2.7367
1775194324.041,71.2,0.14648,2.1894
1775194325.411,72.6,0.14656,2.7367
1775194326.537,73.7,0.14643,1.8473
1775194331.14,78.3,0.14654,2.5999
1775194334.961,82.1,0.14656,2.7367
1775194336.416,83.6,0.14665,3.3525
1775194338.617,85.8,0.14659,2.942
1775194341.196,88.4,0.1466,3.0104
1775194342.414,89.6,0.14658,2.8736
1775194344.604,91.8,0.14656,2.7367
1775194345.648,92.8,0.14656,2.7367
1775194346.95,94.1,0.14653,2.5315
1775194348.261,95.4,0.14667,3.4893
1775194349.706,96.9,0.14669,3.6262
1775194350.937,98.1,0.1467,3.6946
1775194351.993,99.2,0.1468,4.3788
1775194354.459,101.6,0.14671,3.763
1775194355.753,102.9,0.14669,3.6262
1775194356.899,104.1,0.14671,3.763
1775194358.153,105.3,0.14674,3.9683
1775194359.188,106.4,0.14677,4.1735
1775194361.308,108.5,0.14677,4.1735
1775194362.917,110.1,0.1469,5.0629
1775194363.946,111.1,0.14695,5.405
1775194365.095,112.3,0.14714,6.705
1775194366.096,113.3,0.14717,6.9102
1775194367.323,114.5,0.14713,6.6366
1775194369.609,116.8,0.14697,5.5419
1775194371.011,118.2,0.147,5.7471
1775194373.396,120.6,0.1468,4.3788
1775194375.742,122.9,0.14662,3.1472
1775194376.786,124.0,0.14668,3.5577
1775194377.882,125.1,0.14657,2.8051
1775194379.851,127.0,0.14665,3.3525
1775194380.964,128.2,0.14669,3.6262
1775194382.093,129.3,0.1467,3.6946
1775194383.215,130.4,0.14688,4.9261
1775194384.282,131.5,0.14701,5.8155
1775194385.992,133.2,0.14686,4.7893
1775194387.418,134.6,0.14686,4.7893
1775194388.441,135.6,0.1468,4.3788
1775194389.854,137.0,0.14687,4.8577
1775194392.141,139.3,0.14669,3.6262
1775194394.692,141.9,0.14662,3.1472
1775194395.825,143.0,0.14633,1.1631
1775194399.206,146.4,0.14642,1.7789
1775194402.57,149.8,0.1464,1.642
1775194403.639,150.8,0.14635,1.2999
1775194404.735,151.9,0.14625,0.6158
1775194411.472,158.7,0.14625,0.6158
1775194412.828,160.0,0.14623,0.4789
1775194414.929,162.1,0.14627,0.7526
1775194416.204,163.4,0.14626,0.6842
1775194420.846,168.0,0.14636,1.3684
1775194422.974,170.2,0.14629,0.8894
1775194424.732,171.9,0.14636,1.3684
1775194429.585,176.8,0.1465,2.3262
1775194430.589,177.8,0.14653,2.5315
1775194433.524,180.7,0.14655,2.6683
1775194436.3,183.5,0.14655,2.6683
1775194438.357,185.5,0.14666,3.4209
1775194440.486,187.7,0.14659,2.942
1775194441.524,188.7,0.14651,2.3946
1775194442.559,189.7,0.14634,1.2315
1775194443.754,190.9,0.14633,1.1631
1775194447.402,194.6,0.14631,1.0263
1775194448.959,196.1,0.14626,0.6842
1775194452.406,199.6,0.14624,0.5473
1775194455.818,203.0,0.14631,1.0263
1775194459.453,206.6,0.14642,1.7789
1775194460.523,207.7,0.14637,1.4368
1775194463.021,210.2,0.14653,2.5315
1775194465.985,213.2,0.1466,3.0104
1775194469.052,216.2,0.14656,2.7367
1775194471.912,219.1,0.14646,2.0525
1775194473.667,220.9,0.14646,2.0525
1775194475.168,222.4,0.14652,2.4631
1775194475.94,223.1,0.14675,4.0367
