# symbol=BRUSDT,side=LONG,entry_price=0.14245,exit_price=0.14283,exit_reason=lifecycle_reversal,sl_price=0.1407406,tp_price=0.14458674999999999,leverage=10
ts,seconds,price,ret_margin_pct
1775204766.492,0.0,0.14245,0.0
1775204770.218,3.7,0.14255,0.702
1775204772.033,5.5,0.14249,0.2808
1775204777.058,10.6,0.14247,0.1404
1775204779.542,13.1,0.14245,0.0
1775204782.044,15.6,0.14243,-0.1404
1775204786.721,20.2,0.14242,-0.2106
1775204788.004,21.5,0.14239,-0.4212
1775204791.224,24.7,0.14233,-0.8424
1775204792.322,25.8,0.1423,-1.053
1775204793.432,26.9,0.14222,-1.6146
1775204794.557,28.1,0.14217,-1.9656
1775204797.941,31.4,0.14212,-2.3166
1775204799.187,32.7,0.14211,-2.3868
1775204800.539,34.0,0.14215,-2.106
1775204803.391,36.9,0.14228,-1.1934
1775204808.027,41.5,0.14227,-1.2636
1775204809.718,43.2,0.14243,-0.1404
1775204811.332,44.8,0.14254,0.6318
1775204813.083,46.6,0.14263,1.2636
1775204818.561,52.1,0.14267,1.5444
1775204821.315,54.8,0.14264,1.3338
1775204823.505,57.0,0.14265,1.404
1775204826.581,60.1,0.14264,1.3338
1775204828.109,61.6,0.14266,1.4742
1775204829.139,62.6,0.14258,0.9126
1775204832.196,65.7,0.14256,0.7722
1775204833.372,66.9,0.14257,0.8424
1775204834.448,68.0,0.14254,0.6318
1775204838.529,72.0,0.1425,0.351
1775204839.571,73.1,0.14255,0.702
1775204846.424,79.9,0.14245,0.0
1775204848.586,82.1,0.14249,0.2808
1775204851.24,84.7,0.14251,0.4212
1775204857.332,90.8,0.14251,0.4212
1775204861.155,94.7,0.14261,1.1232
1775204862.484,96.0,0.14261,1.1232
1775204865.02,98.5,0.1426,1.053
1775204866.65,100.2,0.1426,1.053
1775204868.89,102.4,0.14257,0.8424
1775204869.983,103.5,0.14257,0.8424
1775204874.698,108.2,0.14253,0.5616
1775204875.791,109.3,0.14249,0.2808
1775204877.659,111.2,0.14248,0.2106
1775204878.792,112.3,0.14245,0.0
1775204882.16,115.7,0.14236,-0.6318
1775204883.272,116.8,0.14239,-0.4212
1775204891.877,125.4,0.14255,0.702
1775204893.279,126.8,0.14256,0.7722
1775204895.243,128.8,0.14254,0.6318
1775204899.091,132.6,0.14258,0.9126
1775204907.684,141.2,0.14262,1.1934
1775204909.24,142.7,0.1426,1.053
1775204911.114,144.6,0.14252,0.4914
1775204925.003,158.5,0.1425,0.351
1775204926.129,159.6,0.14266,1.4742
1775204934.871,168.4,0.14255,0.702
1775204940.906,174.4,0.14262,1.1934
1775204941.99,175.5,0.14285,2.808
1775204943.597,177.1,0.14283,2.6676
1775204944.576,178.1,0.14283,2.6676
