# symbol=CHZUSDT,side=SHORT,entry_price=0.03948,exit_price=0.03971,exit_reason=dynamic_vol_stop,sl_price=0.039953760000000005,tp_price=0.0388878,leverage=10
ts,seconds,price,ret_margin_pct
1775194760.184,0.0,0.03948,0.0
1775194761.638,1.5,0.03948,0.0
1775194763.605,3.4,0.03947,0.2533
1775194765.02,4.8,0.03947,0.2533
1775194776.754,16.6,0.03947,0.2533
1775194786.247,26.1,0.03948,0.0
1775194790.231,30.0,0.03949,-0.2533
1775194796.672,36.5,0.03949,-0.2533
1775194801.777,41.6,0.03949,-0.2533
1775194803.049,42.9,0.0395,-0.5066
1775194812.205,52.0,0.03953,-1.2665
1775194818.636,58.5,0.03953,-1.2665
1775194821.354,61.2,0.03952,-1.0132
1775194823.16,63.0,0.03953,-1.2665
1775194826.249,66.1,0.03954,-1.5198
1775194828.481,68.3,0.03954,-1.5198
1775194835.399,75.2,0.03955,-1.773
1775194838.192,78.0,0.03955,-1.773
1775194839.802,79.6,0.03956,-2.0263
1775194842.794,82.6,0.03961,-3.2928
1775194848.386,88.2,0.03961,-3.2928
1775194849.474,89.3,0.03959,-2.7862
1775194851.632,91.4,0.03961,-3.2928
1775194852.773,92.6,0.03961,-3.2928
1775194859.489,99.3,0.03961,-3.2928
1775194861.647,101.5,0.0396,-3.0395
1775194862.684,102.5,0.03961,-3.2928
1775194866.12,105.9,0.03961,-3.2928
1775194870.319,110.1,0.03962,-3.5461
1775194871.758,111.6,0.03961,-3.2928
1775194873.74,113.6,0.03962,-3.5461
1775194880.673,120.5,0.03963,-3.7994
1775194885.428,125.2,0.03962,-3.5461
1775194896.755,136.6,0.03962,-3.5461
1775194898.081,137.9,0.03963,-3.7994
1775194900.346,140.2,0.03964,-4.0527
1775194903.247,143.1,0.03964,-4.0527
1775194911.258,151.1,0.03965,-4.306
1775194914.73,154.5,0.03966,-4.5593
1775194917.349,157.2,0.03968,-5.0659
1775194918.395,158.2,0.03969,-5.3191
1775194918.988,158.8,0.03971,-5.8257
