# symbol=CHZUSDT,side=SHORT,entry_price=0.03971,exit_price=0.03968,exit_reason=lifecycle_reversal,sl_price=0.04018652,tp_price=0.03911435,leverage=10
ts,seconds,price,ret_margin_pct
1775194923.153,0.0,0.03971,0.0
1775194924.839,1.7,0.03972,-0.2518
1775194926.58,3.4,0.03973,-0.5037
1775194928.39,5.2,0.03972,-0.2518
1775194942.097,18.9,0.0397,0.2518
1775194943.112,20.0,0.0397,0.2518
1775194946.129,23.0,0.0397,0.2518
1775194955.545,32.4,0.03971,0.0
1775194956.755,33.6,0.03972,-0.2518
1775194964.888,41.7,0.03972,-0.2518
1775194967.025,43.9,0.03971,0.0
1775194971.974,48.8,0.03972,-0.2518
1775194975.522,52.4,0.03973,-0.5037
1775194978.896,55.7,0.03973,-0.5037
1775194980.096,56.9,0.03973,-0.5037
1775194982.358,59.2,0.03973,-0.5037
1775194985.264,62.1,0.03974,-0.7555
1775194986.561,63.4,0.03973,-0.5037
1775194987.631,64.5,0.03973,-0.5037
1775194992.761,69.6,0.03973,-0.5037
1775194993.768,70.6,0.03973,-0.5037
1775195000.205,77.1,0.03973,-0.5037
1775195006.06,82.9,0.03971,0.0
1775195007.09,83.9,0.03971,0.0
1775195018.267,95.1,0.03971,0.0
1775195024.718,101.6,0.0397,0.2518
1775195035.271,112.1,0.03968,0.7555
1775195037.389,114.2,0.03968,0.7555
1775195049.845,126.7,0.03968,0.7555
1775195052.213,129.1,0.03968,0.7555
1775195059.987,136.8,0.03968,0.7555
