# symbol=CTSIUSDT,side=LONG,entry_price=0.0397,exit_price=0.0393,exit_reason=dynamic_vol_stop,sl_price=0.0392236,tp_price=0.0402955,leverage=10
ts,seconds,price,ret_margin_pct
1775194958.355,0.0,0.0397,0.0
1775194959.365,1.0,0.0396,-2.5189
1775194961.472,3.1,0.0396,-2.5189
1775194963.749,5.4,0.0397,0.0
1775194966.102,7.7,0.0397,0.0
1775194970.231,11.9,0.0397,0.0
1775194971.262,12.9,0.0396,-2.5189
1775194972.754,14.4,0.0397,0.0
1775194974.284,15.9,0.0396,-2.5189
1775194976.466,18.1,0.0396,-2.5189
1775194977.871,19.5,0.0395,-5.0378
1775194979.551,21.2,0.0396,-2.5189
1775194980.6,22.2,0.0395,-5.0378
1775194981.983,23.6,0.0395,-5.0378
1775194983.128,24.8,0.0394,-7.5567
1775194984.259,25.9,0.0395,-5.0378
1775194985.316,27.0,0.0395,-5.0378
1775194987.017,28.7,0.0396,-2.5189
1775194988.214,29.9,0.0396,-2.5189
1775194989.263,30.9,0.0394,-7.5567
1775194990.372,32.0,0.0396,-2.5189
1775194991.672,33.3,0.0395,-5.0378
1775194993.727,35.4,0.0395,-5.0378
1775194995.12,36.8,0.0396,-2.5189
1775194996.869,38.5,0.0396,-2.5189
1775194998.245,39.9,0.0395,-5.0378
1775195001.086,42.7,0.0394,-7.5567
1775195002.438,44.1,0.0395,-5.0378
1775195003.661,45.3,0.0395,-5.0378
1775195005.313,47.0,0.0394,-7.5567
1775195006.4,48.0,0.0395,-5.0378
1775195008.386,50.0,0.0395,-5.0378
1775195010.029,51.7,0.0394,-7.5567
1775195011.276,52.9,0.0394,-7.5567
1775195011.761,53.4,0.0393,-10.0756
