# symbol=CTSIUSDT,side=SHORT,entry_price=0.0407,exit_price=0.0412,exit_reason=dynamic_vol_stop,sl_price=0.0411884,tp_price=0.0400895,leverage=10
ts,seconds,price,ret_margin_pct
1775204768.01,0.0,0.0407,0.0
1775204770.285,2.3,0.0407,0.0
1775204772.108,4.1,0.0407,0.0
1775204773.615,5.6,0.0406,2.457
1775204774.738,6.7,0.0405,4.914
1775204775.951,7.9,0.0405,4.914
1775204777.455,9.4,0.0405,4.914
1775204778.753,10.7,0.0405,4.914
1775204779.901,11.9,0.0406,2.457
1775204781.283,13.3,0.0406,2.457
1775204782.492,14.5,0.0405,4.914
1775204783.629,15.6,0.0406,2.457
1775204784.649,16.6,0.0406,2.457
1775204785.75,17.7,0.0406,2.457
1775204787.075,19.1,0.0407,0.0
1775204788.864,20.9,0.0406,2.457
1775204791.109,23.1,0.0406,2.457
1775204792.268,24.3,0.0407,0.0
1775204793.319,25.3,0.0407,0.0
1775204794.476,26.5,0.0406,2.457
1775204795.83,27.8,0.0407,0.0
1775204797.707,29.7,0.0407,0.0
1775204799.189,31.2,0.0406,2.457
1775204800.257,32.2,0.0406,2.457
1775204801.29,33.3,0.0407,0.0
1775204802.323,34.3,0.0407,0.0
1775204803.379,35.4,0.0406,2.457
1775204804.672,36.7,0.0407,0.0
1775204806.244,38.2,0.0406,2.457
1775204807.293,39.3,0.0406,2.457
1775204808.365,40.4,0.0406,2.457
1775204810.694,42.7,0.0406,2.457
1775204811.843,43.8,0.0406,2.457
1775204812.987,45.0,0.0406,2.457
1775204814.159,46.1,0.0406,2.457
1775204815.414,47.4,0.0406,2.457
1775204816.507,48.5,0.0407,0.0
1775204817.559,49.5,0.0408,-2.457
1775204818.812,50.8,0.0408,-2.457
1775204819.855,51.8,0.0407,0.0
1775204821.638,53.6,0.0406,2.457
1775204822.757,54.7,0.0406,2.457
1775204823.847,55.8,0.0406,2.457
1775204825.141,57.1,0.0407,0.0
1775204826.307,58.3,0.0406,2.457
1775204827.357,59.3,0.0407,0.0
1775204828.991,61.0,0.0407,0.0
1775204830.141,62.1,0.0407,0.0
1775204831.718,63.7,0.0406,2.457
1775204832.855,64.8,0.0406,2.457
1775204834.025,66.0,0.0407,0.0
1775204835.131,67.1,0.0406,2.457
1775204837.865,69.9,0.0406,2.457
1775204838.992,71.0,0.0406,2.457
1775204840.084,72.1,0.0406,2.457
1775204841.663,73.7,0.0406,2.457
1775204842.915,74.9,0.0406,2.457
1775204844.179,76.2,0.0406,2.457
1775204845.308,77.3,0.0405,4.914
1775204847.052,79.0,0.0406,2.457
1775204848.061,80.1,0.0406,2.457
1775204849.338,81.3,0.0407,0.0
1775204850.54,82.5,0.0406,2.457
1775204851.615,83.6,0.0407,0.0
1775204852.693,84.7,0.0406,2.457
1775204854.83,86.8,0.0407,0.0
1775204856.143,88.1,0.0407,0.0
1775204857.328,89.3,0.0406,2.457
1775204858.382,90.4,0.0407,0.0
1775204859.798,91.8,0.0408,-2.457
1775204860.927,92.9,0.0407,0.0
1775204862.688,94.7,0.0406,2.457
1775204864.004,96.0,0.0406,2.457
1775204865.146,97.1,0.0406,2.457
1775204867.194,99.2,0.0406,2.457
1775204869.185,101.2,0.0406,2.457
1775204871.006,103.0,0.0406,2.457
1775204872.935,104.9,0.0407,0.0
1775204874.097,106.1,0.0407,0.0
1775204875.195,107.2,0.0407,0.0
1775204876.279,108.3,0.0408,-2.457
1775204877.283,109.3,0.0407,0.0
1775204878.316,110.3,0.0408,-2.457
1775204879.727,111.7,0.0408,-2.457
1775204881.053,113.0,0.0408,-2.457
1775204882.138,114.1,0.0408,-2.457
1775204883.161,115.2,0.0408,-2.457
1775204884.564,116.6,0.0408,-2.457
1775204885.765,117.8,0.0409,-4.914
1775204887.265,119.3,0.0408,-2.457
1775204888.759,120.7,0.041,-7.371
1775204890.395,122.4,0.041,-7.371
1775204891.406,123.4,0.0409,-4.914
1775204892.493,124.5,0.0409,-4.914
1775204893.601,125.6,0.0409,-4.914
1775204894.754,126.7,0.0409,-4.914
1775204895.784,127.8,0.0408,-2.457
1775204897.272,129.3,0.0409,-4.914
1775204898.818,130.8,0.0408,-2.457
1775204899.888,131.9,0.0409,-4.914
1775204900.897,132.9,0.0409,-4.914
1775204901.957,133.9,0.0409,-4.914
1775204903.247,135.2,0.0408,-2.457
1775204904.46,136.4,0.0409,-4.914
1775204905.827,137.8,0.0409,-4.914
1775204906.859,138.8,0.0409,-4.914
1775204908.014,140.0,0.0409,-4.914
1775204909.509,141.5,0.0409,-4.914
1775204910.705,142.7,0.0408,-2.457
1775204912.188,144.2,0.0409,-4.914
1775204913.478,145.5,0.0409,-4.914
1775204914.718,146.7,0.0409,-4.914
1775204916.25,148.2,0.0408,-2.457
1775204917.73,149.7,0.0409,-4.914
1775204918.953,150.9,0.041,-7.371
1775204920.516,152.5,0.0409,-4.914
1775204921.749,153.7,0.041,-7.371
1775204922.77,154.8,0.0409,-4.914
1775204923.848,155.8,0.0409,-4.914
1775204924.862,156.9,0.0409,-4.914
1775204926.131,158.1,0.0409,-4.914
1775204927.379,159.4,0.0409,-4.914
1775204928.581,160.6,0.0408,-2.457
1775204930.194,162.2,0.0408,-2.457
1775204932.496,164.5,0.0409,-4.914
1775204933.639,165.6,0.0409,-4.914
1775204934.7,166.7,0.0409,-4.914
1775204935.888,167.9,0.0408,-2.457
1775204936.897,168.9,0.041,-7.371
1775204938.298,170.3,0.041,-7.371
1775204939.803,171.8,0.0409,-4.914
1775204940.899,172.9,0.041,-7.371
1775204942.039,174.0,0.041,-7.371
1775204943.977,176.0,0.041,-7.371
1775204945.328,177.3,0.0409,-4.914
1775204946.422,178.4,0.0409,-4.914
1775204948.548,180.5,0.0408,-2.457
1775204949.972,182.0,0.0408,-2.457
1775204951.221,183.2,0.0408,-2.457
1775204952.284,184.3,0.0408,-2.457
1775204953.551,185.5,0.0408,-2.457
1775204954.883,186.9,0.0407,0.0
1775204955.905,187.9,0.0408,-2.457
1775204957.047,189.0,0.0408,-2.457
1775204959.335,191.3,0.0408,-2.457
1775204961.3,193.3,0.0408,-2.457
1775204962.778,194.8,0.0408,-2.457
1775204963.852,195.8,0.0407,0.0
1775204964.969,197.0,0.0408,-2.457
1775204966.859,198.8,0.0407,0.0
1775204968.204,200.2,0.0407,0.0
1775204969.296,201.3,0.0408,-2.457
1775204970.307,202.3,0.0409,-4.914
1775204971.474,203.5,0.0408,-2.457
1775204973.941,205.9,0.0409,-4.914
1775204974.985,207.0,0.0408,-2.457
1775204976.357,208.3,0.0408,-2.457
1775204978.207,210.2,0.0408,-2.457
1775204979.329,211.3,0.0408,-2.457
1775204980.499,212.5,0.0408,-2.457
1775204982.428,214.4,0.0407,0.0
1775204985.085,217.1,0.0407,0.0
1775204986.881,218.9,0.0408,-2.457
1775204988.076,220.1,0.0407,0.0
1775204990.877,222.9,0.0408,-2.457
1775204994.302,226.3,0.0408,-2.457
1775204996.451,228.4,0.0407,0.0
1775204997.588,229.6,0.0407,0.0
1775204999.623,231.6,0.0407,0.0
1775205000.656,232.6,0.0407,0.0
1775205001.725,233.7,0.0407,0.0
1775205002.788,234.8,0.0406,2.457
1775205003.988,236.0,0.0407,0.0
1775205005.415,237.4,0.0407,0.0
1775205007.144,239.1,0.0407,0.0
1775205008.897,240.9,0.0407,0.0
1775205010.155,242.1,0.0407,0.0
1775205011.366,243.4,0.0407,0.0
1775205012.381,244.4,0.0406,2.457
1775205014.366,246.4,0.0407,0.0
1775205015.539,247.5,0.0407,0.0
1775205017.421,249.4,0.0407,0.0
1775205018.699,250.7,0.0408,-2.457
1775205019.714,251.7,0.0407,0.0
1775205020.79,252.8,0.0406,2.457
1775205021.831,253.8,0.0406,2.457
1775205023.613,255.6,0.0406,2.457
1775205024.639,256.6,0.0406,2.457
1775205025.959,257.9,0.0407,0.0
1775205027.027,259.0,0.0407,0.0
1775205028.295,260.3,0.0408,-2.457
1775205029.313,261.3,0.0408,-2.457
1775205030.538,262.5,0.0408,-2.457
1775205032.159,264.1,0.0408,-2.457
1775205033.979,266.0,0.0408,-2.457
1775205035.085,267.1,0.0408,-2.457
1775205036.348,268.3,0.0408,-2.457
1775205037.358,269.3,0.0408,-2.457
1775205038.713,270.7,0.0408,-2.457
1775205039.9,271.9,0.0407,0.0
1775205041.129,273.1,0.0407,0.0
1775205042.313,274.3,0.0407,0.0
1775205043.969,276.0,0.0407,0.0
1775205045.27,277.3,0.0407,0.0
1775205046.725,278.7,0.0407,0.0
