# symbol=CUSDT,side=SHORT,entry_price=0.06972,exit_price=0.07007,exit_reason=lifecycle_reversal,sl_price=0.07055664,tp_price=0.0686742,leverage=10
ts,seconds,price,ret_margin_pct
1775204432.984,0.0,0.06972,0.0
1775204434.226,1.2,0.06971,0.1434
1775204435.227,2.2,0.0697,0.2869
1775204436.23,3.2,0.06969,0.4303
1775204438.229,5.2,0.06968,0.5737
1775204441.225,8.2,0.06968,0.5737
1775204445.852,12.9,0.06968,0.5737
1775204449.066,16.1,0.06959,1.8646
1775204452.229,19.2,0.06956,2.2949
1775204454.453,21.5,0.06957,2.1515
1775204456.316,23.3,0.06962,1.4343
1775204457.819,24.8,0.0696,1.7212
1775204459.817,26.8,0.06957,2.1515
1775204460.818,27.8,0.06951,3.012
1775204464.892,31.9,0.06956,2.2949
1775204465.96,33.0,0.06958,2.008
1775204467.225,34.2,0.06956,2.2949
1775204469.969,37.0,0.06956,2.2949
1775204472.632,39.6,0.06951,3.012
1775204475.695,42.7,0.06951,3.012
1775204476.862,43.9,0.06953,2.7252
1775204479.835,46.9,0.06954,2.5818
1775204488.007,55.0,0.06955,2.4383
1775204490.787,57.8,0.06964,1.1474
1775204494.812,61.8,0.06964,1.1474
1775204497.024,64.0,0.06964,1.1474
1775204498.138,65.2,0.06965,1.004
1775204500.995,68.0,0.06964,1.1474
1775204505.57,72.6,0.06965,1.004
1775204506.904,73.9,0.06965,1.004
1775204510.801,77.8,0.06964,1.1474
1775204512.32,79.3,0.06966,0.8606
1775204516.147,83.2,0.06969,0.4303
1775204520.397,87.4,0.06965,1.004
1775204525.196,92.2,0.0696,1.7212
1775204526.449,93.5,0.06961,1.5777
1775204532.155,99.2,0.06966,0.8606
1775204535.077,102.1,0.06966,0.8606
1775204536.495,103.5,0.06972,0.0
1775204537.588,104.6,0.06975,-0.4303
1775204541.297,108.3,0.06976,-0.5737
1775204543.212,110.2,0.06975,-0.4303
1775204544.253,111.3,0.06973,-0.1434
1775204548.845,115.9,0.06973,-0.1434
1775204550.414,117.4,0.06973,-0.1434
1775204551.749,118.8,0.06973,-0.1434
1775204553.93,120.9,0.06972,0.0
1775204558.265,125.3,0.06972,0.0
1775204559.388,126.4,0.06973,-0.1434
1775204560.416,127.4,0.06975,-0.4303
1775204565.101,132.1,0.06974,-0.2869
1775204566.417,133.4,0.06971,0.1434
1775204573.414,140.4,0.06971,0.1434
1775204579.75,146.8,0.06972,0.0
1775204580.831,147.8,0.06972,0.0
1775204582.419,149.4,0.06971,0.1434
1775204584.3,151.3,0.06972,0.0
1775204588.246,155.3,0.06972,0.0
1775204590.492,157.5,0.06972,0.0
1775204592.037,159.1,0.06973,-0.1434
1775204597.432,164.4,0.06971,0.1434
1775204600.271,167.3,0.06971,0.1434
1775204602.42,169.4,0.0697,0.2869
1775204609.134,176.2,0.0697,0.2869
1775204613.414,180.4,0.06963,1.2909
1775204614.415,181.4,0.06962,1.4343
1775204616.543,183.6,0.06962,1.4343
1775204618.094,185.1,0.06962,1.4343
1775204619.161,186.2,0.06964,1.1474
1775204620.462,187.5,0.06968,0.5737
1775204626.162,193.2,0.06969,0.4303
1775204631.981,199.0,0.06971,0.1434
1775204634.069,201.1,0.06971,0.1434
1775204635.101,202.1,0.06972,0.0
1775204640.421,207.4,0.06973,-0.1434
1775204643.308,210.3,0.06983,-1.5777
1775204644.513,211.5,0.06991,-2.7252
1775204646.171,213.2,0.06978,-0.8606
1775204647.208,214.2,0.06975,-0.4303
1775204648.295,215.3,0.06976,-0.5737
1775204649.481,216.5,0.06979,-1.004
1775204651.094,218.1,0.06979,-1.004
1775204652.735,219.8,0.06978,-0.8606
1775204659.388,226.4,0.0698,-1.1474
1775204669.221,236.2,0.06986,-2.008
1775204671.641,238.7,0.06989,-2.4383
1775204673.061,240.1,0.06987,-2.1515
1775204677.497,244.5,0.07001,-4.1595
1775204678.521,245.5,0.07,-4.0161
1775204683.825,250.8,0.06998,-3.7292
1775204689.697,256.7,0.06999,-3.8726
1775204698.571,265.6,0.06997,-3.5858
1775204700.492,267.5,0.07002,-4.3029
1775204701.738,268.8,0.07008,-5.1635
1775204702.554,269.6,0.07007,-5.0201
