# symbol=CUSDT,side=SHORT,entry_price=0.07031,exit_price=0.06996,exit_reason=trailing_expansion,sl_price=0.07115372,tp_price=0.06925535,leverage=10
ts,seconds,price,ret_margin_pct
1775205386.182,0.0,0.07031,0.0
1775205387.878,1.7,0.07031,0.0
1775205389.285,3.1,0.07031,0.0
1775205391.033,4.9,0.07031,0.0
1775205392.135,6.0,0.07029,0.2845
1775205393.245,7.1,0.0703,0.1422
1775205394.536,8.4,0.0703,0.1422
1775205395.648,9.5,0.0703,0.1422
1775205396.767,10.6,0.07031,0.0
1775205397.867,11.7,0.0703,0.1422
1775205399.07,12.9,0.0703,0.1422
1775205400.294,14.1,0.0703,0.1422
1775205401.545,15.4,0.0703,0.1422
1775205402.631,16.4,0.07031,0.0
1775205403.896,17.7,0.07032,-0.1422
1775205405.317,19.1,0.07033,-0.2845
1775205406.604,20.4,0.07031,0.0
1775205407.855,21.7,0.0703,0.1422
1775205409.206,23.0,0.07032,-0.1422
1775205410.263,24.1,0.07031,0.0
1775205411.665,25.5,0.07032,-0.1422
1775205412.837,26.7,0.07032,-0.1422
1775205414.042,27.9,0.07032,-0.1422
1775205416.143,30.0,0.07031,0.0
1775205417.621,31.4,0.07031,0.0
1775205418.93,32.7,0.07029,0.2845
1775205420.308,34.1,0.07032,-0.1422
1775205421.411,35.2,0.07021,1.4223
1775205422.417,36.2,0.07016,2.1334
1775205423.47,37.3,0.07018,1.849
1775205424.758,38.6,0.07019,1.7067
1775205425.833,39.7,0.0702,1.5645
1775205426.91,40.7,0.07018,1.849
1775205428.17,42.0,0.07017,1.9912
1775205429.367,43.2,0.07018,1.849
1775205430.564,44.4,0.07023,1.1378
1775205431.641,45.5,0.07017,1.9912
1775205432.971,46.8,0.07015,2.2756
1775205434.114,47.9,0.07015,2.2756
1775205435.26,49.1,0.07013,2.5601
1775205436.389,50.2,0.07016,2.1334
1775205437.39,51.2,0.07016,2.1334
1775205438.596,52.4,0.07015,2.2756
1775205439.803,53.6,0.07015,2.2756
1775205440.873,54.7,0.07016,2.1334
1775205442.0,55.8,0.07017,1.9912
1775205443.067,56.9,0.07018,1.849
1775205444.206,58.0,0.07013,2.5601
1775205445.206,59.0,0.07013,2.5601
1775205446.237,60.1,0.07012,2.7023
1775205447.244,61.1,0.07004,3.8401
1775205448.373,62.2,0.07009,3.129
1775205449.869,63.7,0.07006,3.5557
1775205450.991,64.8,0.06996,4.978
1775205451.996,65.8,0.06995,5.1202
1775205453.209,67.0,0.06995,5.1202
1775205454.244,68.1,0.06998,4.6935
1775205455.798,69.6,0.06995,5.1202
1775205456.824,70.6,0.06995,5.1202
1775205457.932,71.7,0.0699,5.8313
1775205459.648,73.5,0.06991,5.6891
1775205461.402,75.2,0.0699,5.8313
1775205462.441,76.3,0.06988,6.1158
1775205463.443,77.3,0.06992,5.5469
1775205464.775,78.6,0.06992,5.5469
1775205466.177,80.0,0.06993,5.4046
1775205467.407,81.2,0.06992,5.5469
1775205468.498,82.3,0.06992,5.5469
1775205469.67,83.5,0.06993,5.4046
1775205470.805,84.6,0.06993,5.4046
1775205471.962,85.8,0.06997,4.8357
1775205473.107,86.9,0.06995,5.1202
1775205474.22,88.0,0.06993,5.4046
1775205475.311,89.1,0.06993,5.4046
1775205476.386,90.2,0.06994,5.2624
1775205477.593,91.4,0.06996,4.978
1775205478.655,92.5,0.06992,5.5469
1775205479.805,93.6,0.06993,5.4046
1775205480.928,94.7,0.06994,5.2624
1775205482.165,96.0,0.06994,5.2624
1775205483.17,97.0,0.06992,5.5469
1775205484.21,98.0,0.06993,5.4046
1775205485.389,99.2,0.06994,5.2624
1775205486.624,100.4,0.06994,5.2624
1775205487.713,101.5,0.06996,4.978
1775205489.107,102.9,0.06995,5.1202
1775205490.223,104.0,0.06994,5.2624
1775205491.618,105.4,0.06992,5.5469
1775205492.902,106.7,0.06993,5.4046
1775205493.999,107.8,0.06995,5.1202
1775205495.246,109.1,0.06993,5.4046
1775205496.267,110.1,0.06994,5.2624
1775205497.4,111.2,0.06995,5.1202
1775205498.596,112.4,0.06995,5.1202
1775205499.806,113.6,0.06995,5.1202
1775205500.922,114.7,0.06995,5.1202
1775205502.012,115.8,0.06996,4.978
1775205503.442,117.3,0.06995,5.1202
1775205505.388,119.2,0.06996,4.978
1775205506.715,120.5,0.06996,4.978
1775205507.254,121.1,0.06996,4.978
