# symbol=CYSUSDT,side=SHORT,entry_price=0.2466,exit_price=0.2471,exit_reason=vol_stop,sl_price=0.2470932,tp_price=0.242901,leverage=10
ts,seconds,price,ret_margin_pct
1775185316.638,0.0,0.2466,0.0
1775185322.379,5.7,0.2465,0.4055
1775185324.451,7.8,0.2465,0.4055
1775185326.961,10.3,0.2461,2.0276
1775185330.271,13.6,0.2462,1.6221
1775185335.296,18.7,0.2462,1.6221
1775185338.393,21.8,0.2461,2.0276
1775185339.83,23.2,0.2462,1.6221
1775185342.406,25.8,0.2461,2.0276
1775185343.441,26.8,0.2462,1.6221
1775185347.372,30.7,0.2462,1.6221
1775185351.021,34.4,0.2462,1.6221
1775185352.541,35.9,0.2463,1.2165
1775185353.543,36.9,0.2462,1.6221
1775185359.144,42.5,0.2464,0.811
1775185362.862,46.2,0.2464,0.811
1775185364.087,47.4,0.2464,0.811
1775185372.625,56.0,0.2463,1.2165
1775185385.246,68.6,0.2463,1.2165
1775185388.279,71.6,0.2464,0.811
1775185390.027,73.4,0.2468,-0.811
1775185393.647,77.0,0.2468,-0.811
1775185397.378,80.7,0.2468,-0.811
1775185407.034,90.4,0.2468,-0.811
1775185422.572,105.9,0.2468,-0.811
1775185423.025,106.4,0.2471,-2.0276
