# symbol=CYSUSDT,side=SHORT,entry_price=0.238,exit_price=0.2394,exit_reason=dynamic_vol_stop,sl_price=0.240856,tp_price=0.23443,leverage=10
ts,seconds,price,ret_margin_pct
1775193066.906,0.0,0.238,0.0
1775193071.365,4.5,0.2378,0.8403
1775193073.844,6.9,0.2382,-0.8403
1775193079.167,12.3,0.2383,-1.2605
1775193082.187,15.3,0.2382,-0.8403
1775193085.552,18.6,0.2382,-0.8403
1775193090.259,23.4,0.2382,-0.8403
1775193091.285,24.4,0.2383,-1.2605
1775193092.65,25.7,0.2382,-0.8403
1775193094.51,27.6,0.238,0.0
1775193098.338,31.4,0.2382,-0.8403
1775193100.321,33.4,0.2381,-0.4202
1775193102.947,36.0,0.2382,-0.8403
1775193103.968,37.1,0.2382,-0.8403
1775193105.381,38.5,0.2383,-1.2605
1775193107.677,40.8,0.2381,-0.4202
1775193110.737,43.8,0.2381,-0.4202
1775193114.018,47.1,0.2381,-0.4202
1775193116.869,50.0,0.2383,-1.2605
1775193120.557,53.7,0.2383,-1.2605
1775193122.985,56.1,0.2381,-0.4202
1775193124.422,57.5,0.2383,-1.2605
1775193131.766,64.9,0.2382,-0.8403
1775193136.273,69.4,0.2382,-0.8403
1775193138.593,71.7,0.2382,-0.8403
1775193140.797,73.9,0.2382,-0.8403
1775193142.288,75.4,0.2381,-0.4202
1775193144.353,77.4,0.2381,-0.4202
1775193151.165,84.3,0.238,0.0
1775193153.389,86.5,0.238,0.0
1775193157.425,90.5,0.2381,-0.4202
1775193160.847,93.9,0.2381,-0.4202
1775193164.004,97.1,0.2381,-0.4202
1775193172.119,105.2,0.2382,-0.8403
1775193173.827,106.9,0.2386,-2.521
1775193175.324,108.4,0.2385,-2.1008
1775193180.638,113.7,0.2387,-2.9412
1775193181.639,114.7,0.2392,-5.042
1775193182.699,115.8,0.2394,-5.8824
1775193184.858,118.0,0.2394,-5.8824
