# symbol=DUSDT,side=SHORT,entry_price=0.007929,exit_price=0.007945,exit_reason=vol_stop,sl_price=0.007944858,tp_price=0.007810065000000001,leverage=10
ts,seconds,price,ret_margin_pct
1775185034.607,0.0,0.007929,0.0
1775185036.31,1.7,0.007927,0.2522
1775185037.438,2.8,0.007919,1.2612
1775185038.51,3.9,0.00792,1.1351
1775185039.552,4.9,0.007922,0.8828
1775185047.615,13.0,0.007923,0.7567
1775185053.153,18.5,0.007922,0.8828
1775185058.068,23.5,0.00792,1.1351
1775185059.36,24.8,0.00792,1.1351
1775185064.251,29.6,0.007906,2.9007
1775185069.085,34.5,0.007906,2.9007
1775185072.268,37.7,0.007908,2.6485
1775185073.63,39.0,0.007907,2.7746
1775185074.799,40.2,0.007907,2.7746
1775185076.289,41.7,0.007908,2.6485
1775185078.052,43.4,0.007909,2.5224
1775185081.101,46.5,0.007907,2.7746
1775185082.371,47.8,0.007908,2.6485
1775185086.605,52.0,0.007906,2.9007
1775185088.493,53.9,0.007909,2.5224
1775185097.018,62.4,0.007911,2.2701
1775185098.691,64.1,0.007913,2.0179
1775185100.021,65.4,0.007913,2.0179
1775185102.311,67.7,0.007918,1.3873
1775185105.947,71.3,0.007919,1.2612
1775185107.647,73.0,0.007918,1.3873
1775185109.02,74.4,0.007918,1.3873
1775185110.03,75.4,0.007919,1.2612
1775185112.205,77.6,0.007919,1.2612
1775185114.031,79.4,0.007921,1.009
1775185119.428,84.8,0.00792,1.1351
1775185131.606,97.0,0.00792,1.1351
1775185135.921,101.3,0.007915,1.7657
1775185140.419,105.8,0.007913,2.0179
1775185142.734,108.1,0.007916,1.6396
1775185152.718,118.1,0.007919,1.2612
1775185153.781,119.2,0.00792,1.1351
1775185154.942,120.3,0.007925,0.5045
1775185160.988,126.4,0.007926,0.3784
1775185163.94,129.3,0.007926,0.3784
1775185169.917,135.3,0.007926,0.3784
1775185176.234,141.6,0.007927,0.2522
1775185178.815,144.2,0.007927,0.2522
1775185183.418,148.8,0.00793,-0.1261
1775185184.316,149.7,0.007945,-2.0179
