# symbol=DUSDT,side=SHORT,entry_price=0.007949,exit_price=0.007901,exit_reason=trailing_expansion,sl_price=0.007964898,tp_price=0.007829764999999999,leverage=10
ts,seconds,price,ret_margin_pct
1775185188.299,0.0,0.007949,0.0
1775185190.017,1.7,0.007943,0.7548
1775185197.173,8.9,0.007944,0.629
1775185198.197,9.9,0.00795,-0.1258
1775185200.013,11.7,0.007946,0.3774
1775185201.15,12.9,0.007938,1.3838
1775185204.305,16.0,0.00794,1.1322
1775185205.387,17.1,0.007928,2.6418
1775185206.524,18.2,0.007928,2.6418
1775185207.656,19.4,0.007934,1.887
1775185210.102,21.8,0.00793,2.3902
1775185212.332,24.0,0.007931,2.2644
1775185214.334,26.0,0.007937,1.5096
1775185215.897,27.6,0.007938,1.3838
1775185226.575,38.3,0.007939,1.258
1775185227.821,39.5,0.007935,1.7612
1775185229.232,40.9,0.007932,2.1386
1775185231.27,43.0,0.007934,1.887
1775185233.938,45.6,0.007937,1.5096
1775185235.438,47.1,0.007934,1.887
1775185236.48,48.2,0.007931,2.2644
1775185241.903,53.6,0.007933,2.0128
1775185243.216,54.9,0.007936,1.6354
1775185245.027,56.7,0.007932,2.1386
1775185249.052,60.8,0.00793,2.3902
1775185250.21,61.9,0.007933,2.0128
1775185251.248,62.9,0.00793,2.3902
1775185252.428,64.1,0.007928,2.6418
1775185253.676,65.4,0.007931,2.2644
1775185254.766,66.5,0.007929,2.516
1775185256.491,68.2,0.007928,2.6418
1775185261.588,73.3,0.007931,2.2644
1775185262.995,74.7,0.007932,2.1386
1775185264.274,76.0,0.007928,2.6418
1775185265.375,77.1,0.007941,1.0064
1775185266.858,78.6,0.007931,2.2644
1775185267.888,79.6,0.007928,2.6418
1775185269.354,81.1,0.007919,3.7741
1775185270.382,82.1,0.007913,4.5289
1775185274.29,86.0,0.007911,4.7805
1775185281.018,92.7,0.007913,4.5289
1775185282.945,94.6,0.007911,4.7805
1775185284.023,95.7,0.007909,5.0321
1775185285.064,96.8,0.007905,5.5353
1775185287.936,99.6,0.007907,5.2837
1775185288.945,100.6,0.007899,6.2901
1775185290.137,101.8,0.007901,6.0385
1775185291.173,102.9,0.007903,5.7869
1775185293.867,105.6,0.007902,5.9127
1775185295.456,107.2,0.007902,5.9127
1775185297.36,109.1,0.007902,5.9127
1775185298.402,110.1,0.007899,6.2901
1775185300.484,112.2,0.007899,6.2901
1775185301.891,113.6,0.007903,5.7869
1775185303.821,115.5,0.0079,6.1643
1775185307.018,118.7,0.007905,5.5353
1775185308.32,120.0,0.007901,6.0385
1775185308.794,120.5,0.007901,6.0385
