# symbol=DUSDT,side=SHORT,entry_price=0.00792,exit_price=0.00789,exit_reason=strategy_stop,sl_price=0.00793584,tp_price=0.0078011999999999995,leverage=10
ts,seconds,price,ret_margin_pct
1775185504.353,0.0,0.00792,0.0
1775185505.639,1.3,0.007914,0.7576
1775185507.336,3.0,0.007913,0.8838
1775185508.609,4.3,0.007912,1.0101
1775185510.416,6.1,0.007906,1.7677
1775185511.551,7.2,0.007905,1.8939
1775185517.14,12.8,0.007907,1.6414
1775185522.626,18.3,0.007907,1.6414
1775185524.809,20.5,0.007908,1.5152
1775185526.266,21.9,0.007907,1.6414
1775185527.311,23.0,0.007907,1.6414
1775185536.256,31.9,0.007905,1.8939
1775185543.36,39.0,0.007895,3.1566
1775185545.838,41.5,0.007896,3.0303
1775185554.346,50.0,0.007898,2.7778
1775185556.412,52.1,0.007899,2.6515
1775185561.511,57.2,0.007901,2.399
1775185563.685,59.3,0.007903,2.1465
1775185565.038,60.7,0.0079,2.5253
1775185566.321,62.0,0.0079,2.5253
1775185577.326,73.0,0.0079,2.5253
1775185579.979,75.6,0.0079,2.5253
1775185581.469,77.1,0.0079,2.5253
1775185584.132,79.8,0.007899,2.6515
1775185589.196,84.8,0.007898,2.7778
1775185592.565,88.2,0.007897,2.904
1775185600.716,96.4,0.007892,3.5354
1775185602.021,97.7,0.007892,3.5354
1775185607.703,103.3,0.00789,3.7879
