# symbol=DUSDT,side=SHORT,entry_price=0.007528,exit_price=0.00754,exit_reason=lifecycle_reversal,sl_price=0.007618336,tp_price=0.00741508,leverage=10
ts,seconds,price,ret_margin_pct
1775194271.14,0.0,0.007528,0.0
1775194272.426,1.3,0.007532,-0.5313
1775194273.589,2.4,0.007534,-0.797
1775194276.084,4.9,0.00753,-0.2657
1775194277.906,6.8,0.007529,-0.1328
1775194279.238,8.1,0.007536,-1.0627
1775194280.596,9.5,0.007534,-0.797
1775194283.335,12.2,0.007535,-0.9299
1775194285.071,13.9,0.00753,-0.2657
1775194286.723,15.6,0.007532,-0.5313
1775194287.854,16.7,0.007534,-0.797
1775194289.438,18.3,0.007533,-0.6642
1775194292.335,21.2,0.007532,-0.5313
1775194295.162,24.0,0.00753,-0.2657
1775194298.566,27.4,0.007536,-1.0627
1775194300.837,29.7,0.007538,-1.3284
1775194305.835,34.7,0.007544,-2.1254
1775194307.795,36.7,0.007548,-2.6567
1775194308.93,37.8,0.007548,-2.6567
1775194311.364,40.2,0.007548,-2.6567
1775194315.001,43.9,0.007544,-2.1254
1775194317.182,46.0,0.007545,-2.2582
1775194319.545,48.4,0.007544,-2.1254
1775194320.671,49.5,0.007549,-2.7896
1775194323.083,51.9,0.007553,-3.3209
1775194324.917,53.8,0.00755,-2.9224
1775194327.932,56.8,0.007551,-3.0553
1775194329.533,58.4,0.007549,-2.7896
1775194333.16,62.0,0.00755,-2.9224
1775194334.283,63.1,0.007552,-3.1881
1775194335.712,64.6,0.00756,-4.2508
1775194336.772,65.6,0.007563,-4.6493
1775194338.655,67.5,0.007562,-4.5165
1775194340.091,69.0,0.007558,-3.9851
1775194341.643,70.5,0.007555,-3.5866
1775194342.786,71.6,0.00755,-2.9224
1775194343.92,72.8,0.00755,-2.9224
1775194345.106,74.0,0.00755,-2.9224
1775194346.251,75.1,0.007543,-1.9926
1775194347.803,76.7,0.00754,-1.594
1775194348.881,77.7,0.007536,-1.0627
1775194351.52,80.4,0.007535,-0.9299
1775194352.521,81.4,0.007533,-0.6642
1775194355.152,84.0,0.007529,-0.1328
1775194356.169,85.0,0.007537,-1.1955
1775194359.34,88.2,0.007538,-1.3284
1775194363.319,92.2,0.007543,-1.9926
1775194365.88,94.7,0.007542,-1.8597
1775194369.606,98.5,0.007542,-1.8597
1775194370.756,99.6,0.007541,-1.7269
1775194373.573,102.4,0.007544,-2.1254
1775194377.654,106.5,0.007545,-2.2582
1775194380.742,109.6,0.007545,-2.2582
1775194382.975,111.8,0.00755,-2.9224
1775194384.037,112.9,0.00755,-2.9224
1775194385.371,114.2,0.00755,-2.9224
1775194386.501,115.4,0.007553,-3.3209
1775194398.113,127.0,0.007554,-3.4538
1775194407.486,136.3,0.007556,-3.7194
1775194409.758,138.6,0.007557,-3.8523
1775194410.926,139.8,0.007556,-3.7194
1775194411.935,140.8,0.007555,-3.5866
1775194414.723,143.6,0.007559,-4.118
1775194417.515,146.4,0.007562,-4.5165
1775194419.422,148.3,0.00756,-4.2508
1775194421.787,150.6,0.007564,-4.7821
1775194423.273,152.1,0.007563,-4.6493
1775194425.925,154.8,0.007567,-5.1807
1775194441.657,170.5,0.007568,-5.3135
1775194444.704,173.6,0.00757,-5.5792
1775194449.23,178.1,0.00757,-5.5792
1775194460.693,189.6,0.00757,-5.5792
1775194462.901,191.8,0.007576,-6.3762
1775194470.759,199.6,0.007576,-6.3762
1775194471.919,200.8,0.007576,-6.3762
1775194473.693,202.6,0.007575,-6.2434
1775194476.61,205.5,0.007572,-5.8448
1775194478.197,207.1,0.007568,-5.3135
1775194481.958,210.8,0.007572,-5.8448
1775194485.229,214.1,0.007571,-5.712
1775194489.901,218.8,0.007571,-5.712
1775194494.435,223.3,0.00757,-5.5792
1775194500.136,229.0,0.007572,-5.8448
1775194502.441,231.3,0.007572,-5.8448
1775194503.447,232.3,0.007571,-5.712
1775194505.273,234.1,0.007566,-5.0478
1775194509.232,238.1,0.007561,-4.3836
1775194510.327,239.2,0.007556,-3.7194
