# symbol=DUSDT,side=SHORT,entry_price=0.007568,exit_price=0.007645,exit_reason=dynamic_vol_stop,sl_price=0.007658816000000001,tp_price=0.00745448,leverage=10
ts,seconds,price,ret_margin_pct
1775196387.688,0.0,0.007568,0.0
1775196392.147,4.5,0.007568,0.0
1775196394.005,6.3,0.00757,-0.2643
1775196397.359,9.7,0.00757,-0.2643
1775196401.131,13.4,0.007569,-0.1321
1775196404.005,16.3,0.007569,-0.1321
1775196406.238,18.6,0.007568,0.0
1775196409.409,21.7,0.007568,0.0
1775196410.923,23.2,0.007568,0.0
1775196412.748,25.1,0.007568,0.0
1775196414.985,27.3,0.007573,-0.6607
1775196416.794,29.1,0.007574,-0.7928
1775196418.6,30.9,0.007575,-0.9249
1775196420.755,33.1,0.007578,-1.3214
1775196423.192,35.5,0.007582,-1.8499
1775196424.197,36.5,0.007586,-2.3784
1775196425.289,37.6,0.007588,-2.6427
1775196432.321,44.6,0.007588,-2.6427
1775196437.441,49.8,0.007588,-2.6427
1775196440.41,52.7,0.00759,-2.907
1775196441.997,54.3,0.007594,-3.4355
1775196443.482,55.8,0.007594,-3.4355
1775196445.34,57.7,0.007596,-3.6998
1775196446.469,58.8,0.007596,-3.6998
1775196449.915,62.2,0.007598,-3.9641
1775196451.332,63.6,0.007598,-3.9641
1775196455.837,68.1,0.0076,-4.2283
1775196457.589,69.9,0.0076,-4.2283
1775196458.822,71.1,0.007601,-4.3605
1775196464.1,76.4,0.007601,-4.3605
1775196466.292,78.6,0.007586,-2.3784
1775196469.731,82.0,0.007588,-2.6427
1775196473.387,85.7,0.007587,-2.5106
1775196476.218,88.5,0.00759,-2.907
1775196481.466,93.8,0.007592,-3.1712
1775196484.772,97.1,0.007591,-3.0391
1775196487.454,99.8,0.007588,-2.6427
1775196488.468,100.8,0.007584,-2.1142
1775196489.774,102.1,0.007584,-2.1142
1775196491.635,103.9,0.007584,-2.1142
1775196496.922,109.2,0.007582,-1.8499
1775196501.286,113.6,0.007569,-0.1321
1775196502.441,114.8,0.007568,0.0
1775196504.367,116.7,0.007568,0.0
1775196505.418,117.7,0.007562,0.7928
1775196507.009,119.3,0.007563,0.6607
1775196508.932,121.2,0.007562,0.7928
1775196511.406,123.7,0.007564,0.5285
1775196512.441,124.8,0.007574,-0.7928
1775196513.482,125.8,0.007577,-1.1892
1775196523.769,136.1,0.007575,-0.9249
1775196525.572,137.9,0.007575,-0.9249
1775196530.359,142.7,0.007573,-0.6607
1775196538.291,150.6,0.007568,0.0
1775196539.291,151.6,0.007566,0.2643
1775196540.537,152.8,0.007564,0.5285
1775196541.668,154.0,0.007565,0.3964
1775196543.481,155.8,0.007565,0.3964
1775196544.989,157.3,0.007566,0.2643
1775196548.358,160.7,0.007565,0.3964
1775196556.452,168.8,0.007565,0.3964
1775196558.513,170.8,0.007565,0.3964
1775196560.449,172.8,0.007565,0.3964
1775196562.915,175.2,0.007567,0.1321
1775196565.437,177.7,0.007565,0.3964
1775196566.486,178.8,0.007565,0.3964
1775196567.9,180.2,0.007565,0.3964
1775196571.852,184.2,0.007566,0.2643
1775196573.491,185.8,0.007566,0.2643
1775196577.464,189.8,0.007565,0.3964
1775196579.401,191.7,0.007565,0.3964
1775196581.587,193.9,0.007568,0.0
1775196589.9,202.2,0.007568,0.0
1775196599.227,211.5,0.007569,-0.1321
1775196600.237,212.5,0.007573,-0.6607
1775196602.742,215.1,0.007578,-1.3214
1775196607.601,219.9,0.007582,-1.8499
1775196610.855,223.2,0.007584,-2.1142
1775196612.386,224.7,0.007588,-2.6427
1775196623.057,235.4,0.007585,-2.2463
1775196626.065,238.4,0.007588,-2.6427
1775196628.866,241.2,0.007588,-2.6427
1775196629.917,242.2,0.007592,-3.1712
1775196630.972,243.3,0.007592,-3.1712
1775196633.388,245.7,0.007594,-3.4355
1775196635.954,248.3,0.007596,-3.6998
1775196637.199,249.5,0.007595,-3.5677
1775196643.588,255.9,0.007596,-3.6998
1775196644.888,257.2,0.007594,-3.4355
1775196647.224,259.5,0.007595,-3.5677
1775196657.561,269.9,0.007593,-3.3034
1775196660.598,272.9,0.007591,-3.0391
1775196661.811,274.1,0.007605,-4.889
1775196663.268,275.6,0.007598,-3.9641
1775196664.508,276.8,0.007595,-3.5677
1775196666.972,279.3,0.007598,-3.9641
1775196668.126,280.4,0.007598,-3.9641
1775196674.827,287.1,0.007597,-3.8319
1775196675.905,288.2,0.007597,-3.8319
1775196685.192,297.5,0.007596,-3.6998
1775196686.282,298.6,0.007596,-3.6998
1775196687.433,299.7,0.00759,-2.907
1775196688.466,300.8,0.007595,-3.5677
1775196690.153,302.5,0.007593,-3.3034
1775196691.473,303.8,0.007592,-3.1712
1775196693.2,305.5,0.007589,-2.7748
1775196698.839,311.2,0.007583,-1.982
1775196702.107,314.4,0.007588,-2.6427
1775196705.664,318.0,0.007588,-2.6427
1775196707.003,319.3,0.007588,-2.6427
1775196715.584,327.9,0.007584,-2.1142
1775196717.928,330.2,0.007585,-2.2463
1775196719.534,331.8,0.007585,-2.2463
1775196720.972,333.3,0.007594,-3.4355
1775196722.155,334.5,0.007595,-3.5677
1775196724.481,336.8,0.007595,-3.5677
1775196726.312,338.6,0.007596,-3.6998
1775196727.338,339.7,0.007586,-2.3784
1775196739.507,351.8,0.00759,-2.907
1775196740.813,353.1,0.00759,-2.907
1775196742.72,355.0,0.00759,-2.907
