# symbol=EULUSDT,side=SHORT,entry_price=0.8858,exit_price=0.8856,exit_reason=lifecycle_reversal,sl_price=0.8875716,tp_price=0.872513,leverage=10
ts,seconds,price,ret_margin_pct
1775185202.07,0.0,0.8858,0.0
1775185203.074,1.0,0.885,0.9031
1775185204.156,2.1,0.8853,0.5645
1775185205.234,3.2,0.8852,0.6774
1775185210.588,8.5,0.8852,0.6774
1775185213.892,11.8,0.8854,0.4516
1775185215.044,13.0,0.885,0.9031
1775185217.227,15.2,0.8858,0.0
1775185218.335,16.3,0.887,-1.3547
1775185222.668,20.6,0.8866,-0.9031
1775185227.662,25.6,0.886,-0.2258
1775185231.213,29.1,0.886,-0.2258
1775185236.783,34.7,0.8863,-0.5645
1775185237.93,35.9,0.8865,-0.7902
1775185242.648,40.6,0.8868,-1.1289
1775185243.836,41.8,0.8867,-1.016
1775185246.973,44.9,0.8867,-1.016
1775185261.235,59.2,0.8864,-0.6774
1775185262.995,60.9,0.8853,0.5645
1775185266.773,64.7,0.8859,-0.1129
1775185268.938,66.9,0.8856,0.2258
1775185270.044,68.0,0.8856,0.2258
1775185271.198,69.1,0.8859,-0.1129
1775185276.531,74.5,0.8859,-0.1129
1775185281.188,79.1,0.8855,0.3387
1775185282.662,80.6,0.8855,0.3387
1775185288.525,86.5,0.8849,1.016
1775185289.574,87.5,0.885,0.9031
1775185293.6,91.5,0.8849,1.016
1775185314.945,112.9,0.8848,1.1289
1775185322.942,120.9,0.8846,1.3547
1775185326.963,124.9,0.8853,0.5645
1775185331.616,129.5,0.8862,-0.4516
1775185332.876,130.8,0.8858,0.0
1775185341.844,139.8,0.8856,0.2258
1775185342.872,140.8,0.8857,0.1129
1775185347.502,145.4,0.8855,0.3387
1775185348.644,146.6,0.8852,0.6774
1775185359.144,157.1,0.885,0.9031
1775185367.132,165.1,0.8852,0.6774
1775185374.497,172.4,0.8853,0.5645
1775185375.831,173.8,0.8854,0.4516
1775185383.778,181.7,0.8849,1.016
1775185413.944,211.9,0.8849,1.016
1775185415.442,213.4,0.885,0.9031
1775185418.467,216.4,0.8852,0.6774
1775185423.59,221.5,0.8852,0.6774
1775185436.39,234.3,0.8855,0.3387
1775185467.903,265.8,0.8859,-0.1129
1775185482.253,280.2,0.8862,-0.4516
1775185487.652,285.6,0.8856,0.2258
1775185500.293,298.2,0.8856,0.2258
