# symbol=FARTCOINUSDT,side=SHORT,entry_price=0.1678,exit_price=0.1685,exit_reason=lifecycle_reversal,sl_price=0.1698136,tp_price=0.165283,leverage=10
ts,seconds,price,ret_margin_pct
1775204770.9,0.0,0.1678,0.0
1775204773.096,2.2,0.1678,0.0
1775204780.785,9.9,0.1678,0.0
1775204782.299,11.4,0.1678,0.0
1775204792.448,21.5,0.1678,0.0
1775204797.389,26.5,0.1678,0.0
1775204801.357,30.5,0.1677,0.5959
1775204805.748,34.8,0.1677,0.5959
1775204807.171,36.3,0.1677,0.5959
1775204808.293,37.4,0.1677,0.5959
1775204809.869,39.0,0.1677,0.5959
1775204811.955,41.1,0.1678,0.0
1775204814.649,43.7,0.1678,0.0
1775204818.719,47.8,0.1678,0.0
1775204821.283,50.4,0.1678,0.0
1775204822.52,51.6,0.1679,-0.5959
1775204824.106,53.2,0.1678,0.0
1775204826.385,55.5,0.1678,0.0
1775204829.186,58.3,0.1677,0.5959
1775204831.21,60.3,0.1678,0.0
1775204834.253,63.4,0.1677,0.5959
1775204836.984,66.1,0.1675,1.7878
1775204838.107,67.2,0.1676,1.1919
1775204839.494,68.6,0.1677,0.5959
1775204843.782,72.9,0.1677,0.5959
1775204849.432,78.5,0.1677,0.5959
1775204853.968,83.1,0.1676,1.1919
1775204856.738,85.8,0.1675,1.7878
1775204859.295,88.4,0.1675,1.7878
1775204862.665,91.8,0.1674,2.3838
1775204864.167,93.3,0.1673,2.9797
1775204870.212,99.3,0.1674,2.3838
1775204872.528,101.6,0.1674,2.3838
1775204880.056,109.2,0.1672,3.5757
1775204881.187,110.3,0.1673,2.9797
1775204882.256,111.4,0.1673,2.9797
1775204883.537,112.6,0.1675,1.7878
1775204888.424,117.5,0.1675,1.7878
1775204890.177,119.3,0.1675,1.7878
1775204893.334,122.4,0.1675,1.7878
1775204895.756,124.9,0.1674,2.3838
1775204899.728,128.8,0.1674,2.3838
1775204909.11,138.2,0.1674,2.3838
1775204916.404,145.5,0.1674,2.3838
1775204918.165,147.3,0.1673,2.9797
1775204920.808,149.9,0.1673,2.9797
1775204925.731,154.8,0.1674,2.3838
1775204929.191,158.3,0.1674,2.3838
1775204933.553,162.7,0.1673,2.9797
1775204935.457,164.6,0.1674,2.3838
1775204938.352,167.5,0.1673,2.9797
1775204941.116,170.2,0.1674,2.3838
1775204942.314,171.4,0.1675,1.7878
1775204945.223,174.3,0.1674,2.3838
1775204950.26,179.4,0.1674,2.3838
1775204951.686,180.8,0.1674,2.3838
1775204953.289,182.4,0.1673,2.9797
