# symbol=FIDAUSDT,side=LONG,entry_price=0.01871,exit_price=0.01881,exit_reason=trailing_expansion,sl_price=0.018485480000000002,tp_price=0.018990649999999998,leverage=10
ts,seconds,price,ret_margin_pct
1775193691.636,0.0,0.01871,0.0
1775193692.685,1.0,0.01865,-3.2068
1775193694.169,2.5,0.0186,-5.8792
1775193695.456,3.8,0.01863,-4.2758
1775193696.92,5.3,0.01864,-3.7413
1775193698.049,6.4,0.01865,-3.2068
1775193701.638,10.0,0.01869,-1.0689
1775193702.777,11.1,0.01869,-1.0689
1775193703.997,12.4,0.01871,0.0
1775193705.375,13.7,0.0187,-0.5345
1775193706.394,14.8,0.0187,-0.5345
1775193708.547,16.9,0.01866,-2.6724
1775193710.919,19.3,0.01866,-2.6724
1775193715.111,23.5,0.01866,-2.6724
1775193716.399,24.8,0.01868,-1.6034
1775193717.658,26.0,0.01866,-2.6724
1775193719.383,27.7,0.01868,-1.6034
1775193720.384,28.7,0.0187,-0.5345
1775193721.41,29.8,0.01865,-3.2068
1775193723.253,31.6,0.01866,-2.6724
1775193725.002,33.4,0.01866,-2.6724
1775193726.094,34.5,0.01871,0.0
1775193727.172,35.5,0.0187,-0.5345
1775193728.205,36.6,0.01869,-1.0689
1775193729.346,37.7,0.01869,-1.0689
1775193734.142,42.5,0.01867,-2.1379
1775193735.917,44.3,0.01865,-3.2068
1775193739.29,47.7,0.01868,-1.6034
1775193741.922,50.3,0.0187,-0.5345
1775193743.043,51.4,0.01875,2.1379
1775193744.462,52.8,0.01877,3.2068
1775193745.472,53.8,0.01877,3.2068
1775193747.149,55.5,0.01877,3.2068
1775193748.252,56.6,0.01882,5.8792
1775193750.25,58.6,0.01882,5.8792
1775193752.893,61.3,0.01882,5.8792
1775193753.932,62.3,0.01881,5.3447
1775193754.981,63.3,0.01876,2.6724
1775193756.093,64.5,0.01875,2.1379
1775193758.202,66.6,0.0188,4.8103
1775193759.418,67.8,0.01879,4.2758
1775193760.45,68.8,0.0188,4.8103
1775193762.402,70.8,0.01881,5.3447
1775193763.758,72.1,0.01877,3.2068
1775193764.838,73.2,0.01879,4.2758
1775193767.36,75.7,0.01879,4.2758
1775193768.52,76.9,0.01879,4.2758
1775193769.548,77.9,0.01876,2.6724
1775193770.699,79.1,0.01873,1.0689
1775193772.294,80.7,0.01872,0.5345
1775193774.61,83.0,0.01876,2.6724
1775193775.735,84.1,0.01875,2.1379
1775193780.125,88.5,0.01876,2.6724
1775193781.143,89.5,0.01874,1.6034
1775193782.279,90.6,0.01875,2.1379
1775193783.291,91.7,0.01875,2.1379
1775193785.245,93.6,0.01878,3.7413
1775193786.291,94.7,0.01879,4.2758
1775193787.296,95.7,0.01879,4.2758
1775193788.895,97.3,0.01878,3.7413
1775193790.277,98.6,0.01878,3.7413
1775193791.742,100.1,0.01876,2.6724
1775193795.906,104.3,0.01876,2.6724
1775193797.298,105.7,0.01876,2.6724
1775193798.679,107.0,0.01875,2.1379
1775193800.271,108.6,0.01875,2.1379
1775193802.591,111.0,0.0188,4.8103
1775193804.099,112.5,0.0188,4.8103
1775193806.285,114.6,0.0188,4.8103
1775193810.563,118.9,0.01879,4.2758
1775193811.845,120.2,0.01881,5.3447
