# symbol=FIGHTUSDT,side=LONG,entry_price=0.002758,exit_price=0.002753,exit_reason=lifecycle_reversal,sl_price=0.002724904,tp_price=0.00279937,leverage=10
ts,seconds,price,ret_margin_pct
1775195568.133,0.0,0.002758,0.0
1775195575.896,7.8,0.002756,-0.7252
1775195577.594,9.5,0.002759,0.3626
1775195585.984,17.9,0.002757,-0.3626
1775195587.202,19.1,0.002757,-0.3626
1775195612.328,44.2,0.002757,-0.3626
1775195622.589,54.5,0.002758,0.0
1775195624.508,56.4,0.002759,0.3626
1775195627.943,59.8,0.002757,-0.3626
1775195637.973,69.8,0.002756,-0.7252
1775195647.042,78.9,0.002756,-0.7252
1775195656.301,88.2,0.002756,-0.7252
1775195657.6,89.5,0.002758,0.0
1775195668.34,100.2,0.00276,0.7252
1775195700.481,132.3,0.002757,-0.3626
1775195707.6,139.5,0.002758,0.0
1775195726.722,158.6,0.002758,0.0
1775195733.068,164.9,0.002757,-0.3626
1775195741.121,173.0,0.002755,-1.0877
1775195742.589,174.5,0.002757,-0.3626
1775195751.781,183.6,0.002756,-0.7252
1775195762.191,194.1,0.002757,-0.3626
1775195763.689,195.6,0.002758,0.0
1775195780.776,212.6,0.002753,-1.8129
1775195785.242,217.1,0.002753,-1.8129
