# symbol=GIGGLEUSDT,side=LONG,entry_price=22.26,exit_price=22.18,exit_reason=strategy_stop,sl_price=21.8148,tp_price=22.593899999999998,leverage=10
ts,seconds,price,ret_margin_pct
1775188832.245,0.0,22.26,0.0
1775188833.315,1.1,22.25,-0.4492
1775188834.608,2.4,22.25,-0.4492
1775188835.739,3.5,22.25,-0.4492
1775188837.215,5.0,22.25,-0.4492
1775188843.803,11.6,22.25,-0.4492
1775188845.892,13.6,22.24,-0.8985
1775188847.072,14.8,22.24,-0.8985
1775188848.444,16.2,22.17,-4.0431
1775188850.38,18.1,22.18,-3.5939
1775188855.047,22.8,22.16,-4.4924
1775188857.032,24.8,22.16,-4.4924
1775188858.874,26.6,22.17,-4.0431
1775188860.319,28.1,22.16,-4.4924
1775188864.423,32.2,22.17,-4.0431
1775188868.285,36.0,22.18,-3.5939
1775188869.116,36.9,22.18,-3.5939
