# symbol=GUAUSDT,side=LONG,entry_price=0.52462,exit_price=0.52134,exit_reason=dynamic_vol_stop,sl_price=0.5183245599999999,tp_price=0.5324892999999999,leverage=10
ts,seconds,price,ret_margin_pct
1775205005.414,0.0,0.52462,0.0
1775205007.658,2.2,0.52492,0.5718
1775205008.95,3.5,0.52492,0.5718
1775205010.064,4.7,0.52492,0.5718
1775205011.211,5.8,0.52492,0.5718
1775205012.393,7.0,0.52492,0.5718
1775205013.664,8.2,0.52492,0.5718
1775205014.846,9.4,0.52492,0.5718
1775205016.187,10.8,0.52469,0.1334
1775205017.413,12.0,0.52479,0.324
1775205018.61,13.2,0.52479,0.324
1775205019.798,14.4,0.52492,0.5718
1775205021.746,16.3,0.52445,-0.324
1775205023.333,17.9,0.52492,0.5718
1775205024.457,19.0,0.52492,0.5718
1775205025.543,20.1,0.52444,-0.3431
1775205026.669,21.3,0.52464,0.0381
1775205027.783,22.4,0.52464,0.0381
1775205029.025,23.6,0.52444,-0.3431
1775205030.148,24.7,0.52316,-2.783
1775205032.095,26.7,0.52366,-1.8299
1775205033.554,28.1,0.52364,-1.868
1775205034.791,29.4,0.523,-3.0879
1775205036.049,30.6,0.52333,-2.4589
1775205037.423,32.0,0.52333,-2.4589
1775205038.453,33.0,0.52328,-2.5542
1775205039.646,34.2,0.52328,-2.5542
1775205040.809,35.4,0.52327,-2.5733
1775205041.832,36.4,0.52261,-3.8313
1775205043.052,37.6,0.52323,-2.6495
1775205044.148,38.7,0.52319,-2.7258
1775205045.578,40.2,0.5232,-2.7067
1775205046.681,41.3,0.52231,-4.4032
1775205047.84,42.4,0.52287,-3.3357
1775205048.859,43.4,0.5221,-4.8035
1775205049.965,44.6,0.5219,-5.1847
1775205050.996,45.6,0.52172,-5.5278
1775205052.153,46.7,0.52169,-5.585
1775205053.386,48.0,0.52165,-5.6612
1775205054.738,49.3,0.52162,-5.7184
1775205055.766,50.4,0.52083,-7.2243
1775205056.83,51.4,0.52147,-6.0043
1775205058.014,52.6,0.52147,-6.0043
1775205060.811,55.4,0.52147,-6.0043
1775205062.115,56.7,0.52126,-6.4046
1775205063.244,57.8,0.52184,-5.2991
1775205064.301,58.9,0.52184,-5.2991
1775205066.096,60.7,0.52184,-5.2991
1775205067.794,62.4,0.52184,-5.2991
1775205069.145,63.7,0.52195,-5.0894
1775205070.639,65.2,0.52195,-5.0894
1775205071.862,66.4,0.52184,-5.2991
1775205074.357,68.9,0.52184,-5.2991
1775205075.734,70.3,0.52184,-5.2991
1775205076.758,71.3,0.52184,-5.2991
1775205077.977,72.6,0.52184,-5.2991
1775205078.884,73.5,0.52134,-6.2521
