# symbol=HAEDALUSDT,side=LONG,entry_price=0.02866,exit_price=0.02868,exit_reason=strategy_stop,sl_price=0.028488040000000003,tp_price=0.0290899,leverage=10
ts,seconds,price,ret_margin_pct
1775188142.159,0.0,0.02866,0.0
1775188145.453,3.3,0.02866,0.0
1775188147.846,5.7,0.02866,0.0
1775188152.211,10.1,0.02866,0.0
1775188156.54,14.4,0.02866,0.0
1775188161.182,19.0,0.02866,0.0
1775188170.593,28.4,0.02873,2.4424
1775188175.442,33.3,0.02871,1.7446
1775188178.352,36.2,0.02873,2.4424
1775188187.389,45.2,0.02873,2.4424
1775188195.442,53.3,0.02872,2.0935
1775188200.477,58.3,0.02871,1.7446
1775188204.185,62.0,0.02871,1.7446
1775188216.277,74.1,0.02868,0.6978
1775188219.565,77.4,0.02871,1.7446
1775188221.38,79.2,0.02871,1.7446
1775188233.173,91.0,0.02871,1.7446
1775188235.547,93.4,0.0287,1.3957
1775188257.006,114.8,0.02873,2.4424
1775188260.768,118.6,0.0287,1.3957
1775188264.708,122.5,0.02868,0.6978
