# symbol=HAEDALUSDT,side=SHORT,entry_price=0.02934,exit_price=0.0294,exit_reason=lifecycle_reversal,sl_price=0.029692080000000003,tp_price=0.028899900000000003,leverage=10
ts,seconds,price,ret_margin_pct
1775205196.294,0.0,0.02934,0.0
1775205212.428,16.1,0.02934,0.0
1775205213.563,17.3,0.02935,-0.3408
1775205217.211,20.9,0.02934,0.0
1775205225.984,29.7,0.02937,-1.0225
1775205230.05,33.8,0.02938,-1.3633
1775205236.993,40.7,0.02938,-1.3633
1775205240.672,44.4,0.02936,-0.6817
1775205243.703,47.4,0.02938,-1.3633
1775205247.6,51.3,0.02938,-1.3633
1775205248.623,52.3,0.02938,-1.3633
1775205257.319,61.0,0.02939,-1.7042
1775205260.396,64.1,0.02938,-1.3633
1775205262.717,66.4,0.0294,-2.045
1775205263.883,67.6,0.0294,-2.045
1775205269.234,72.9,0.0294,-2.045
1775205280.716,84.4,0.0294,-2.045
1775205297.727,101.4,0.0294,-2.045
1775205300.738,104.4,0.02938,-1.3633
1775205302.88,106.6,0.02939,-1.7042
1775205332.728,136.4,0.0294,-2.045
1775205333.973,137.7,0.0294,-2.045
1775205337.723,141.4,0.0294,-2.045
1775205360.943,164.6,0.02939,-1.7042
1775205366.488,170.2,0.0294,-2.045
