# symbol=HEIUSDT,side=LONG,entry_price=0.08323,exit_price=0.08348,exit_reason=strategy_stop,sl_price=0.08223124,tp_price=0.08447845,leverage=10
ts,seconds,price,ret_margin_pct
1775205383.943,0.0,0.08323,0.0
1775205388.905,5.0,0.08326,0.3604
1775205390.564,6.6,0.08329,0.7209
1775205391.828,7.9,0.08345,2.6433
1775205397.973,14.0,0.08331,0.9612
1775205399.718,15.8,0.08336,1.5619
1775205401.483,17.5,0.08336,1.5619
1775205402.985,19.0,0.08329,0.7209
1775205404.747,20.8,0.08336,1.5619
1775205409.243,25.3,0.08336,1.5619
1775205411.528,27.6,0.08336,1.5619
1775205415.173,31.2,0.08336,1.5619
1775205419.485,35.5,0.08336,1.5619
1775205420.536,36.6,0.08326,0.3604
1775205428.719,44.8,0.08343,2.403
1775205431.947,48.0,0.08343,2.403
1775205434.303,50.4,0.08343,2.403
1775205437.873,53.9,0.08343,2.403
1775205438.875,54.9,0.08343,2.403
1775205443.873,59.9,0.08342,2.2828
1775205445.965,62.0,0.08342,2.2828
1775205448.338,64.4,0.08334,1.3216
1775205449.482,65.5,0.08342,2.2828
1775205451.018,67.1,0.08342,2.2828
1775205452.813,68.9,0.08334,1.3216
1775205457.443,73.5,0.08321,-0.2403
1775205458.639,74.7,0.08306,-2.0425
1775205461.066,77.1,0.08311,-1.4418
1775205464.22,80.3,0.08311,-1.4418
1775205467.853,83.9,0.08311,-1.4418
1775205476.721,92.8,0.08311,-1.4418
1775205478.009,94.1,0.0832,-0.3604
1775205481.009,97.1,0.08331,0.9612
1775205492.931,109.0,0.08331,0.9612
1775205494.326,110.4,0.08345,2.6433
1775205495.541,111.6,0.08357,4.0851
1775205496.671,112.7,0.08359,4.3254
1775205500.63,116.7,0.08361,4.5657
1775205501.635,117.7,0.08362,4.6858
1775205513.562,129.6,0.08353,3.6045
1775205517.895,134.0,0.08333,1.2015
1775205529.583,145.6,0.0834,2.0425
1775205532.661,148.7,0.08348,3.0037
1775205533.616,149.7,0.08348,3.0037
