# symbol=HEMIUSDT,side=LONG,entry_price=0.006939,exit_price=0.006938,exit_reason=strategy_stop,sl_price=0.006925122,tp_price=0.007043084999999999,leverage=10
ts,seconds,price,ret_margin_pct
1775185576.418,0.0,0.006939,0.0
1775185581.735,5.3,0.006941,0.2882
1775185582.831,6.4,0.006942,0.4323
1775185583.969,7.6,0.00694,0.1441
1775185587.353,10.9,0.006941,0.2882
1775185589.646,13.2,0.006941,0.2882
1775185590.681,14.3,0.00694,0.1441
1775185591.985,15.6,0.006939,0.0
1775185593.161,16.7,0.006938,-0.1441
1775185599.007,22.6,0.006938,-0.1441
1775185600.833,24.4,0.006938,-0.1441
1775185606.51,30.1,0.006938,-0.1441
