# symbol=HFTUSDT,side=LONG,entry_price=0.01483,exit_price=0.01488,exit_reason=strategy_stop,sl_price=0.014741019999999999,tp_price=0.015052449999999998,leverage=10
ts,seconds,price,ret_margin_pct
1775188243.665,0.0,0.01483,0.0
1775188246.662,3.0,0.01482,-0.6743
1775188249.119,5.5,0.01485,1.3486
1775188250.737,7.1,0.01482,-0.6743
1775188251.803,8.1,0.01485,1.3486
1775188255.487,11.8,0.01485,1.3486
1775188256.526,12.9,0.0149,4.7202
1775188257.544,13.9,0.01487,2.6972
1775188258.984,15.3,0.01487,2.6972
1775188260.268,16.6,0.01487,2.6972
1775188261.292,17.6,0.01488,3.3715
1775188262.544,18.9,0.01487,2.6972
1775188265.399,21.7,0.01488,3.3715
1775188266.271,22.6,0.01488,3.3715
