# symbol=INITUSDT,side=LONG,entry_price=0.08214,exit_price=0.08197,exit_reason=vol_stop,sl_price=0.08197572,tp_price=0.08337209999999999,leverage=10
ts,seconds,price,ret_margin_pct
1775185262.993,0.0,0.08214,0.0
1775185264.243,1.3,0.08205,-1.0957
1775185268.325,5.3,0.08209,-0.6087
1775185270.145,7.2,0.08209,-0.6087
1775185271.802,8.8,0.08214,0.0
1775185276.553,13.6,0.08211,-0.3652
1775185280.492,17.5,0.08211,-0.3652
1775185281.693,18.7,0.08212,-0.2435
1775185285.103,22.1,0.08213,-0.1217
1775185288.243,25.3,0.08213,-0.1217
1775185289.819,26.8,0.08211,-0.3652
1775185290.969,28.0,0.08212,-0.2435
1775185292.127,29.1,0.08209,-0.6087
1775185293.58,30.6,0.08212,-0.2435
1775185295.356,32.4,0.08213,-0.1217
1775185296.59,33.6,0.08213,-0.1217
1775185300.572,37.6,0.08212,-0.2435
1775185301.891,38.9,0.08214,0.0
1775185306.141,43.1,0.08213,-0.1217
1775185307.274,44.3,0.08208,-0.7305
1775185308.805,45.8,0.08204,-1.2174
1775185310.908,47.9,0.08204,-1.2174
1775185313.832,50.8,0.08204,-1.2174
1775185315.039,52.0,0.08203,-1.3392
1775185318.86,55.9,0.08204,-1.2174
1775185319.879,56.9,0.08213,-0.1217
1775185321.012,58.0,0.08211,-0.3652
1775185322.429,59.4,0.08212,-0.2435
1775185325.525,62.5,0.08211,-0.3652
1775185327.299,64.3,0.0821,-0.487
1775185329.824,66.8,0.08211,-0.3652
1775185331.593,68.6,0.08219,0.6087
1775185333.501,70.5,0.08217,0.3652
1775185334.845,71.9,0.08222,0.9739
1775185336.453,73.5,0.0822,0.7305
1775185341.288,78.3,0.0822,0.7305
1775185344.244,81.3,0.08219,0.6087
1775185348.369,85.4,0.08222,0.9739
1775185350.705,87.7,0.08221,0.8522
1775185353.572,90.6,0.08217,0.3652
1775185358.659,95.7,0.08216,0.2435
1775185360.219,97.2,0.08214,0.0
1775185362.739,99.7,0.08213,-0.1217
1775185365.616,102.6,0.08212,-0.2435
1775185366.895,103.9,0.08212,-0.2435
1775185373.862,110.9,0.08214,0.0
1775185378.859,115.9,0.08207,-0.8522
1775185381.662,118.7,0.08207,-0.8522
1775185382.98,120.0,0.08206,-0.9739
1775185386.353,123.4,0.08201,-1.5827
1775185386.827,123.8,0.08197,-2.0696
