# symbol=INITUSDT,side=LONG,entry_price=0.08341,exit_price=0.08389,exit_reason=trailing_expansion,sl_price=0.08240908,tp_price=0.08466114999999999,leverage=10
ts,seconds,price,ret_margin_pct
1775193130.345,0.0,0.08341,0.0
1775193131.419,1.1,0.08345,0.4796
1775193132.879,2.5,0.08345,0.4796
1775193134.473,4.1,0.08343,0.2398
1775193139.56,9.2,0.08346,0.5994
1775193141.297,11.0,0.08349,0.9591
1775193150.768,20.4,0.08343,0.2398
1775193155.569,25.2,0.08345,0.4796
1775193161.549,31.2,0.08344,0.3597
1775193163.683,33.3,0.08344,0.3597
1775193177.282,46.9,0.08341,0.0
1775193178.36,48.0,0.08339,-0.2398
1775193180.677,50.3,0.08339,-0.2398
1775193182.601,52.3,0.0834,-0.1199
1775193184.058,53.7,0.0834,-0.1199
1775193189.8,59.5,0.08346,0.5994
1775193190.884,60.5,0.0835,1.079
1775193196.96,66.6,0.08346,0.5994
1775193204.501,74.2,0.08346,0.5994
1775193217.626,87.3,0.08349,0.9591
1775193220.163,89.8,0.08349,0.9591
1775193225.013,94.7,0.08349,0.9591
1775193227.491,97.1,0.0835,1.079
1775193228.778,98.4,0.08353,1.4387
1775193239.346,109.0,0.0835,1.079
1775193245.084,114.7,0.08348,0.8392
1775193255.576,125.2,0.08347,0.7193
1775193259.658,129.3,0.08348,0.8392
1775193260.851,130.5,0.08348,0.8392
1775193264.756,134.4,0.08349,0.9591
1775193304.297,174.0,0.08348,0.8392
1775193309.761,179.4,0.08347,0.7193
1775193316.503,186.2,0.08346,0.5994
1775193324.974,194.6,0.08346,0.5994
1775193327.197,196.9,0.08344,0.3597
1775193333.223,202.9,0.08342,0.1199
1775193339.444,209.1,0.08341,0.0
1775193357.499,227.2,0.08339,-0.2398
1775193362.222,231.9,0.08338,-0.3597
1775193363.687,233.3,0.0834,-0.1199
1775193367.825,237.5,0.0834,-0.1199
1775193373.854,243.5,0.08338,-0.3597
1775193374.95,244.6,0.08338,-0.3597
1775193376.165,245.8,0.08339,-0.2398
1775193377.715,247.4,0.08336,-0.5994
1775193382.109,251.8,0.08339,-0.2398
1775193388.777,258.4,0.08338,-0.3597
1775193393.141,262.8,0.08339,-0.2398
1775193395.728,265.4,0.08339,-0.2398
1775193401.418,271.1,0.08339,-0.2398
1775193402.424,272.1,0.08343,0.2398
1775193404.514,274.2,0.08345,0.4796
1775193407.127,276.8,0.08347,0.7193
1775193409.169,278.8,0.08347,0.7193
1775193410.22,279.9,0.08349,0.9591
1775193415.041,284.7,0.08349,0.9591
1775193417.678,287.3,0.08349,0.9591
1775193425.802,295.5,0.08349,0.9591
1775193427.304,297.0,0.08349,0.9591
1775193429.421,299.1,0.0835,1.079
1775193435.244,304.9,0.08349,0.9591
1775193436.332,306.0,0.08351,1.1989
1775193438.387,308.0,0.08351,1.1989
1775193447.156,316.8,0.08352,1.3188
1775193450.372,320.0,0.08352,1.3188
1775193451.392,321.0,0.08354,1.5586
1775193454.524,324.2,0.08352,1.3188
1775193455.778,325.4,0.08354,1.5586
1775193458.187,327.8,0.0835,1.079
1775193462.179,331.8,0.0835,1.079
1775193466.359,336.0,0.0835,1.079
1775193467.86,337.5,0.08354,1.5586
1775193470.772,340.4,0.08353,1.4387
1775193475.267,344.9,0.0835,1.079
1775193477.041,346.7,0.08351,1.1989
1775193479.811,349.5,0.08348,0.8392
1775193484.263,353.9,0.08348,0.8392
1775193485.319,355.0,0.08348,0.8392
1775193486.351,356.0,0.08346,0.5994
1775193489.436,359.1,0.08344,0.3597
1775193490.485,360.1,0.08341,0.0
1775193494.197,363.9,0.0834,-0.1199
1775193495.932,365.6,0.0834,-0.1199
1775193499.892,369.5,0.08342,0.1199
1775193501.347,371.0,0.08342,0.1199
1775193504.501,374.2,0.08345,0.4796
1775193508.329,378.0,0.08348,0.8392
1775193509.742,379.4,0.08353,1.4387
1775193513.594,383.2,0.08354,1.5586
1775193518.944,388.6,0.08354,1.5586
1775193526.08,395.7,0.08355,1.6785
1775193528.5,398.2,0.08358,2.0381
1775193535.257,404.9,0.08381,4.7956
1775193537.018,406.7,0.0839,5.8746
1775193537.512,407.2,0.08389,5.7547
