# symbol=IOTAUSDT,side=LONG,entry_price=0.0615,exit_price=0.0616,exit_reason=lifecycle_reversal,sl_price=0.060762,tp_price=0.06242249999999999,leverage=10
ts,seconds,price,ret_margin_pct
1775194508.04,0.0,0.0615,0.0
1775194520.311,12.3,0.0614,-1.626
1775194527.874,19.8,0.0615,0.0
1775194535.646,27.6,0.0615,0.0
1775194539.353,31.3,0.0616,1.626
1775194540.892,32.9,0.0616,1.626
1775194542.132,34.1,0.0616,1.626
1775194545.297,37.3,0.0616,1.626
1775194546.726,38.7,0.0616,1.626
1775194558.566,50.5,0.0616,1.626
1775194567.282,59.2,0.0615,0.0
1775194571.998,64.0,0.0616,1.626
1775194576.101,68.1,0.0617,3.252
1775194582.842,74.8,0.0616,1.626
1775194590.362,82.3,0.0616,1.626
1775194603.954,95.9,0.0616,1.626
1775194631.966,123.9,0.0615,0.0
1775194636.66,128.6,0.0616,1.626
1775194639.014,131.0,0.0615,0.0
1775194641.457,133.4,0.0615,0.0
1775194644.746,136.7,0.0615,0.0
1775194647.438,139.4,0.0615,0.0
1775194654.023,146.0,0.0616,1.626
1775194659.545,151.5,0.0616,1.626
1775194661.97,153.9,0.0616,1.626
1775194671.005,163.0,0.0616,1.626
1775194676.902,168.9,0.0615,0.0
1775194682.325,174.3,0.0615,0.0
1775194688.562,180.5,0.0616,1.626
1775194692.827,184.8,0.0616,1.626
1775194696.582,188.5,0.0615,0.0
1775194700.422,192.4,0.0615,0.0
1775194714.071,206.0,0.0616,1.626
1775194719.056,211.0,0.0617,3.252
1775194724.375,216.3,0.0616,1.626
1775194728.807,220.8,0.0617,3.252
1775194733.479,225.4,0.0617,3.252
1775194735.038,227.0,0.0617,3.252
1775194736.711,228.7,0.0617,3.252
1775194737.781,229.7,0.0617,3.252
1775194738.926,230.9,0.0617,3.252
1775194742.23,234.2,0.0617,3.252
1775194743.712,235.7,0.0616,1.626
1775194748.271,240.2,0.0616,1.626
1775194759.987,251.9,0.0617,3.252
1775194763.031,255.0,0.0616,1.626
1775194770.805,262.8,0.0617,3.252
1775194780.61,272.6,0.0616,1.626
1775194781.733,273.7,0.0616,1.626
1775194797.98,289.9,0.0616,1.626
1775194800.548,292.5,0.0616,1.626
1775194802.361,294.3,0.0616,1.626
1775194803.406,295.4,0.0616,1.626
1775194810.164,302.1,0.0615,0.0
1775194812.561,304.5,0.0616,1.626
1775194817.081,309.0,0.0616,1.626
