# symbol=IPUSDT,side=LONG,entry_price=0.5123,exit_price=0.5126,exit_reason=lifecycle_reversal,sl_price=0.5061524,tp_price=0.5199845,leverage=10
ts,seconds,price,ret_margin_pct
1775194758.667,0.0,0.5123,0.0
1775194760.07,1.4,0.5122,-0.1952
1775194761.406,2.7,0.5122,-0.1952
1775194762.796,4.1,0.5121,-0.3904
1775194763.896,5.2,0.5131,1.5616
1775194765.43,6.8,0.5129,1.1712
1775194766.433,7.8,0.5128,0.976
1775194767.507,8.8,0.5133,1.952
1775194768.637,10.0,0.5131,1.5616
1775194770.005,11.3,0.5131,1.5616
1775194772.611,13.9,0.513,1.3664
1775194773.729,15.1,0.5129,1.1712
1775194777.018,18.4,0.5127,0.7808
1775194778.399,19.7,0.5128,0.976
1775194785.44,26.8,0.5136,2.5376
1775194787.611,28.9,0.5138,2.928
1775194788.671,30.0,0.5137,2.7328
1775194790.492,31.8,0.5137,2.7328
1775194791.89,33.2,0.5136,2.5376
1775194793.513,34.8,0.5127,0.7808
1775194797.192,38.5,0.5127,0.7808
1775194799.777,41.1,0.5127,0.7808
1775194800.843,42.2,0.5125,0.3904
1775194802.114,43.4,0.5127,0.7808
1775194803.129,44.5,0.5137,2.7328
1775194804.471,45.8,0.5135,2.3424
1775194805.514,46.8,0.5133,1.952
1775194806.762,48.1,0.5132,1.7568
1775194807.952,49.3,0.5133,1.952
1775194809.008,50.3,0.5127,0.7808
1775194810.379,51.7,0.513,1.3664
1775194812.073,53.4,0.5129,1.1712
1775194813.748,55.1,0.5128,0.976
1775194816.247,57.6,0.5126,0.5856
1775194818.908,60.2,0.5124,0.1952
1775194821.589,62.9,0.5124,0.1952
1775194822.743,64.1,0.5132,1.7568
1775194824.966,66.3,0.5133,1.952
1775194826.581,67.9,0.5131,1.5616
1775194830.507,71.8,0.513,1.3664
1775194832.382,73.7,0.513,1.3664
1775194834.246,75.6,0.513,1.3664
1775194836.27,77.6,0.5128,0.976
1775194837.637,79.0,0.5127,0.7808
1775194842.473,83.8,0.5127,0.7808
1775194843.517,84.9,0.5126,0.5856
1775194847.266,88.6,0.5127,0.7808
1775194848.781,90.1,0.5122,-0.1952
1775194850.384,91.7,0.5121,-0.3904
1775194851.578,92.9,0.5122,-0.1952
1775194856.481,97.8,0.5122,-0.1952
1775194858.894,100.2,0.5124,0.1952
1775194861.799,103.1,0.5126,0.5856
1775194863.68,105.0,0.5125,0.3904
1775194864.748,106.1,0.5121,-0.3904
1775194867.246,108.6,0.5121,-0.3904
1775194869.502,110.8,0.5121,-0.3904
1775194872.621,114.0,0.512,-0.5856
1775194873.693,115.0,0.5123,0.0
1775194875.31,116.6,0.5123,0.0
1775194878.526,119.9,0.5123,0.0
1775194880.693,122.0,0.5123,0.0
1775194883.23,124.6,0.5123,0.0
1775194884.347,125.7,0.5121,-0.3904
1775194890.679,132.0,0.5121,-0.3904
1775194892.186,133.5,0.5121,-0.3904
1775194897.581,138.9,0.512,-0.5856
1775194899.077,140.4,0.512,-0.5856
1775194902.81,144.1,0.512,-0.5856
1775194906.805,148.1,0.512,-0.5856
1775194910.665,152.0,0.512,-0.5856
1775194912.2,153.5,0.5121,-0.3904
1775194913.366,154.7,0.5121,-0.3904
1775194917.976,159.3,0.5121,-0.3904
1775194919.86,161.2,0.512,-0.5856
1775194920.89,162.2,0.5124,0.1952
1775194922.081,163.4,0.5124,0.1952
1775194923.208,164.5,0.5124,0.1952
1775194924.249,165.6,0.5135,2.3424
1775194925.938,167.3,0.5136,2.5376
1775194926.977,168.3,0.5136,2.5376
1775194928.139,169.5,0.5134,2.1472
1775194929.225,170.6,0.5134,2.1472
1775194931.196,172.5,0.5134,2.1472
1775194932.246,173.6,0.5135,2.3424
1775194933.621,175.0,0.5133,1.952
1775194934.627,176.0,0.5129,1.1712
1775194935.697,177.0,0.5128,0.976
1775194937.206,178.5,0.5126,0.5856
1775194938.233,179.6,0.5126,0.5856
1775196027.883,1269.2,0.5126,0.5856
