# symbol=KITEUSDT,side=SHORT,entry_price=0.1219,exit_price=0.1214,exit_reason=trailing_expansion,sl_price=0.1233628,tp_price=0.1200715,leverage=10
ts,seconds,price,ret_margin_pct
1775193373.233,0.0,0.1219,0.0
1775193374.437,1.2,0.12191,-0.082
1775193376.434,3.2,0.12189,0.082
1775193378.232,5.0,0.1219,0.0
1775193379.519,6.3,0.1219,0.0
1775193380.564,7.3,0.12187,0.2461
1775193382.363,9.1,0.12179,0.9024
1775193384.358,11.1,0.12179,0.9024
1775193385.635,12.4,0.12179,0.9024
1775193386.711,13.5,0.12171,1.5587
1775193387.76,14.5,0.12178,0.9844
1775193388.842,15.6,0.12181,0.7383
1775193390.326,17.1,0.1218,0.8203
1775193392.197,19.0,0.12179,0.9024
1775193393.293,20.1,0.12162,2.297
1775193394.356,21.1,0.12162,2.297
1775193395.546,22.3,0.12165,2.0509
1775193396.869,23.6,0.12163,2.2149
1775193398.033,24.8,0.12163,2.2149
1775193400.903,27.7,0.12167,1.8868
1775193402.127,28.9,0.12163,2.2149
1775193403.651,30.4,0.12161,2.379
1775193405.145,31.9,0.12159,2.5431
1775193406.38,33.1,0.12159,2.5431
1775193407.434,34.2,0.12153,3.0353
1775193408.445,35.2,0.1215,3.2814
1775193409.499,36.3,0.12147,3.5275
1775193411.189,38.0,0.12151,3.1993
1775193412.548,39.3,0.12153,3.0353
1775193414.064,40.8,0.12156,2.7892
1775193415.285,42.1,0.12156,2.7892
1775193416.834,43.6,0.12155,2.8712
1775193419.651,46.4,0.12153,3.0353
1775193420.693,47.5,0.12157,2.7071
1775193421.724,48.5,0.12154,2.9532
1775193422.863,49.6,0.1215,3.2814
1775193423.991,50.8,0.12155,2.8712
1775193425.37,52.1,0.12156,2.7892
1775193426.578,53.3,0.12155,2.8712
1775193427.686,54.5,0.12155,2.8712
1775193428.779,55.5,0.1215,3.2814
1775193430.27,57.0,0.1215,3.2814
1775193431.324,58.1,0.12151,3.1993
1775193432.372,59.1,0.12161,2.379
1775193433.827,60.6,0.12166,1.9688
1775193435.458,62.2,0.12159,2.5431
1775193437.211,64.0,0.12159,2.5431
1775193438.831,65.6,0.12161,2.379
1775193439.85,66.6,0.12157,2.7071
1775193441.845,68.6,0.12161,2.379
1775193442.849,69.6,0.1216,2.461
1775193443.989,70.8,0.12159,2.5431
1775193445.179,71.9,0.12159,2.5431
1775193446.306,73.1,0.1216,2.461
1775193447.597,74.4,0.1216,2.461
1775193448.804,75.6,0.12158,2.6251
1775193450.129,76.9,0.12158,2.6251
1775193451.557,78.3,0.12156,2.7892
1775193452.855,79.6,0.12155,2.8712
1775193453.911,80.7,0.12158,2.6251
1775193456.165,82.9,0.12156,2.7892
1775193457.739,84.5,0.12155,2.8712
1775193458.781,85.5,0.12157,2.7071
1775193459.867,86.6,0.12154,2.9532
1775193464.947,91.7,0.12155,2.8712
1775193465.992,92.8,0.12152,3.1173
1775193467.548,94.3,0.12155,2.8712
1775193468.575,95.3,0.12152,3.1173
1775193471.76,98.5,0.12152,3.1173
1775193472.991,99.8,0.12152,3.1173
1775193474.1,100.9,0.12142,3.9377
1775193475.321,102.1,0.12146,3.6095
1775193477.18,103.9,0.12146,3.6095
1775193479.031,105.8,0.12146,3.6095
1775193480.261,107.0,0.12146,3.6095
1775193481.375,108.1,0.12146,3.6095
1775193483.29,110.1,0.12146,3.6095
1775193484.793,111.6,0.12146,3.6095
1775193485.809,112.6,0.12141,4.0197
1775193487.27,114.0,0.12143,3.8556
1775193488.543,115.3,0.12141,4.0197
1775193490.618,117.4,0.12142,3.9377
1775193491.692,118.5,0.12142,3.9377
1775193493.685,120.5,0.1214,4.1017
1775193494.15,120.9,0.1214,4.1017
