# symbol=MAGMAUSDT,side=LONG,entry_price=0.11664,exit_price=0.11711,exit_reason=trailing_expansion,sl_price=0.11524032,tp_price=0.11838959999999998,leverage=10
ts,seconds,price,ret_margin_pct
1775195939.398,0.0,0.11664,0.0
1775195942.57,3.2,0.11672,0.6859
1775195944.15,4.8,0.1168,1.3717
1775195945.244,5.8,0.11687,1.9719
1775195947.296,7.9,0.117,3.0864
1775195950.486,11.1,0.11701,3.1722
1775195954.424,15.0,0.11713,4.201
1775195955.451,16.1,0.11715,4.3724
1775195960.84,21.4,0.11713,4.201
1775195964.312,24.9,0.11715,4.3724
1775195965.521,26.1,0.11708,3.7723
1775195968.973,29.6,0.11716,4.4582
1775195970.296,30.9,0.11724,5.144
1775195975.551,36.2,0.11733,5.9156
1775195980.019,40.6,0.11744,6.8587
1775195981.13,41.7,0.11747,7.1159
1775195982.46,43.1,0.11753,7.6303
1775195984.547,45.1,0.11743,6.773
1775195986.445,47.0,0.11729,5.5727
1775195989.041,49.6,0.11733,5.9156
1775195994.337,54.9,0.11735,6.0871
1775195995.482,56.1,0.11738,6.3443
1775195996.865,57.5,0.11731,5.7442
1775195999.764,60.4,0.11729,5.5727
1775196000.914,61.5,0.11691,2.3148
1775196004.179,64.8,0.11687,1.9719
1775196005.422,66.0,0.11674,0.8573
1775196007.049,67.7,0.11676,1.0288
1775196009.464,70.1,0.11698,2.915
1775196010.757,71.4,0.11677,1.1145
1775196011.918,72.5,0.11677,1.1145
1775196021.748,82.4,0.11688,2.0576
1775196026.827,87.4,0.11686,1.8861
1775196028.71,89.3,0.11687,1.9719
1775196030.174,90.8,0.11675,0.9431
1775196032.903,93.5,0.11658,-0.5144
1775196035.166,95.8,0.11658,-0.5144
1775196038.242,98.8,0.11679,1.286
1775196040.539,101.1,0.1166,-0.3429
1775196048.79,109.4,0.11667,0.2572
1775196051.595,112.2,0.11668,0.3429
1775196054.144,114.7,0.11679,1.286
1775196055.542,116.1,0.11679,1.286
1775196058.124,118.7,0.11672,0.6859
1775196059.232,119.8,0.11664,0.0
1775196060.268,120.9,0.11646,-1.5432
1775196061.302,121.9,0.11672,0.6859
1775196063.983,124.6,0.11689,2.1433
1775196065.799,126.4,0.11704,3.4294
1775196068.829,129.4,0.11704,3.4294
1775196073.517,134.1,0.11705,3.5151
1775196074.987,135.6,0.11711,4.0295
