# symbol=MAGMAUSDT,side=LONG,entry_price=0.11617,exit_price=0.11522,exit_reason=dynamic_vol_stop,sl_price=0.11477596,tp_price=0.11791254999999999,leverage=10
ts,seconds,price,ret_margin_pct
1775196183.569,0.0,0.11617,0.0
1775196185.695,2.1,0.11614,-0.2582
1775196186.722,3.2,0.11628,0.9469
1775196188.877,5.3,0.11625,0.6886
1775196189.9,6.3,0.11614,-0.2582
1775196191.69,8.1,0.11606,-0.9469
1775196193.953,10.4,0.11598,-1.6355
1775196195.216,11.6,0.11602,-1.2912
1775196196.304,12.7,0.11592,-2.152
1775196197.449,13.9,0.11591,-2.2381
1775196199.811,16.2,0.11612,-0.4304
1775196201.902,18.3,0.1159,-2.3242
1775196204.005,20.4,0.11612,-0.4304
1775196205.988,22.4,0.11612,-0.4304
1775196208.024,24.5,0.1159,-2.3242
1775196210.076,26.5,0.1159,-2.3242
1775196212.159,28.6,0.11587,-2.5824
1775196213.308,29.7,0.11566,-4.3901
1775196214.367,30.8,0.116,-1.4634
1775196216.383,32.8,0.11588,-2.4963
1775196217.548,34.0,0.11612,-0.4304
1775196219.633,36.1,0.11612,-0.4304
1775196221.591,38.0,0.11602,-1.2912
1775196227.745,44.2,0.11601,-1.3773
1775196230.798,47.2,0.11592,-2.152
1775196232.091,48.5,0.11612,-0.4304
1775196240.465,56.9,0.11603,-1.2051
1775196241.931,58.4,0.1159,-2.3242
1775196249.928,66.4,0.11613,-0.3443
1775196258.772,75.2,0.11591,-2.2381
1775196263.987,80.4,0.11612,-0.4304
1775196266.536,83.0,0.1159,-2.3242
1775196271.374,87.8,0.11588,-2.4963
1775196281.195,97.6,0.11557,-5.1648
1775196284.275,100.7,0.11559,-4.9927
1775196287.521,104.0,0.11582,-3.0128
1775196288.573,105.0,0.11545,-6.1978
1775196292.665,109.1,0.11548,-5.9396
1775196300.603,117.0,0.11573,-3.7876
1775196301.926,118.4,0.11564,-4.5623
1775196304.411,120.8,0.11562,-4.7344
1775196305.847,122.3,0.11562,-4.7344
1775196306.798,123.2,0.11522,-8.1777
