# symbol=MASKUSDT,side=LONG,entry_price=0.4634,exit_price=0.4646,exit_reason=strategy_stop,sl_price=0.4624732,tp_price=0.4703509999999999,leverage=10
ts,seconds,price,ret_margin_pct
1775185442.217,0.0,0.4634,0.0
1775185443.38,1.2,0.4635,0.2158
1775185452.274,10.1,0.4633,-0.2158
1775185454.467,12.2,0.463,-0.8632
1775185456.767,14.5,0.4627,-1.5106
1775185458.039,15.8,0.4626,-1.7264
1775185460.811,18.6,0.4626,-1.7264
1775185462.581,20.4,0.4628,-1.2948
1775185466.311,24.1,0.4632,-0.4316
1775185467.361,25.1,0.4632,-0.4316
1775185473.397,31.2,0.463,-0.8632
1775185480.478,38.3,0.4631,-0.6474
1775185481.611,39.4,0.4632,-0.4316
1775185486.79,44.6,0.4632,-0.4316
1775185487.966,45.7,0.4634,0.0
1775185489.182,47.0,0.4634,0.0
1775185493.327,51.1,0.4634,0.0
1775185496.523,54.3,0.4634,0.0
1775185501.157,58.9,0.4632,-0.4316
1775185502.703,60.5,0.4634,0.0
1775185504.463,62.2,0.4636,0.4316
1775185505.467,63.3,0.4642,1.7264
1775185506.639,64.4,0.4643,1.9422
1775185507.905,65.7,0.4642,1.7264
1775185511.57,69.4,0.4645,2.3738
1775185514.408,72.2,0.4642,1.7264
1775185516.014,73.8,0.4641,1.5106
1775185522.039,79.8,0.464,1.2948
1775185524.029,81.8,0.4637,0.6474
1775185525.137,82.9,0.4641,1.5106
1775185527.317,85.1,0.4637,0.6474
1775185528.763,86.5,0.4638,0.8632
1775185530.285,88.1,0.4637,0.6474
1775185531.296,89.1,0.464,1.2948
1775185532.66,90.4,0.464,1.2948
1775185533.907,91.7,0.4645,2.3738
1775185535.241,93.0,0.4647,2.8054
1775185536.265,94.0,0.4647,2.8054
1775185538.746,96.5,0.4651,3.6685
1775185539.795,97.6,0.4653,4.1001
1775185540.884,98.7,0.4649,3.2369
1775185543.179,101.0,0.4648,3.0211
1775185544.327,102.1,0.4649,3.2369
1775185547.352,105.1,0.4647,2.8054
1775185548.576,106.4,0.4646,2.5896
1775185551.489,109.3,0.4649,3.2369
1775185552.785,110.6,0.4649,3.2369
1775185554.836,112.6,0.4649,3.2369
1775185559.441,117.2,0.4645,2.3738
1775185560.859,118.6,0.4646,2.5896
1775185562.011,119.8,0.4641,1.5106
1775185563.739,121.5,0.4645,2.3738
1775185565.218,123.0,0.4644,2.158
1775185567.525,125.3,0.4645,2.3738
1775185568.967,126.8,0.4642,1.7264
1775185571.143,128.9,0.4643,1.9422
1775185573.249,131.0,0.4648,3.0211
1775185578.656,136.4,0.4648,3.0211
1775185579.701,137.5,0.4647,2.8054
1775185580.801,138.6,0.4643,1.9422
1775185589.483,147.3,0.464,1.2948
1775185591.797,149.6,0.464,1.2948
1775185593.129,150.9,0.4642,1.7264
1775185599.755,157.5,0.4644,2.158
1775185601.636,159.4,0.4646,2.5896
1775185604.712,162.5,0.4646,2.5896
